 11. The audit of the accounts of authorities and bodies receiving financial assistance in the form of grants and /or loans from the Government of India or a State or Union Territory has been provisioned in ,(a) Section 17 & 18 of the DPC Act,(b) Section 14 & 15 of the DPC Act,(c) Section 13 & 16 of the DPC Act,(d) Section 19 & 20 of the DPC Act,B,
" 12. Section 16 of the DPC Act, 971 requires the CAG to be satisfied that the rules and procedures in that behalf are designed to secure an effective check on the",(a) Assessment of revenue ,(b) Assessment & collection of revenue ,(c) Collection and proper allocation of revenue,"(d) Assessment, Collection and proper allocation of revenue",D,
" 13. Match the following A: Section of DPC Act Number-17; B: Section of DPC Act Number-18; C: Section of DPC Act Number-19; D: Section of DPC Act Number-20; I: To inspect any office of accounts under the control of the Union or of a State, including treasuries and such offices responsible for the keeping of initial and subsidiary accounts, as submit accounts to the CAG; II: Audit of the accounts of certain bodies or authorities, not covered by Section 19 or whose audit has not been entrusted by or under any law made by Parliament to the CAG can be entrusted to the CAG; III: Audit and report on the accounts of the stores and stock kept in any office or department of the Union or a State or a Union Territory.; IV: Duties and powers of the CAG in relation to the audit of the accounts of Government Companies and Corporations; ","(a) A-III, B-II, C-IV and D-I","(b) A-I, B-III, C-IV and D-II","(c) A-III, B-I, C-IV and D-II","(d) A-I, B-II, C-III and D-IV",C,
" 14. Pick the correct one i. Section 20 (1) deals with audit the accounts of such authority or body if the CAG is requested in this behalf, after prior consultation, by the President or the Governor of State/Administrator of a Union Territory having a Legislative Assembly, on such terms and conditions as may be agreed upon between the CAG and the Government concerned ii. Section 20 (2) empowers the President or the Governor of a State or the Administrator of a Union Territory having a Legislative Assembly to entrust the CAG to undertake the audit of the accounts of anybody or authority, not entrusted to the CAG for audit, with the prior approval of the CAG, if the President or the Governor of a State or the Administrator of a Union Territory is of the opinion that such audit is necessary iii. Audit under Sub-sections (1) and (2) of Section 20 of the Act can be entrusted to the CAG only in public interest and only after giving a reasonable opportunity to the concerned authority or body to represent in respect of the proposal for such audit iv. Audit of Government Companies is conducted in accordance with the provisions of the Companies Act, 1956 contained in Sections 617 and 619 and of Corporations set up by or under law made by the Parliament, in accordance with provisions of the respective Legislations","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,B,
" 15. Pick the correct one i. Section 19 (1)- Audit of Government Companies is conducted in accordance with the provisions of the Companies Act, 1956 contained in Sections 617 and 619ii. Section 19(2)- Audit of Corporations set up by or under law made by the Parliament, in accordance with provisions of the respective Legislations iii. Section 19 (3)- Audit of a Corporation established by law by the Legislature of a State or Union Territory can be entrusted to the CAG in the public interest by the Governor of the State or the Administrator of the Union Territory concerned after consultation with the CAG iv. Section 19A- The reports of the CAG in relation to the accounts of a Government Company or a Corporation audited under Section 19 are to be submitted to the Government or Governments concerned for being laid before the Parliament/legislature","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,D,
 16. Pick the correct one ,"(a) Section 18 (1) of the DPC Act requires the person in charge of the office or department, the accounts of which are to be inspected and audited by the CAG, to afford all facilities for such inspection and to comply with requests for information in as complete a form as possible and with all reasonable expedition ","(b) Section 18 (2) of the DPC Act empowers the CAG to Inspect any office of accounts under the control of the Union or of a State, to require that any accounts, books, paper and other documents which deal with or form the basis of or are otherwise relevant to the transactions to which his duties in respect of audit extend and to pose such questions or make such observations as the CAG may consider necessary to the person in charge of the office and to call for such information as the CAG may require for the preparation of any account or report which it is his duty to prepare. ",(c) None of the above ,(d) Both of the above,C,
 17. Pick the incorrect one ,"(a) Section 22- The Indian Audit and Accounts Department, functioning under the CAG, derives its authority and the powers for performance of its duties on his behalf ",(b) Section 23- The CAG is authorised to make regulations for carrying into effect the provisions of the DPC Act. ,"(c) Section 24- The CAG is authorised to dispense with, when circumstances so warrant, any part of detailed audit of any account or class of transactions and to apply such limited checks in relation to such accounts or transactions as the CAG may determine under Section ",(d) None of the above.,A,
 18. Pick the incorrect one,(a) IFAC- International Federation of Auditors,(b) IAPC- International Auditing Practices Committee,(c) INTOSAI-International Organisation of Supreme Audit Institutions ,(d) ISA- International Standards on Auditing,A,
" 19. Pick the correct one i. The Auditing Standards Committee of the International Organisation of Supreme Audit Institutions (INTOSAI) issued the Auditing Standards at the XIVth Congress of INTOSAI in 1992 in New Delhi as amended by the XVth Congress of INTOSAI in 1995 in Cairo, Egypt.ii. The Auditing Standards Committee of the International Organisation of Supreme Audit Institutions (INTOSAI) issued Code of Ethics for auditors in the public sector in 1998.iii. While they do not have mandatory application, they reflect a “best practices” consensus among the Supreme Audit Institutions (SAIs) and each SAI is required to judge the extent to which the Standards are compatible with the achievement of its mandate. iv. INTOSAI Standards will continue to provide the necessary framework and overriding principles for financial audit by SAIs","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,B,
" 20. State whether true or false:  In SAI, India, Auditing Standards of the CAG of India were first issued in 1994. The Standards were comprehensively restructured and updated in a second edition of the Auditing Standards issued in 2002. These Standards are in harmony with the International Standards on Auditing (ISAs) issued by IFAC.",(a) True,(b) False,,,A,
" 21. i. The Auditing Standards of the CAG of India comprise of General Standards, Field Standards, Reporting Standards and Follow-up reporting. ii. The General Standards are concerned with the relationship of the auditor to the audited organisation and with the personal conduct of the auditor in carrying out the audit iii. The Field Standards regulate the audit activity. iv. The Reporting Standards regulate what the auditor has to say after completing the audit. v. The Follow-up Standards regulate the department activity in pursuing reply to inspection report. ","(a) i, ii, iii and iv ","(b) ii, iii and iv ","(c) i, ii, iii and v ",(d) All of the above.,B,
 22. The objective of Financial Audit has been categorised into ,(a) The primary objective of financial audit ,(b) The primary objectives of financial audit and objectives which might be set by the CAG or Statute ,(c) The primary objective of financial audit and the general audit objective of any financial audit. ,"(d) . The primary objectives of financial audit, objectives which might be set by the CAG or Statute and the general audit objective of any financial audit",D,
" 23. Pick the correct one i. The Primary objective of financial audit is the ""expression of an opinion"" on the financial statements. ii. The CAG’s objectives may determine the way the financial audit is carried out reflecting his audit mandate and policy. iii. The CAG of India may set his audit objectives taking into account the provisions of the Constitution of India, the CAG’s DPC Act, 1971 and any governing legislation. iv. The general audit objectives determine the responsibility of an auditor, before certifying an account, to make sure that competent, relevant and reasonable evidence was obtained to support the auditor’s judgement and conclusions. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D,
 24. Assertions in Financial Statements means,(a) Primary audit objective ,(b) CAG’s audit objective,(c) General audit objective ,(d) All of the above,C,
 25. Assertions are,(a) positive statements about the state of being,(b) negative statements about the state of being ,(c) positive statements about the state of not being,(d) negative statements about the state of not being,A,
 26. There are five general audit objectives for receipts and payments or income and expenditure account items. Pick the correct one i. Relevant ii. Completeness iii. Occurrence iv. Measurement v. Disclosure v. Regularity vii. Availability ,"(a) i, ii, iii, iv and v","(b) ii, iii, iv, v and vi ","(c) i, ii, iv, v and vi","(d) i, ii, v, vi and vii",B,
 27. Pick the incorrect one,(a) Completeness: all transactions relevant to the year of account have been recorded; Occurrence: all recorded transactions occurred and were relevant to the year of account. ,"(b) Measurement: the recorded transactions have been correctly valued, properly calculated, or measured in accordance with established accounting policies, on an acceptable and consistent basis. ",(c) Disclosure: the recorded transactions have been properly classified and disclosed where appropriate,(d) Regularity: the recorded transactions are in chronological and on regular basis of their occurrence.,D,
 28. The assertion that directly tests for potential overstatement of figures in the accounts is ,(a) Occurrence/Existence ,(b) Measurement/Valuation,(c) Completeness/Ownership ,(d) Disclosure/Regularity,A,
 29. The general audit objectives in respect of balance sheet or items of assets and liabilities are,(a) Three ,(b) Four,(c) Five,(d) Seven,C,
 30. Pick the correct general audit objectives in respect of balance sheet or items of assets and liabilities i. Completeness ii. Relevant iii. Existence iv. Valuation v. Disclosure v. Regularity vii. Ownership,"(a) i, ii, iii, iv and v","(b) ii, iii, iv, v and vi ","(c) i, ii, iv, v and vi","(d) i, iii, iv, v and vii",D,
 31. Misclassification of revenue expenditure as capital expenditure is an example of,(a) Completeness objective ,(b) Measurement Objective ,(c) Disclosure Objective,(d) Regularity objective,C,
 32. The audit opinion provides ,(a). reasonable assurance that the financial statements are free from material misstatement and irregularity ,(b). absolute assurance that the financial statements are free from material misstatement and irregularity ,(c). reasonable and absolute assurance that the financial statements are free from material misstatement and irregularity ,"(d) reasonable, reliable and absolute assurance that the financial statements are free from material misstatement and irregularity",A,
 33. Pick the incorrect one ,"(a) A matter is, therefore, considered material if its omission or misstatement would reasonably influence the decision of an intended user of the audit report. ","(b) Materiality should be considered by Audit when determining the nature, timing and extent of audit procedures and evaluating the effect of misstatements. ","(c) These are sometimes known as ""planning materiality"", “Field Materiality” and ""reporting materiality""",(d) None of the given.,C,
" 34. Thus, materiality is of ",(a) two kinds-Materiality by Value and Materiality by Nature ,"(b) three kinds-Materiality by Value, Materiality by Nature and Materiality by Context ","(c) four kinds- Materiality by Value, Materiality by Nature, Materiality by period and Materiality by Context ","(d) five kinds- Materiality by Value, Materiality by Nature, Materiality by period, Materiality by population and Materiality by Context",B,
" 35. i. The materiality thresholds depend on the basis of accounts and their sensitivity.ii. Materiality is a relative term and requires the exercise of professional judgment. iii. Materiality should be chosen to reflect the drivers behind the account, and could be expenditure, income, average surplus or asset values.iv. The level of materiality by value is set at the outset of the audit, but should only be considered as a guide. It should not be considered a hard and fast figure. A range of values can be considered for materiality","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D,
 36. Pick the correct one ,(a) When deciding on a figure to use as materiality the auditor should be guided by two questions firstly how great is Parliament’s / Legislature’s and other users’ interest likely to be and secondly what are they most likely to be concerned about? ,"(b) The level of interest in the account dictates the sensitivity of the account, more interest in the account results in less error being tolerated ",(c) Both a & b ,(d) None of the given.,C,
 37. Materiality base for the determining materiality percentage for Accounts prepared on Cash Basis i.e. Finance and Appropriation Accounts is,(a) Gross Receipts/ Expenditure ,(b) Net Receipt/Expenditure,(c) Both a & b ,(d) None of the given.,A,
 38. Pick the correct one regarding materiality percentage for Accounts prepared on Cash Basis i.e. Finance and Appropriation Accountsi. Very Sensitive- ½ %ii. Sensitive- ½ % to 2%iii. Not sensitive-2%iv. Less sensitive-2% ,"(a) i, ii and iv ","(b) i, ii and iii",(c) i and ii ,(d) All of the above,B,
 39. For Accounts prepared on Accruals basis the materiality bases arei. Normal net surplus ii. Gross income / expenditureiii. Turnover (Sales) iv. Total assetsv. Net assets,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, iii, iv and v ",(d) All of the above,D,
" 40. For Accounts prepared on Accruals basis, taking into various materiality base the range of percentage of materiality from very sensitive to not sensitive is",(a) ½ % to 5% ,(b) ½ % to 7 ½ %,(c) ½ % to 10% ,(d) ½ to 15%,C,
 41. State whether true or false: It is necessary to set separate materiality levels for different financial statements like the Balance Sheet and Income and Expenditure Account,(a) True,(b) False,,,B,
" 42. The budgetary excesses, misclassification between voted and charged expenditure, chief executive’s salary, the cash balance, Auditor's remuneration and details of special payments, write-offs and losses are the examples of",(a) materiality by value,(b) materiality by context,(c) materiality by nature,(d) All of the above.,C,
" 43. Due to a misstatement, the financial statements indicate that a department has savings when it has, in fact, exceeded its budget, it will become material",(a) by context ,(b) by nature ,(c) by value ,(d) by exception,A,
" 44. Pick the correct one i. Planning materiality is primarily concerned with materiality by value. At this stage highest amount which would not distort the overall view of the accounts given to the addressee of the audit report. ii. The materiality of errors by nature and by context is a matter to be considered specifically at the end of the audit. At the planning stage, the possibility of such errors occurring should be recognised by ensuring that audit programmes include year-end procedures to detect them. iii. Reporting materiality applies at the end of the audit when all errors are evaluated and viewed in relation to their known effects on the financial statements. At this stage, the Auditor has to consider the audit findings by value, by nature and by context, and errors or omissions may be considered material which otherwise by value would not. iv. As a matter of abundant caution, planning materiality may be taken at a higher figure than reporting materiality.","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A,
 45. i. Most likely error is a term used in planning and evaluating the results of audit.ii. In planning it is more properly known as advanced most likely error (AMLE) and is the error the auditors predict they will find as a result of audit testing based on the errors found in the previous year’s audit. iii. Precision represents the degree of uncertainty in the auditor’s estimate of error (the MLE).iv. It is a range of error that auditors could accept in the account between MLE and materiality,"(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,B,
" 46. State whether true or false: As auditors cannot be sure that the errors predicted and found in testing are the only errors in the account, the sample chosen should ensure that the auditors can be 95% sure that they have found any error.",(a) True,(b) False,,,A,
" 47. i. Precision forms the basis of the calculation used to determine the sample size which should be tested by auditors to gain audit assurance.ii. If auditors base their sample sizes on materiality and AMLE alone, this would allow no room for the unexpected errors the auditors could find. Auditors, therefore, set a level for precision between 80% and 90% of the possible range between AMLE and materiality. iii.The auditors should ensure that the level of error predicted in the account is a genuine estimate. If there is an over-estimation of the level of error anticipated in the account, a smaller precision increases sample sizes and this usually leads to too much work being done. iv. If the auditors anticipate very low levels of error and find more errors than planned for, this may cause problems in extrapolation.","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D,
 48. Precision is calculated as,(a) (Materiality + Anticipated Most Likely Error) x Range of error possible but with no room for unexpected error ,(b) (Materiality + Anticipated Most Likely Error) x Range of error possible but with room for unexpected error ,(c) (Materiality – Anticipated Most Likely Error) x Range of error possible but with no room for unexpected error ,(d) (Materiality – Anticipated Most Likely Error) x Range of error possible but with room for unexpected error,C,
 49. Precision is used in,(a) the calculation of the size of non-statistical sample drawn and the evaluation of the results of testing the sample. ,(b) the calculation of the size of statistical sample drawn and the evaluation of the results of testing the sample. ,"(c) the calculation of population, materiality and the size of statistical sample drawn and the evaluation of the results of testing the sample. ","(d) . the calculation of population, materiality and the size of non-statistical sample drawn and the evaluation of the results of testing the sample.",B,
 50. The normal level or percentage of assurance (confidence) and risk in auditing is,(a) Assurance 80% Risk 20% ,(b) Assurance 85% Risk 15% ,(c) Assurance 90% Risk 10% ,(d) Assurance 95% Risk 5%,D,
" 51. Audit risk has three components, pick the incorrect one ",(a) Hidden risk-is the risk that a misstatement that could occur in an account balance or class of transactions and that could be material individually or when aggregated with misstatements in other balances or classes due to the hidden weakness of the system.,"(b) Inherent risk- is the susceptibility of an account balance or class of transactions to misstatement that could be material, individually or when aggregated with misstatements in other balances or classes, assuming that there were no related internal controls. ","(c) Control risk- is the risk that a misstatement that could occur in an account balance or class of transactions and that could be material individually or when aggregated with misstatements in other balances or classes, will not be prevented or detected and corrected on a timely basis by the accounting and internal control systems","(d) Detection risk- is the risk that an auditor’s substantive procedures will not detect a misstatement that exists in an account balance or class of transactions that could be material, individually or when aggregated with misstatements in other balances or classes",A,
 52. Audit risk is ,(a) Inherent Risk + Control Risk + Detection Risk ,(b) Inherent Risk X Control Risk X Detection Risk,(c) Inherent Risk X Control Risk + Detection Risk ,(d) Inherent Risk + Control Risk - Detection Risk,B,
 53. Anything which has an influence on whether or not an error is likely to occur in the first place is called ,(a) Audit Environment,(b) Audit Matrix,(c) Accounting Environment,(d) Accounting Matrix,C,
 54. Previous history of non-production of records to audit is an example of ,(a) Control Risk ,(b) Exceptional Risk,(c) Detection Risk,(d) Inherent Risk.,D,
" 55. As per the Auditing Standards, the auditor in support his judgement and conclusions should obtain audit evidence that should be",(a) Competent and relevant,"(b) competent, relevant and reasonable ","(c) Complete, competent, relevant and reasonable ","(d) Complete, competent, relevant, reliable and reasonable",B,
" 56. State whether true or false: The principal source of evidence for audit conclusions will be the records of the auditee. It is the primary duty of Audit to ensure that evidence is planned, gathered and analysed after any conclusion can be reached",(a) True,(b) False,,,B,
" 57.Evidence may be gather byi. physical observation, including joint inspection ii. confirmation, enquiry and survey iii. evaluation of the quality of internal control mechanisms iv. interviews with executives v. computer assisted audit techniques (CAATs) and analytical anaylsis.","(a) i, ii and iii ","(b) i, ii, iii and iv ","(c) i, ii, iii and v ",(d) All of the above,D,
 58. Which of following audit procedures is not commonly used to obtain audit assurance. ,(a) Analytical Procedures (APs),(b) Systems Based Audit (SBA),(c) Descriptive Procedures (DPs) ,(d) Direct Substantive Testing (DST),C,
" 59. Comparisons involving a single component and across components, system analysis, predictive analysis, regression analysis and business analysis are tools of",(a) Analytical Procedures (APs),(b) Systems Based Audit (SBA),(c) Descriptive Procedures (DPs) ,(d) Direct Substantive Testing (DST),A,
" 60. The analysis that involves the creation of an expectation using not just financial data but also operating or external data, independent of the accounting system is termed as",(a) System analysis,(b) Predictive analysis,(c) Regression analysis,(d) Business Analysis,B,
 61.This is a statistical technique that creates an equation to reveal how one variable is related to one or more other variables with added mathematical rigor and objectivity is,(a) System analysis,(b) Predictive analysis,(c) Regression analysis,(d) Business Analysis,C,
" 62. Analysis of financial statements involving critical ratios related to profitability, liquidity, financial stability, debt, etc. which is likely to prove a useful tool for the more experienced members of the audit team who can apply their cumulative knowledge of the particular entity being audited is ",(a) System analysis,(b) Predictive analysis,(c) Regression analysis,(d) Business Analysis,D,
 63. The steps involved in analytical review arei. Develop an expectationii. Define significant differencesiii. Compare the actuals with the expectationiv. Investigate any significant differences between actuals and expectation v. Document the first four steps and make an audit conclusion as to whether assurance can be drawn vi. Ensure follow-up the above,"(a) ii, iii, iv, v and vi","(b) i, ii, iii, iv and v ","(c) i, ii, iv, v and vi",(d) All of the above.,B,
 64. Analytical procedures can be used for different purposes at different stages of audit pick the incorrect one ,"(a) in planning the audit, to assist Audit by pointing areas requiring examination ","(b) as substantive tests, in areas where analytical procedures can be used to obtain evidential matter regarding the accuracy of figures ","(c) in reporting stage, to assist in the final stage of the audit in assessing the conclusions Audit has reached and in evaluation of the overall financial statement presentation by identifying odd or unusual figures in the final accounts. ",(d) None of the above,D,
 65. Which of the following constitute(s) basic audit approaches?,(a) System Based Approaches (SBAs) and Direct Substantive Testing (DST),(b) Direct Substantive Testing (DST) and Analytical Procedures (APs),(c) System Based Approaches (SBAs) and Analytical Procedures (APs),"(d) System Based Approaches (SBAs), Analytical Procedures (APs) and Direct Substantive Testing (DST)",A,
" 66. The approach whereby the auditor relies upon the entity's system of internal control is known as the Systems Based Approach (SBA). The Various steps involved in SBA are as follows: i. the identification and in-depth evaluation of relevant key controls, and assessment of the extent, if any, to which the auditor can rely upon these controls provided that they are found to be operating effectively ii. the testing of the operation of those key controls to establish whether they have operated effectively throughout the period under examination iii. the evaluation of the results of the tests of control to establish whether the degree of reliance foreseen can be taken from the examination of the controls iv. substantive testing of a number of transactions, account balances, etc. to determine (as relevant to the audit objectives) whether, irrespective of the entity's system of controls, the financial statements of the entity are properly presented, free from material misstatements and the underlying transactions were regular.","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above.,D,
" 67. When the audit objectives can be achieved without relying on the systems in place in the auditee and without undertaking tests of control, it is known as the",(a) Detailed Audit Approach ,(b) Test Check Approach ,(c) Direct Substantive Testing approach,(d) None of the above,C,
 68. Various steps involved in performing direct substantive testing are i. Identification of the sub-system to be tested ii. Identification of the sub-audit objective to be tested for the selected sub-system. iii. Identification of the technique for gathering evidence. iv. Determination of the sample size and performance of a test check using the identified technique for evidence gathering. v. Formulation of conclusions on the fulfilment or otherwise of the sub-audit objective for the selected sub-system.,"(a) ii, iii, iv and v ","(b) i, ii, iii and iv ","(c) i, iii, iv and v ",(d) All of the above.,D,
" 69. Generally, a population should be divided or stratified into at least three segments. Pick the incorrect one",(a) high value items,(b) no value items ,(c) key items ,(d) the remainder.,B,
 70. Pick the correct one ,(a) The high-value and key items are separately examined 100% and Audit would examine a sample of the remainder. ,(b) The high-value items are separately examined 100% and Audit would examine a sample of the key items and the remainder. ,(c) The key items are separately examined 100% and Audit would examine a sample of the high value items and the remainder. ,(d) The remainders are separately examined 100% and Audit would examine a sample of the key items and the remainder,A,
" 71. Pick the correct one i. The Block selection and Judgemental selection methods can be expected to produce representative samples and are generally considered as acceptable. ii. The Attribute Sampling’ is generally used for testing of controls iii. Monetary Unit Sampling (MUS) is an important sampling method, which is mainly used in Substantive test of details in financial audits. iv. MUS helps in the projection of findings, based on test results, in Rupee terms to the population tested","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above.,C,
" 72. Pick the correct one i. Statistical sampling unlike subjective selection of the individual transactions to be tested is free from auditor’s bias and uncertainty. ii. While using statistical sampling, a random mechanism is applied to choose the transactions to be tested in which each transaction has the same chance of being included in the sample. iii. A pre-condition for any statistical sampling is the availability of a sampling frame, in effect, a listing of all the transactions which make up the account or account area. iv. Where accounting records are computerised, this listing may be readily accessible. The use of computer assisted audit techniques (CAATs), in particular IDEA, is likely to provide a cost-effective means of sample selection in such cases.","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above.,D,
" 73. Pick the correct one i. In most cases, 100 per cent testing of an account area is impracticable on cost grounds. However, in some instances, the auditors may be able to identify a relatively small group of transactions which are sufficiently important that an error in any one of them would have serious implications for the account area ii. The auditors may also wish to carry out 100 per cent testing irrespective of the results of the first phase of testing whether suggests or does not suggest that unexpected errors may be present in a precisely defined group of transactions. The 100 per cent testing would be applied only to the identified group of suspect transactions. iii. The auditors can also use 100 per cent testing to audit a group of transactions within an account area which they believe have either a particular sensitivity, or a particular risk. iv. Where the auditors apply 100 per cent testing to a group of transactions, they will know the monetary value of error for that group. For the remaining account areas, where the auditors have tested a sample of transactions, they can only estimate the error.","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above.,B,
 74. The most commonly used sampling methods in connection with tests of detail are i. simple random sampling ii. stratified random sampling iii. monetary unit sampling (MUS)iv. Multi stage sampling,"(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above.,D,
" 75. Pick the correct one regarding the simple random sampling i. The main characteristics of simple random sampling is that all transactions have the same chance of being included in the sample. ii. Its application to sampling for tests of detail is generally restricted to situations where both the values and the risks associated with the transactions making up the account area are believed to be fairly homogeneous.iii. The extrapolation of results from simple random sampling in general leads to significantly biased estimates of total population error.iv. Where either monetary values or assessed risks of error vary widely between transactions, alternative sampling methods are usually preferable.","(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above.,C,
" 76. Thee extension of simple random sampling, in which the population is first divided into discrete bands etc. each being fairly homogeneous with respect to value and risk is called",(a) Advance simple random sampling,(b) Stratified random sampling,(c) Block sampling,(d) Multi-stage sampling,B,
" 77. Pick the correct in respect of Monetary Unit Sampling (MUS) i. Monetary Unit Sampling (MUS), as its name implies, is a statistical sampling method in which a high value transaction is more likely to appear in the sample than one of lower value. ii. It is a particular case of the statistical technique of probability proportional to size (PPS) sampling.iii. It is more widely used than simple random sampling because it is usually more efficient, in the sense that the margins of uncertainty in the estimates of error are generally narrower with MUS than those based on a simple random sample of the same size.iv. In most audit applications of MUS, a 100 per cent probability of selection is attached to transactions in excess of the Average Sampling Internal (ASI). ","(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above.,D,
 78. Sampling approach that is required if transactions are processed or accounting records are held at a number of locations in such a way that we cannot directly extract a sample from across the entire population is,(a) Multi-stage sampling,(b) Stratified random sampling,(b) Monetary Unit Sampling (MUS),(d) Average Sampling,A,
" 79. State whether true or false:  The Statistical Advisor at Headquarters Office may be consulted when a multi-location sampling approach is planned, and in connection with the extrapolation of sample results.",(a) True,(b) False,,,A,
" 80. Pick the correct one i. The person in-charge of the office or the department, the accounts of which are to be inspected/audited by the functionaries of the CAG, to afford all facilities for the inspection/audit and comply with requests for information in as complete a form as possible and with all reasonable expedition. ii. In the eventuality of non-production of vital records, the audit should be continued but the matter should be reported by the A.G to the Chief Secretary in the State or to the Secretary to the Government of India in the Centre, or the chief executive of the auditee entity, as the case may be. iii. In case the problem persists, an omnibus draft paragraph on all such problems that arise during the year should be considered for inclusion in the Audit Report for bringing the matter to the notice of the Legislature through the PAC or the Committee on Public Undertakings. iv. In addition, in the Audit Certificates on Accounts, appropriate qualification / disclaimer on account of ‘limitation in scope’ caused by the non-production of records should be considered","(a) i, ii and iii ","(b) i, ii and iv ","(c) i, iii and iv ",(d) All of the above,C,
" 81. The numerous steps in the financial audit process can be broadly grouped in three phases, pick the incorrect one",(a) Planning ,(b) Executing,(c) Reporting ,(d) Following-up,D,
" 82. When the level of error is not judged to be material, the certificate on the financial statements provided by the audit is",(a) qualified certificate,(b) unqualified certificate,(c) disclaimer ,(d) any of the given.,B,
 83. The financial audit plan would containi. details of the areas to be auditedii. the starting date of the audit iii. the ending date of the audit iv. the manpower and other resources,"(a) i, ii and iii ","(b) i, ii and iv","(c) i, iii and iv ",(d) All of the above.,D,
" 84. Depending upon the basis adopted for their preparation, accounts are categorised into:",(a) Government Accounts and non-Government Account,(b) Cash Accounts and Accrual Accounts,(c) Public Account and Private Accounts ,(d) Real and Nominal Accounts,B,
 85. Pick the incorrect one,(a) Central and State Governments: Cash based accounting,(b) The Corporations and autonomous bodies:Cash based accounting ,(c) The Government Companies: Accrual based accounting,(d) None of the given,B,
 86. The Externally aided projects follow the method of,(a) Cash based accounting,(b) Accrual based accounting,(c) accounting method adopted by the implementing agency. ,(d) accounting method adopted by the funding agency.,C,
 87. The auditor's certificate is made up of two parts,(a) Scope and Opinion ,(b) Shor title and Detail Case,(c) Finding and Opinion,(d) Title and Statement,A,
