 14. Labour Report in CPWA 30 indicates ,(a) Amount chargeable to labour ,(b) Amount due to labour ,(c) Work done and amount incurred ,(d) number of labourers and workmen employed on each day,D,(10.2.3_b),,
 15. The need of labour report in CPWA Form 30 is ,(a) Reconciliation with budget estimate ,(b) incorporation with Work charges Establishment ,(c) Reconciliation with Muster Roll ,(d) All of the above,C,(10.2.3_b),,
 16. Labour reports for Muster rolls are not required to be sent if it contains ,(a) 15 persons or less ,(b) Less than 15 persons ,(c) 20 persons or less ,(b) Less than 20 persons,A,(Note below 10.2.3),,
 17. Pick the incorrect one with regard to Muster Roll ,(a) One or more muster rolls should be kept for each work ,(b) But muster rolls should never be prepared in duplicate. ,"(c) It is permissible, however, to keep one muster roll for labourers employed upon several small works, in cases in which the total unpaid wages may conveniently be recorded as relating only to the larger work in the group. ",(d) Labourers may be paid at the end of the month and separate rolls must be prepared for each period of payment.,D,(10.2.4) may be paid more than once in a month,,
 18. The daily attendances and absences of labourers and the fines inflicted on them should be recorded daily in ,(a) Part I of MR ,(b) Part II of MR ,(c) Summary of MR ,(d) Abstract of MR,A,(10.2.4_c),,
 19. Pick the incorrect one with regard to Muster Roll ,"(a) After a muster roll has been closed, payment thereon should not be made as expeditiously as possible. ","(b) Acknowledgement, duly stamped where necessary should be obtained from each payee on the Muster Roll ",(c) Each payment should be made or witnessed by the Official of highest standing available who should certify to the payments individually or by groups ,(d) The total amount paid on each date should be specified both in words and in figures at the foot of the muster roll,A,(10.2.4_d),,
" 20. Any item remains unpaid, the details thereof should be recorded in a Register of Unpaid Wages in Form ",(a) CPWA 21 ,(b) CPWA 21A ,(b) CPWA 22 ,(b) CPWA 22A,B,(10.2.4_d),,
 21. CPWA 21A should be maintained in the office of ,(a) SDO ,(b) Executive in charge of work ,(c) DO ,(d) Divisional Accountant,A,(10.2.4_d),,
 22. The subsequent payment of unpaid wages on a Muster Roll should be made on Hand on ,(a) Muster Roll CWPA 21 ,(b) Hand Receipt CPWA 28 ,(c) Full and final payment CPWA 24 ,(d) Pay Bill CPWA 29,B,(10.2.4_e),,
 23. The Divisional Office should be reported by the SDO for Wages on a Muster Roll remaining unpaid for ,(a) One month ,(b) Two months ,(c) Three months ,(d) Six months,C,(10.2.4_f),,
 24. In all cases where such work is susceptible of measurement progress of work done by the labour should be recorded in ,(a) Part II Measurement Book ,(b) a certificate by SDO ,(c) a certificate by SDO ,(d) Part II of MR,D,(10.2.4_g),,
" 25. State whether true or false It is not necessary to reproduce the details of measurement in Part II, nor need Part II be written up if progress is reported once a month or often in any other suitable Form and such separate reports are considered sufficient. ",(a) True ,(b) False,,,A,(Note 1 below 10.2.4_g),,
" 26. Before payments are made by the Divisional Office, the check of Muster Rolls with reference to the entries in the Measurement Books to the extent of 100% will be done by ",(a) Executive in charge of work ,(b) Divisional Accountant ,(c) SDO ,(d) DO,C,(Note 2 below 10.2.4_g),,
" 27. In exceptional and urgent cases, such as urgent silt – clearance of canals or closing breaches, where labourers are employed casually for short periods, payments may be made on ",(a) Casual Labour Roll CPWA 22 ,(b) Muster Roll CPWA 21 ,(c) Labour Requisition CPWA 30 ,(d) Hand Receipt CPWA 28,A,(10.2.4_h),,
 28. Incorrect one with regard to Casual Labour Roll Form CPWA 22 ,(a) In Casual Labour Roll CPWA 22 the names of the labourers shall be given ,(b) Payments on CPWA 22 may not be made except by a gazetted officer. ,"(c) Muster rolls in Form 21 need not be used in the case of work done on Requisition, Form CPWA 32 ","(d) When entries of daily labour are few, in such cases the particulars can be entered on the Form of Requisition.",A,(10.2.4_h) in this case name need not be specified,,
" 28A. State whether true or false In the case of urgent repair of canal breaches, this method of payment is not practicable, it is permissible to pay the contractor on the basis of the numbers of labourers employed, day by day, his own profit or commission being either included in the rates allowed, or paid separately in lump sum or at a percentage rate. ",(a) True ,(b) False,,,A,(10.2.5),,
 29. When payment is made on basis of labour employed by the contract a report of the numbers of labourers of each class employed day by day should be made daily by the official in-charge of the work to ,(a) Contractor ,(b) SDO ,(c) DO ,(d) Divisional Accountant,B,(10.2.5),,
" 30. When it is necessary to bring labourers and artificers from a distance they may be allowed wages for the number of days occupied in the journey to and from the site of the work, if they join the work with proper despatch. The payment of traveling expenses is ",(a) Mandatory ,(b) At discretion of DO ,(b) Only after approval of PAO ,(d) Only after approval of SE,B,(10.2.6),,
 31. Wages and traveling expenses paid to labourers and artificers from brought a distance shall be borne by ,(a) Contingency ,(b) Direction & Administration ,(c) Special Contingency ,(d) Estimate of the work.,D,(10.2.6),,
 32. Payments for a work done otherwise than by daily labour and for all supplies required for specific works may be are made without the basis of measurements recorded in measurement books with the approval of ,"(a) Administrative Ministry/Department after consultation with the Chief Controller of Accounts, ",(b) Chief Controller of Accounts after consultation with the Administrative Ministry/Department ,(c) Administrative Ministry/Department after consultation with the Controller General of Accounts ,(d) Divisional Officer after consultation with Pay and Accounts Officer,A,(10.2.7),,
 33. Measurement Book is maintained in Form ,(a) CPWA 21 ,(b) CPWA 22 ,(d) CPWA 23 ,(d) CPWA 24,C,(10.2.7),,
 34. All the measurement books belonging to a division should be numbered serially and a register of them should be maintained in Form ,(a) CPWA 23A ,(b) CPWA 90 ,(c) CPWA 91 ,(d) CPWA 92,D,(10.2.7),,
 35. Form CPWA 92 is maintained ,(a) in SD Office ,(b) in Office of Executive in charge of work ,(c) in Divisional Office ,(d) At-site of work,C,(10.2.7),,
 36. State whether true or false A register similar to CPWA 92 should also be maintained in the Sub-divisional office showing the names of the Sub-divisional Officer and Sectional Officers to whom measurement books are issued. ,(a) True ,(b) False,,,A,(Note below 10.2.7),,
" 37. Pick the correct one (i) detailed measurements should be recorded only by Executive Engineer, Assistant Executive Engineer or Assistant Engineers, or by the executive subordinates in charge of works to whom measurement books have been supplied for the purpose. (ii) All items of work in a project, irrespective of their cost, shall be measured and recorded by the Officer-in-charge of the work, not lower than the rank of J.E. It is, however, open to the rank of Sub-Divisional Officer to record measurements for any particular item of work himself. (iii) The Officer accepting the tender for any work may stipulate and require the Assistant Executive Engineer/Assistant Engineer to record measurements himself or exercise 100% check on the measurements recorded by his subordinate (iv) All measurements should be recorded neatly and directly in a measurement book, in the office of Sub-Divisional Officer and nowhere else. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) I, iii and iv ",(d) All of the above,A,(10.2.8_a to d)MB is written at site of work,,
 38. Pick the incorrect one regarding Measurement Book ,(a) The pages of the book should be machine numbered. ,"(b) Entries should be recorded continuously, and no blank pages left or page torn out. ",(c) Any pages left blank should be cancelled by a cross covering the entire page ,(d) The cancellation should be attested and dated.,C,(10.2.8_h) Cancellation by a diagonal line,,
 39. Find the incorrect one regarding entries in Measurement Book ,(a) The entries should be made in ink only and no entry may be erased. ,(b) Correction may be made by crossing out the incorrect words or figures and inserting the corrections ,"(c) When any measurements are cancelled, the cancellation must be supported by the dated initials of the officer ordering the cancellation or by a reference to his orders initialed by the officer who made the measurements, the reasons for cancellation being also recorded. ",(d) Though a reliable record it may not to be produced as evidence in a Court of Law.,D,(10.2.8_i),,
" 40. Pick the incorrect one regarding Measurement Book (i) On completion of the abstract, the Measurement book should be submitted to the Sub-divisional Officer (ii) SDO after carrying out the required test check should enter the word “Check and Bill” with his dated initials. (iii) The Sub-divisional Clerk should then check the calculation of quantities in the abstract and the bill and should then place the Measurement Book and the bill before the divisional Officer (iv) DO after comparing the two, should sign the bill and the Measurement Book at the end of the abstract. ","(a) i, and ii ","(b) i, ii and iii ","(c) i, iii and iv ",(d) All of the above,A,(10.2.8_j) submission to SDO and sign by him not DO,,
 41. Pick the incorrect one regarding Measurement Book ,"(a) Any corrections to calculations or rates made in the Sub-divisional, as well as, in Divisional Office including correction made by the clerical staff should be made in red ink ","(b) All correction should be brought to notice of the Sub-Divisional Officer or the Divisional Officer, as the case may be, and of the person recording the original measurements. ",(c) Payment should be deferred until the corrections have been accepted by the person making the measurements. ,(d) Each measurement book should be provided with an index which should be kept up-to-date.,C,(10.2.8_k) Deferment of payment in case of final bill and not in case of any bill.,,
 42. Before passing a bill for payment and submitting it to the Divisional Officer for payment who should satisfy oneself that the work or supply billed for has actually been carried out/completed in accordance with the claim preferred? ,(a) SDO ,(b) Executive in-charge of work ,(c) Divisional Accountant ,(d) DO,A,(10.2.9),,
 43. Standard measurement books of buildings are maintained in order to ,(a) Relieve from taking detailed measurement at each occasion ,(b) Facilitate preparation of budgetary estimate for addition and alteration ,(c) Facilitate preparation of contractor ledger ,(d) Preparation of estimates for periodical repairs and contractor’s bill for such repair.,D,(10.2.10),,
 44. Subsidiary instructions with respect to Standard Measurement book as may be laid down by ,(a) Government in consultation with CGA ,(b) CAG in consultation with Government ,(c) Administrative Ministry/Administration concerned in consultation with the Chief Controller of Accounts ,(d) Administrative Ministry/Administration concerned in consultation with the Controller General of Accounts,C,(10.2.10),,
 45. The measurement books used as standard books should be numbered in ,(a) A numerical series ,(b) An alphabetical series ,(c) An alpha-numerical series ,(d) At the discretion of the division,B,(10.2.10_i),,
 46. Pick the correct regarding the Standard Measurement Books should be written by the (i) S.D.O (ii) Executive subordinate in-charge under SDO’s orders (iii) Divisional Officer (iv) Any gazetted officer ,(a) i and ii ,(b) iii and iv ,"(c) i, ii and iii ",(d) All of the above,A,(10.2.10_ii),,
" 47. Fill in the blanks Each set of measurements taken by the executive subordinate in-charge should, however, be fully checked by the_______ after which it should be examined by the__________ ","(a) SDO, Divisional Accountant ","(b) SDO, Divisional Officer ","(c) Divisional Accountant, Divisional Officer ","(d) Divisional Officer, Divisional Accountant",B,(10.2.10_ii),,
 48. Who should declare in writing in the Standard Measurement book itself as finally approved by him for the purposes of preparing annual repair estimates and contractors’ bills for the work done? ,(a) Officer taking the Measurement ,(b) SDO ,(c) Divisional Officer ,(d) Superintendent Engineer,C,(10.2.10_ii),,
 49. The Standard Measurement book will not be assigned a number and will not be entered in the Register of Standard Measurement Books until ,(a) Payment to contractor has been made ,(b) Certificate by DO is recorded ,(c) Approval of SE is received ,(d) Work has been completed,B,(10.2.10_ii),,
 50. The Standard Measurement Books will be brought up-to-date under the supervision of ,(a) Officer taking the Measurement ,(b) SDO ,(c) Divisional Officer ,(d) Superintendent Engineer,B,(10.2.10_ii),,
 51. The Standard Measurement Books will be brought up-to-date with reference to the building or work concerned within ,(a) one month of closing of the accounts of the estimate therefor ,(b) Two months of closing of the accounts of the estimate therefor ,(c) Three months of closing of the accounts of the estimate therefor ,(d) Six months of closing of the accounts of the estimate therefor,A,(10.2.10_ii),,
" 52. The Divisional Officer, to the effect that all the standard books of the division have been inspected by him, that entries therein have not been tampered with and that all corrections due to additions and alterations in the buildings have been made in the books and the latter are reliable and upto date records, should certify ",(a) Daily ,(b) Monthly ,(c) Annually ,(d) Periodically,D,(10.2.10_iii),,
" 53. When a payment is based on standard measurements, who is required to certify the bill for payment that the whole of the work, (or work since previous running bill, as the case may be) as per standard measurements has been done and that it has not previously been billed for in any shape? ",(a) Divisional Accountant ,(b) DO ,(c) Gazetted officer or subordinate preparing the bill ,(d) All of the above,C,(10.2.10_iv),,
 54. The entries recorded in each completed measurement books may be subjected to a percentage check by the Divisional Accountant under the supervision of the ,(a) SDO ,(b) Officer taken the measurement ,(c) DO ,(d) PAO,C,(10.2.11),,
 55. Pick incorrect regarding authorized forms of bills and vouchers - ,"(a) First and final Bill, Form CPWA 24 ",(b) Running Account Bill Form CPWA 26 ,"(c) Hand Receipt, Form CPWA 28 ",(d) Contractor Ledger Form CPWA 43,D,(10.2.12),,
" 56. When a single payment is made for a job or contract on its completion, the form used for payment is ",(a) CPWA 24 ,(b) CPWA 26 ,(c) CPWA 27 ,(d) CPWA 28,A,(10.2.12),,
 57. The form used for all running payments to contractors and suppliers other than those relating to lump sum contracts is ,(a) CPWA 24 ,(b) CPWA 26 ,(c) CPWA 27 ,(d) CPWA 28,B,(10.2.12),,
 58. The form used for all final and running payments to those relating to lump sum contracts is ,(a) CPWA 26A and 26 B ,(b) CPWA 26 and 27 ,(c) CPWA 27A and 27 B ,(d) CPWA 27 and 28,C,(10.2.12),,
" 59. A simple form of voucher intended to be used for all miscellaneous payments and advances, for which the special Forms CPWA 24 and 26 are not suitable. ",(a) CPWA 28 ,(b) CPWA 29 ,(c) GAR 24 ,(d) GAR 43,A,(10.2.12),,
 60. The claim for refund of lapsed deposit should be preferred in Form ,(a) CPWA 46 ,(b) GAR 46 ,(c) CPWA 49 ,(d) GAR 49,B,(10.2.12),,
" 61. Payment to supplier for supply of store on production of a Railway Receipt, the payment will be treated ",(a) Final Payment ,(b) Advance payment ,(c) Running account ,(d) Secured advance,B,(Note 2 below 10.2.16),,
" 62. As a general rule, payment for supplies is not permissible until the stores have been received and surveyed. However, on production of a Railway Receipt payment may be made only with the permission ",(a) SE ,(b) PAO ,(c) Government ,(d) Administrative Ministry/Deptt. Concerned,D,(Note 2 below 10.2.16),,
" 63. Advance payment to firms for supply of stores, should be debited to ",(a) Suspense Account “Contractors-other Transactions ,(b) Work concerned ,(d) Functional Revenue Head ,(d) Contingency,A,(Note 2 below 10.2.16),,
" 64. Before signing and submission of the bill to Divisional Officer for check and payment, who should compare the quantities in the bill with those recorded in the measurement book and see that all the rates are correctly entered and that calculations have been checked arithmetically? ",(a) SDO ,(b) Divisional Accountant ,(c) Sub-ordinate in-charge of work ,(d) Accounts Clerk,A,(10.2.17),,
" 65. Pick the correct one in respect of Measurement Book (i) From the measurement book all quantities should be clearly traceable into the documents on which payments are made (ii) When a bill is prepared for the work or supplies measured, every page containing the detailed measurements must be invariably scored out by a diagonal red ink line (iii) When the payment is made an endorsement must be made in red ink, on the abstract of measurements, giving a reference to the number and date of the voucher of payment (iv) The document on which payment is made should invariably show the number and page of the measurement book in which the detailed measurements are recorded and the date on which the measurement was made. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D,(10.2.18),,
 66. Payments for work done or supplies made on a running account should ordinarily be made ,(a) daily ,(b) weekly ,(c) monthly ,(d) As & when desired,C,(10.2.19_a),,
 67. Each distinct item of work or supply should be shown separately in the contractors’/suppliers’ bill in terms of ,(a) Quantities ,(b) Value ,(b) Either of a or b ,(d) Both a & b,D,(10.2.19_a),,
 68. State whether true or false In the case of advance payments both quantities and value of work or supply made need to be specified on bill. ,(a) True ,(b) False,,,B,(10.2.19_a) In case of Adv. Payments only value and not quantity to be specified.,,
" 69. When a final payment is made on a running account, who should add in his own hand writing that the payment is “in full and final settlement of all demands” ",(a) Contractor/supplier ,(b) SDO ,(c) Divisional Accountant ,(d) DO,A,(10.2.19_b),,
" 70. State whether true or false Once the addition of “in full and final settlement of all demands” on the bill, no claim should be entertained subsequently under any circumstances. ",(a) True ,(b) False,,,B,(Note 1 below 10.2.19_b) Bonafide claims may be entertained.,,
 71. In case a contractor objects to the addition of the Words “in full and final settlement of all demands” the payment should be ,(a) rendered with some conditions ,(b) rendered unconditionally ,(c) deferred till addition ,(d) payment already made is recovered.,B,(Note 1 below 10.2.19_b),,
" 72. Pick the correct one (i) A separate running account is maintained in respect of each contract. (ii) Transactions relating to two or more separate working estimates should not be brought on to the same running account and should not be covered by a single contract. (iii) In exceptional cases where more than one working estimate is covered by a single contract, the contract agreement need not be split up but the estimates should be consolidated to facilitate the maintenance of proper accounts in respect of that contract. (iv) Some special accounts procedure in this regards will be devised on the merits of each case by the Controller General of Accounts. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,A,(10.2.19_c and note below it) It is Chief Controller of Accounts and not CGA.,,
 73. Secured advances is allowed to a contract whose contract is for ,(a) on labour only ,(b) lump-sum ,(c) finished work ,(d) Any of the above,C,(10.2.20),,
 74. Secured advances is allowed by ,(a) SDO ,(b) Divisional Accountant ,(c) DO ,(d) Executive in-charge of work,C,(10.2.20),,
" 75. When secured advances are allowed by the Divisional Officer to the contractor, the contractor should sign an Indenture in Form ",(a) CPWA 30 ,(b) CPWA 31 ,(c) CPWA 32 ,(d) CPWA 33,B,(10.2.20),,
" 76. A detailed account of the secured advances, which should be attached to the Running Account bill, must be kept in Form ",(a) CPWA 26 ,(b) CPWA 26-A ,(c) CPWA 27 ,(d) CPWA 26-A,B,(10.2.20),,
 77. The certificate printed on Form CPWA 26-A should be signed by ,(a) Executive-in-charge of work ,(b) DA ,(c) SDO/DO ,(d) Contractor/Supplier,C,(Note below 10.2.20),,
 78. State whether true or false A record of the quantities of the materials for which a Secured Advance is allowed should be kept in Measurement Books ,(a) True ,(b) False,,,B,(Note below 10.2.20),,
" 79. Pick the correct one regarding Secured Advance (i) Allowed to a contractor, whose contract is for finished work, on the security of materials brought to site. (ii) Divisional Officers may sanction advances upto an amount not exceeding 75/90 per cent of the value as assessed by the Engineer-in-charge or an amount not exceeding 75/90 of the material element cost in the tendered rate of the finished item of work whichever is lower (iii) Material should be of an imperishable nature (iv) No formal agreement should be drawn up with the contractor. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,A,(10.2.22_a),,
 80. Who assesses the value of material brought on site by the contractor for allowing secured advance? ,(a) Executive-in-charge of work ,(b) SDO ,(c) DO ,(d) SE,A,(10.2.22_a),,
" 81. Pick the correct one regarding Secured Advance (i) A formal agreement should be drawn up with the contractor under which Government secures a lien on the materials (ii) Expense entailed for proper watch and safe custody of material brought on site is borne by the Division (iii) Payment of such advances should be made only on the certificate of an officer not below the rank of Divisional Officer (iv) A certificate by the Divisional Officer should be given to the effect that the quantities of materials upon which the advances are made have actually been brought to site, that the contractor has not previously received any advance on that security and that all the materials are required by the contractor for use on items of work for which rate for finished work have been agreed upon ",(a) i only ,(b) i and iii ,"(c) ii, iii and iv ",(d) All of the above,A,"(10.2.22_a) ii-by contractor, iii- not below SDO and iv-certificate by SDO",,
82 Who shall be held personally responsible for any over-payment/irregular payment on account of payment of secured advance to contractor? ,(a) SDO officer ,(b) DO ,(c) Divisional Accountant ,(d) granting certificate about material,D,(10.2.22_a),,
 83. Pick the correct one regarding Mobilisation advance (i) It may be granted in respect of certain specialized and capital intensive works costing not less than Rupees two crore (ii) Such advances should not be more than 10% of the tendered value or Rs. 1 crore whichever is less (iii) Such advances termed as Mobilisation advance shall bear simple interest at the rate of 10% per annum to be calculated from the date of payment to the date of recovery (both days exclusive) on the outstanding amount of advance. (iv) Mobilisation advance should be classified to the respective work and so recovery of interest shall be classified to respective work (minus debit) ,(a) i and ii ,"(b) i, ii and iii ","(c) ii, iii and iv ",(d) All of the above,A,"(10.2.22_b) iii-both days inclusive, iv interest to 0049 and not to outlay of work",,
" 84. Who has full powers to make advance payments to electric supply undertakings under the Indian Electricity Act, 1910 for execution of works? ",(a) SDO ,(b) DO ,(c) DG (Works) ,(d) Government of India,B,(Note below 10.2.22_b),,
 85. An advance payment for work actually executed but not measured may be made with the previous sanction of the ,(a) DO ,(b) S.E. ,(c) Divisional Accountant ,(d) PAO,B,(10.2.23),,
 86. Sanction of the competent authority for granting advance payment for work actually executed but not measured shall be obtained on certificate rendered by an officer not below the rank of ,(a) SDO ,(b) DO ,(c) Executive in-charge ,(d) Disbursing officer,A,(10.2.23),,
" 87. Advance payments should be made at predetermined levels, which may be indicated in the sanctioned estimates, in respect of works pertaining to ",(a) Takavi ,(b) Buildings ,(c) Road & Bridges ,(c) Irrigation,B,(Note below 10.2.23),,
" 88. Normally measurements of such items of works for which advance payments have been allowed, may be taken in ",(a) same month ,(b) alternate month ,(c) both a & b ,(d) before completion of the contract,B,(Note below 10.2.23),,
 89. Detailed instructions on the provisions of advance payment to contractor may be laid down by ,(a) Administrative Ministry/Administration concerned in consultation with the Chief Controller of Accounts. ,(b) Administrative Ministry/Administration concerned in consultation with the Controller General of Accounts. ,(c) Administrative Ministry/Administration concerned in consultation with the Controller and Auditor General of India ,(d) Controller and Auditor General of India in consultation with the Administrative Ministry/Administration.,A,(Note below 10.2.23),,
 90. When an advance payment has been allowed detailed measurement should be conducted at most within ,(a) Same month ,(b) one month ,(c) two months ,(d) three months,C,(Note below 10.2.23),,
 91. Pick the incorrect one ,(a) Advance payment made shall be adjusted within three months from the date on which it was made ,(b) Extension of this period by Director General (Works)/Chief Engineer ,"(c) If extended adjusted with four months in respect of advances upto Rs.50,000 and twelve months in respect of advances exceeding Rs.50,000 but not exceeding Rs. One lakh. ",(d) Any extension of the period of adjustment beyond the above limits and beyond three Months in the case of an advance exceeding Rs. One lakh will require the previous Sanction of the Government of India.,C,(Note below 10.2.23) ii- for 50000-10000 it is 6 month and not 12 months.,,
 92. Fill in the blanks ______________ should submit a statement for the information of ___________the concerned giving details of advances made to contractors for work done but not measured so that clearance may be watched. ,"(a) SDO, DO ","(b) DO, SE ","(c) DA, SE ","(d) SE, DG (Works)",B,(last para of Note below 10.2.23),,
 93. The above statement shall be submitted ,(a) Weekly ,(b) Monthly ,(c) Quarterly ,(d) Annually,B,(Note below 10.2.23),,
 94. The Pay and Allowances of work charged Establishment borne on regular establishment will be charged under ,(a) Work concerned ,(b) Contingency ,(c) Functional Budgeted Salary Head of Account ,(d) Special Contingency,C,(10.2.25),,
 95. Wages of members of the work-charged establishment should be drawn and paid on Form ,(a) CPWA 28 ,(b) CPWA 29 ,(c) CPWA 28A ,(d) CPWA 29A,B,(10.2.26),,
 96. Form CPWA 29 is a ,(a) Pay bill ,(b) Acquittance Roll ,(c) Both a & b combined ,(d) Statement,C,(10.2.26),,
 97. A consolidated bill in this Form CPWA 29 should be prepared either for the whole sub-division or for one or more sections of it ,(a) Daily ,(b) Weekly ,(c) Fortnightly ,(d) Monthly,D,(10.2.26),,
" 98. State whether true or false A consolidated bill in this Form CPWA 29 should be prepared monthly either for the whole sub-division or for one or more sections of it, as may be convenient, but the names and claims of the entire establishment concerned excluding absentees, should be shown in each bill. ",(a) True ,(b) False,,,B,(10.2.26) including not excluding absentees,,
" 99. If the acknowledgement of an individual cannot conveniently be obtained on the bill itself, it may be obtained separately in Form ",(a) GAR 24 ,(b) CPWA 24 ,(c) GAR 28 ,(d) CPWA 28,D,(Note below 10.2.26),,
 100. Pay bills for Work Charges Establishment may be signed at any time before the last working day of the calendar month but not earlier than ,(a) three days ,(b) five days ,(c) seven days ,(d) 10 days,B,(10.2.27),,
" 101. In the case of work-charged staff attached to Sub-Divisions located away from the Headquarters of the Divisional Office, monthly pay bills may be signed not earlier than the ",(a) 25th of the month ,(b) 20th of the month ,(c) 15th of the month ,(d) 10th of the month,C,(10.2.27),,
 102. Wages remaining unpaid on a passed bill should be entered in ,(a) a simple register ,(b) CPWA 21A duly modified ,(c) Both ,(d) neither,C,(10.2.28_a),,
 103. TA Bills in respect of members of the work-charged establishment whose traveling allowance is determined with reference to the provisions in Supplementary Rules should be prepared in Form ,(a) CPWA 28 ,(b) GAR 28 ,(c) CPWA 14A ,(d) GAR 14A,D,(Note below 10.2.29),,
 104. TA Bills in respect of members of the work-charged establishment whose traveling allowance is not determined with reference to the provisions in Supplementary Rules should be prepared in Form ,(a) CPWA 28 ,(b) GAR 28 ,(c) CPWA 14A ,(d) GAR 14A,A,(10.2.29),,
 105. Form CPWA 28 when used for payment of traveling expenses to the member work charged establishment it should be countersigned prior to payment by the ,(a) SDO ,(b) DA ,(c) DO ,(d) SE,C,(10.2.29),,
 106. Every payment made to a member of the work-charged establishment other than those are regular whether on account of his wages or in recoupment of actual traveling expenses should be debited to the ,(a) Work concerned ,(b) Contingency ,(c) Functional Budgeted Salary Head of Account ,(d) Special Contingency,A,(10.2.30),,
" 107. Issues of materials to works, whether from stock or by purchase transfer or manufacture are divided into two classes ",(a) Final & Suspense ,(b) Government & Non-Government ,(c) Construction and maintenance ,(d) Contractor and direct to work,D,(10.3.1),,
" 108. State whether true or false In case of contract for finished items of the work, the contractor should be held responsible for obtaining from Government all such materials required for the work and for making payment therefore, by deduction from his bills at the rates specified regardless of fluctuation in the market rates or in the stock rates of the division. ",(a) True ,(b) False,,,A,(10.3.2_b_1),,
 109. Pick the incorrect one ,(a) No carriage or incidental charges are borne by Government for moving the materials beyond the place where the contractor has agreed to take delivery thereof. ,(b) Where the contract is not for finished item of works the material should not be issued except with the express authority of the Chief Engineer who should specify in each case the rate to be charged for the materials inclusive of delivery at the place where they are stored. ,(c) Divisional Officer should elucidate the circumstances and should also add his recommendations to competent authority in respect of the recovery rates for such materials. ,(d) No carriage or incidental charges should be borne by Government in connection with the supply.,B,(10.3.3_a) On the express authority of SE and not of CE.,,
 110. The rate charged for the supply of material to contractor not on finished items of works should be as provided in the analysis of rate for the item of work on which it would be used plus or minus the percentage above or below the ,(a) Schedule rate allowed to the Contractor or market rate or stock issue rate plus storage charges whichever is highest. ,(b) Schedule rate allowed to the Contractor or market rate or stock issue rate plus storage charges whichever is lowest. ,"(c) Average of Schedule rate allowed to the Contractor, market rate and stock issue rate plus storage charges. ",(d) Market rate or Issue rate whichever is the higher,A,(10.3.3_a),,
