"20. Capacity and infrastructure limitations have so far restricted the reach of auditors in the big data environment. The advent of big data marks a paradigm shift, which by design integrates data from various sources and in various formats to transform data into actionable information. This aims to enhance the efficiency and effectiveness of audits. IA&AD has adopted which policy to harness such opportunities? This policy is expected to facilitate greater and deeper insights into the Apex Auditable Entity’s environment to clearly identify risk areas and prioritise the audit units. ",(A) Big Data Management Policy ,(B) Big Data Work Policy ,(C) COBIT ,(D) ICASA,A,
"21. It must be the endeavour of the field offices to ensure coverage of all Apex Auditable Entities in a reasonable period of time, between ___________years. ",(A) one to two ,(B) one to three ,(C) two to three ,(D) three to five,C,
22. Criteria for regularity audits would emanate from- ,(A) specific authorities ,(B) CAG ,(C) GFR/SFR ,(D) legislation only,A,
23. Criteria for propriety issues would emanate from- ,(A) specific authorities ,(B) CAG ,(C) GFR/SFR ,(D) legislation only,C,
24. Characteristics of which audit criteria are neutral and free from any bias on the part of the auditor or on the part of the management of the auditable entity? ,(A) Acceptable ,(B) Objective ,(C) Comparable ,(D) Reliable,B,
"25. Issues that may be considered material even if the monetary value is not significant would include the following: a) Fraud; b) Intentional unlawful acts or non-compliance; c) Incorrect or incomplete information to executive, the auditor or to the legislature (concealment); d) Intentional disregard to the executive, authoritative bodies or auditors; and e) Events and transactions made despite knowledge of the lack of legal basis to carry out the particular event or transaction. ",(A) All except e ,(B) All except d ,(C) All except c ,(D) All,D,
"26. Appropriateness is the measure of the quality of evidence; that is its relevance, its validity and its reliability in providing support for the auditor’s conclusion. What refers to the extent to which the evidence has a logical relationship with, and importance to, the issue being addressed? ",(A) Relevance ,(B) Validity ,(C) Reliability ,(D) All of the above,A,
"27. Appropriateness is the measure of the quality of evidence; that is its relevance, its validity and its reliability in providing support for the auditor’s conclusion. What refers to the extent to which the evidence is a meaningful or reasonable basis for measuring what is being evaluated? ",(A) Relevance ,(B) Validity ,(C) Reliability ,(D) All of the above,B,
"28. Appropriateness is the measure of the quality of evidence; that is its relevance, its validity and its reliability in providing support for the auditor’s conclusion. What refers to the extent to which the evidence represents what it is purported to represent? ",(A) Relevance ,(B) Validity ,(C) Reliability ,(D) All of the above,B,
"29. Appropriateness is the measure of the quality of evidence; that is its relevance, its validity and its reliability in providing support for the auditor’s conclusion. What refers to the extent to which the evidence is consistent when measured or tested and includes the concepts of being verifiable or supported? ",(A) Relevance ,(B) Validity ,(C) Reliability ,(D) All of the above,C,
30. Audit evidence is gathered using a variety of techniques. What does correctly describe ‘Confirmation’? ,"(A) looking at the process or procedure being performed In performing compliance audit, this may include looking at how transactions are processed in real time by staff of the auditable entity, including processing of information and transactions in an IT system. ","(B) a type of inquiry and involves obtaining, independently of the auditable entity, a reply from a third party with regard to some particular information. ",(C) involves independently carrying out the same procedures which have already been performed by the auditable entity. ,"(D) interaction with persons outside the auditable entity to get the information from the affected parties or the beneficiaries of programmes/ schemes, as the case may be.",B,"A is Observation, C is Re-performance, D is Surveys"
31. Find the incorrect one regarding physical inspection/site visits? ,(A) Generally such inspection is conducted jointly with departmental personnel to ensure acceptability to the audit findings. ,"(B) Where the auditable entity does not co-operate with physical inspection, the fact of such non-cooperation may be appropriately documented and reported to the top management of the auditable entity. ",(C) The physical inspection may not be continued by the audit team on its own. ,"(D) Photographs taken during physical inspection/site visits are an acceptable form of evidence, provided the location and date of photograph are amply clear.",C,may be continued nevertheless
"32. While evaluating evidence auditors can find that audit evidence is conflicting i.e. while some evidence supports the subject matter information other evidences seem to contradict it. In such situations, what auditors should do? ",(A) need to weigh the extent and credibility of conflicting evidence in order to reach a conclusion ,(B) collect more evidence to resolve the conflict ,(C) A & B ,(D) A or B,D,
33. Which is incorrect? ,"(A) After determination of the scope of audit, development of audit objectives, identification of relevant criteria for measuring the selected subject matters, when specifically selected for an apex auditable entity or across auditable entities, both for regularity and propriety issues, auditors should prepare a Compliance Audit Design Matrix for the identified apex Auditable entity. ",(B) The Audit Findings matrix is an extension of audit design matrix. ,"(C) The Audit Findings matrix is intended to provide a link between the audit objectives, criteria, evidence gathered and evaluated and the audit findings that emerged on evaluation of the selected subject matters, if specifically selected, both for regularity and propriety issues. This should include all findings - both positive and negative findings. ",(D) The Audit Findings Matrix too has to be prepared for identified apex Auditable entity.,D,for all audit unit
"34. ____ for each compliance audit may include documentation relating to the audit strategy, scope and methodology, sample selection, nature and timing of planned audit procedures, audit design matrix, supervision and monitoring the progress and quality of audit, audit findings matrix, conclusions reached, the significant professional judgements made in reaching those conclusions and discussions of significant matters with management. ",(A) Audit file ,(B) Working notes ,(C) ATNs ,(D) Audit report,A,
"35. _______, maintained in one or more folders or other storage media in physical or electronic form, contains documents that summarises the specific compliance audit engagement. It should be properly indexed, referenced with and supplemented by the set of working papers. ",(A) Audit file ,(B) Working notes ,(C) ATNs ,(D) Audit report,A,
36. ___________for each compliance audit comprise of all documents collected during the field audit process. ,(A) Audit file ,(B) Working notes ,(C) ATNs ,(D) Audit report,B,
37. What serves as a link between the field work and the audit report and should therefore be complete and appropriately detailed to provide a clear trail of audit? ,(A) Audit file ,(B) Working notes ,(C) ATNs ,(D) Audit report,B,
