 16. All transactions connected with the drawings and encashments of Telegraphic Transfers and drafts on RBI account including transactions relating to interest drafts and dividend warrant- payment orders issued by the RBI in connection with Central/State Government Securities shall be classified under ,(a) 8658 ,(b) 8782 ,(c) 8999 ,(d) 8680,B ,
 17. Pick the incorrect one ,(a) Actual telegram charges recovered by treasuries for issue of telegraphic transfers shall be credited as miscellaneous receipt of the treasury. ,(b) The service stamps required for the despatch of telegrams shall be debited to contingency head of the treasury ,(c) Both A&B ,(d) None of the given,D ,
" 18. Wherever Pay and allowances and contingencies of officers are drawn on regular bills, shall be classified under the particular heads of classification on those bills in respect of ",(a) Treasury staff ,(b) State Public Works Department ,(c) AG and its staff ,(d) All of the above,B ,
 19. Payments on account of compensation for lands for the State PWD made by State Land Acquisition Officer not acting as Public Works Disbursers shall be entered in the treasury accounts as debitable to ,(a) State PWD ,(b) Suspense Account ,(c) State Land Acquisition Department ,(d) Any of the given,A ,
 20. Remittance transaction between two non-bank treasury or between a non-bank treasury and a bank treasury belonging to the different State Govt. shall be accounted in major head ,(a) 8658 ,(b) 8782 ,(c) 8793 ,(d) 8679,C ,
" 21. Pick the correct one i. Earnest money deposits made by intending tenderers of the Forest Department either direct or through Departmental Officers concerned, shall be credited as Revenue Deposit ii. Earnest money deposits made in a Treasury in favour of a departmental officer of another Government shall be classified in the treasury accounts is accounted for under the major head 8658 in case of Central Government and 8793 in case of other State Government iii. Remittance transaction between two non-bank treasury or between a non-bank treasury and a bank treasury belonging to the same Govt. shall be accounted for under the major Head 8782-101-Cash Remittance iv. Remittances between two bank treasuries themselves whether Central or State shall be accounted at treasury under the major head 8658. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,A ,
" 22. Remittances between two sub-treasuries in the same district or between and sub-treasury a treasury and sub-treasury subordinate to it shall be treated merely as ""Transfers within the Treasury"" and watched through the ",(a) Treasurer’s balance sheet ,(b) AG’s suspense Sheet ,(c) Cashier’s suspense sheet ,(d) Accountant’s balance sheet,D ,
" 23. Pick the correct one i. Remittance transaction between State Bank or non-bank treasury and a Central Treasury (Bank or non-bank) is booked under the major head 8658-PAO suspense ii. Remittances between two non-bank 'treasuries of Union Territories which render accounts to two different Accountants General, shall be accounted for in the Treasury accounts under the head 8999-105-Remittances in Transit-Foreign iii. If the business of the remitting or receiving treasury or sub-treasury is conducted by the bank the remittance shall be classified as ""Remittance in Transit-Local"" below the major head 8999-Cash Balance iv. Remittances from a• small coin depot to a State non-bank Treasury and vice versa shall be accounted for as receipt from/ payment to the Cent. Govt. respectively and accounted under the major head 8658-PAO Suspense ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,D ,
 24. Suspense account for remittances from a• small coin depot to a State non-bank Treasury and vice versa shall be adjusted by the AG with ,(a) Currency Officer ,"(b) CAS, RBI Nagpur ",(c) Pr. AO Department of Economic Affair ,"(d) Pr. AO, Department of Revenue",C ,
 25. Suspense account for remittances from a• small coin depot to a State non-bank Treasury and vice versa shall be adjusted between the AG and Pr. AO Economic Affairs by ,"(a) Book Transfer by CAS, RBI Nagpur ",(b) Exchange of cheque/DD ,(c) Short drawl ,(d) All of the above,B ,
 26. The Pr. AO credits/debits appearing in the accounts to be rendered by currency officers and clear the claim by affording debits/credits to the major Head 8782 under the minor head ,(a) 101-Small Coin ,(b) 106-Small Coin ,(c) 102-Cash Remittance ,(d) 108-Cash remittance,B ,
 27. Remittances between Small Coin Depots or between a Small Coin Depot and a Mint shall ,(a) pass through the treasury account ,(b) not pass through the treasury accounts ,(c) pass or not pass through the treasury accounts as determined by the State Govt. ,(d) pass or not pass through the treasury accounts as determined by the Accountant General.,B ,
 28. Pick the incorrect one ,"(a) if both the depots are under the jurisdiction of the same Currency Officer, transfers from one Small Coin Depot to another shall be accounted for in the books of the depots concerned under '8782-106 Small Coin Depot Remittance ","(b) if both the depots are not under the jurisdiction of the same Currency Officer, transfers from one Small Coin Depot to another shall be accounted for in the books of the depots concerned under 8785-Other Remitt-101-Foreign Remittance ",(c) Transfers between Small Coin Depots and Mints shall be accounted for by the Small Coin depots under the Major Head 8782-107-Mint Remittance ,(d) None of the given,D,
 29. All sums deducted from State bills/Central Pension on account of Income-Tax creditable to Central Government shall be entered as credit to 8658 Suspense under the minor heads ,(a) TDS suspense ,(b) PAO Suspense ,(c) PSB Suspense ,(d) Classified Suspense,A ,
 30. Pick the correct one ,"(a) In the case of local funds the net amount of a voucher shall be entered as payment, and the deductions should not be credited as receipt ","(b) When a deposit .is subject to abatement, the full sum shall be entered as payment, and the sum abated brought to credit ",(c) In the 'case of Bills containing deductions on account of licence fee of building borne on the books of the Public Works Department; the net amount shall be entered as payments without affording any credit Public Works head of account concerned ,(d) All of the above.,B ,
 31. The States where classified accounts are rendered by the sub-treasuries to the Head Treasury and by the latter to the Accountant General concerned are ,(a) Andhra Pradesh and Tamil Nadu ,(b) Tamil Nadu and Karnataka ,(c) Andhra Pradesh and Kerala ,(b) Karnataka and Kerala,A ,
 32. Pick the correct one ,"(a) When match excise banderols or opium are sold, the total sales will be entered in the Treasurer's cash book before it is closed for the day and a memorandum will be prepared and forwarded to the Accountant. ",(b) A Stock registers will be maintained for match excise banderols and opium in the custody of the Treasury Officer ,(c) The form of Stock registers for match excise banderols and opium may be prescribed by the competent authority after consultation with AG ,(d) All of the above,D ,
 33. A complete account of cash transactions and book transfers relating to the District treasury including those of the sub-treasuries within its jurisdiction should be kept in Cash Book in form ,(a) IST 3 ,(b) IST 1 ,(c) IST IA ,(d) IST 2,B ,
 34. In respect of treasury accounting Cash book should be maintained in ,(a) two separate parts one for Central Government and the other for State Government ,"(b) three separate parts one for Central Government, second for UT and the third for State Government ",(c) two separate parts one for receipts and the other for disbursements ,"(d) three separate parts one for receipts, second for disbursements and third for loan & advances",C ,
 35. Pick the correct one ,(a) Be it bank treasury or non-bank treasury cash receipts should be entered in the accounts of the treasury as soon as the connected memorandum or challan is received from Treasurer ,"(b) Cash payments, the charge should be entered in the accounts as soon as the payment is authorised on voucher or other 'document in case of both a bank treasury and non-bank treasury ",(c) Both A&B ,(d) None of the given,D ,
 36. When the receipts of a department liable to frequent refund they may be entered in a special register prescribed for ,(a) Revenue Deposit ,(b) Recurring Deposit ,(c) Suspense register ,(d) Personal Deposit,A ,
 37. Pick the incorrect one ,(a) Departmental receipts for which separate returns are submitted should be recorded in separate registers in Form I.S.T.2 ,(b) Departmental payments for which separate returns are submitted should be recorded in separate registers in Form I.S.T.3 ,(c) The subscriptions realised in cash on behalf of each service and other Fund should be recorded in a separate IST 2 ,(d) None of the above,D ,
 38. State whether true or false Adjustments of receipts or payments by book transfer between the Central and State Sections of the Treasury Accounts is not permissible. ,(a) True ,(b) False,,,A ,
" 39. Where the cash business of a State Treasury or Sub• treasury is conducted by the bank, a daily accounts of receipts and disbursement is rendered by the ",(a) bank to the Treasury Officer concerned ,(b) bank to the Accountant General ,(c) Treasury Officer to Accountant General ,(d) both Treasury Officer and bank to the AG,B ,
" 40. Postal transactions of remittances and drawl of fund against assignment account in the bank and similar defence transaction including Defence/ Railway/Central (Civil) pensions paid through Public Sector Banks are concerned, the scroll and supporting schedules and challans will be rendered by the ",(a) bank to Treasury ,(b) bank to AG ,(c) bank to concerned accounts officer directly ,(d) AG to concerned accounts officer,C ,
" 41. When the cash book and the subsidiary register are posted, the voucher should be numbered and arranged according to the ",(a) Cash Book ,(b) register in which they are entered ,(c) value of the voucher in ascending order ,(d) Any of the above at the discretion of TO,B ,
 42. Pick the incorrect ,(a) The net difference between the total receipts and the total payments as shown in the bank’s daily statement should be posted in a subsidiary register called Currency Chest in IST 5 ,(b) The figures posted in Register of Deposit with the RBI should be checked and agreed with the pass book forwarded by the bank with its daily accounts ,(c) The figures posted in Register of Deposit with the RBI in case of State Treasury should be checked and agreed with the total shown in the daily schedule rendered by the bank to its HO with a copy to Treasury Officer. ,(d) None of the given,A,
 43. The transactions occurring at sub-treasury should be reported to District Treasury in Form IST 6 duly supported with vouchers on a ,(a) monthly basis ,(b) fortnightly basis ,(c) weekly basis ,(d) daily basis,D ,
 44. The daily sheet received from sub-treasury should be posted in the accounts of the District treasury on ,(a) the same day of their receipt ,(b) same day or at the latest on the day following their receipt ,(c) same day or at the latest within two days of their receipt ,(d) same day or at the latest within three days of their receipt,B ,
 45. Items of receipts or payments in the daily sheets of sub-treasuries should be excluded from the accounts of the District treasury ,"(a) Remittances of cash to and from a sub-treasury, from and to another sub-treasury within the district or the District treasury. ","(b) Transfer of funds through currency, to and from sub- treasuries against opposite payments at the District treasury or at another sub-treasury subordinate to the same District treasury. ",(c) Both A&B ,(d) None of the given,C ,
" 46. After the several subsidiary registers have been written up and completed in respect of cash and transfer items, the daily total of each register should be carried into the appropriate ",(a) Cash Book ,(b) Consolidated Abstract ,(c) Classified Abstract ,(d) Respective Schedule,A ,
 47. Net totals of receipts and disbursements of a days should agree with the totals shown in the ,(a) Accountant’s cash Book/Daily A/c ,(b) Treasurer’s cash Book/Daily A/c ,(c) Consolidated Abstract ,(d) Classified Abstract,B ,
 48. Pick the incorrect one ,(a) A balance Sheet in Form I.S.T-7 should be drawn up and reconciled with the daily balances as per Treasurer’s Cash Book. ,(b) Any amount found surplus or deficit in treasury balance should be posted in the cash book ,(c) The daily closing of cash books should be signed after checks and method of verification as prescribed by the Treasury Rules or by the Accountant General ,(d) None of the given,C ,
 49. State whether true or false The formal closing of the accounts of the several sub-treasuries for the month should be fixed for the latest date by which any risk of failure to receive that day's returns at the HQ’s treasury before the end of the month will be eliminated ,(a) True ,(b) False,,,A ,
 50. The HQ’s accounts for the month of March' must be kept open until receipts of daily sheet of every sub-treasury for ,(a) 7th April ,(b) 1st April ,(c) 5th April ,(d) 31st March,D ,
 51. Every endeavour should be made to close the March accounts not later than the ,(a) 31st March ,(b) working day following 31st March ,(c) 5th April of the following year ,(d) 10th April of the following year,C ,
 52. All correcting entries affecting Inter-Govt. adjustments and those pertaining to the Railways should reach the AG latest by ,(a) 7th April of the following year ,(b) 12th April of the following year ,(c) 10th April of the following year ,(d) 15th April of the following year,B ,
 53. The department that renders separate cash account to Audit or Accounts Office ,(a) Public Works Department ,(b) Forest Department ,(c) Both A&B ,(d) None of the given,C ,
 54. Pick the incorrect one ,(a) Moneys received• from or on behalf a departmental officers who render separate cash accounts to the Audit/Accounts Office should be recorded at once in a register in Form IST 8 ,(b) Payment made to or on behalf a departmental officers who render separate cash accounts to the Audit/Accounts Office should be recorded at once in a register in Form in IST 9 ,(d) Remittances by Forests Officers should be entered in a register in Form I.S.T. 10 and Funds supplied to Forest Disbursing Officers by means of cheques or otherwise should be entered in Register of Forest Cheques Paid (Form I.S.T. 11). ,(d) None of the given,D ,
 55. Form of register/schedule to incorporate transactions pertaining to payment to defence pensioners made directly by treasuries/sub-treasuries (both bank and non-bank) shall be prescribed by the ,(a) Accountant General ,(b) Controller General of Defence Account ,(c) Controller General of Defence Account in consultation with Accountant General ,(d) Accountant General in consultation with Controller General of Defence Account,B ,
 56. Every item of security deposit should at once be recorded in Form IST 16 except to those relating to ,(a) election to Lok Sabha ,(b) election to Panchayat & Urban Local Bodies ,(c) Court Deposit ,(d) All of the above,A,
 57. Pick the incorrect one ,(a) Register in Form I.S.T. 18 should be maintained for security deposits relating to election to the Lok Sabha ,(b) Register in Form I.S.T. 18 should be maintained in two parts. Part I for recording receipt of security deposit and Part II for repayment of such deposit ,"(c) When an item of security deposit relating to election to Lok Sabha is refunded on the day of it receipt itself, it should not pass on to treasury accounts ",(d) None of the given,C ,
 58. Every item of security deposit relating to election to Lok Sabha should be recorded in the name of the ,(a) Collector ,(b) State Election Commissioner ,(c) Chief Election Commissioner ,(d) person from whom received,D ,
 59. When in the case of bank treasury a deposit is repaid by an order on the bank ,(a) the 'entry in Register of Receipt and Register of Repayments should be made when the order is issued ,(b) the 'entry in Register of Receipt should be made when the order is issued and that in the Register of Repayments 'when the repayment is reported in the daily account of the bank ,(c) the 'entry in Register of Receipt and Register of Repayments should be made when the repayment is reported in the daily account of the bank ,(d) the 'entry in Register of Receipt should be made when the repayment is reported in the daily account of the bank and that in the Register of Repayments 'when the order is issued,B ,
" 60. State whether true or false If in any case, repayment is not made on the date of the order on the bank, the actual date of repayment should also be noted in the Register of Receipts just below the entry of the date of the order ",(a) True ,(b) False,,,A ,
 61. Pick the correct one ,(a) The Treasury Officer should examine the Register of Receipts of Deposits (I.S.T. 16) of the second preceding year and transfer to a clearance register in (I.S.T. 34) all the outstanding balances which are not reported for lapse under the rules of Government in April every year ,"(b) To this clearance register should also be transferred any items in the preceding last clearance register but one, that are for special reasons not allowed to lapse to Government. ",(c) Both A&B ,(d) None of the given,C ,
 62. A certificate should .be furnished on the extract register of receipt of deposits stating that he has examined the Register personally and that the entries are made with utmost care and regularly ,(a) Quarterly by the Collector ,(b) Quarterly by the Treasury Officer ,(c) Annually by the Treasury Officer ,(d) Annually by the Collector,A ,
 63. Transferring of the cases to Clearance register and quarterly certificate of correctness by the Collector or by a Gazetted Officer on his behalf is not applicable to ,(a) Court Deposit ,(b) Election to Lok Sabha ,(c) Election to Panchayat & Urban Local Bodies ,(d) None of the given,B ,
 64. Pick the correct one ,"(a) In case of Security deposit pertaining to Lok Sabha election, orders relating to Lapsed Deposit is not applicable ",(b) Statement of lapsed deposit in IST 40 shall not be submitted to the Accountant General. ,(c) Both A&B ,(d) None of the given,B ,
 64. A quarterly certificate from Collector with regard to Deposit is meant to secure that ,(a) All necessary entries are made and initialled without fail at the time of transaction and ,(b) No money is placed unnecessarily in deposit or allowed to remain there without good cause ,(c) Both A&B ,(d) None of the given,C ,
 65. Receipts and payments on Personal Deposit Accounts should be recorded in personal ledgers in Form ,(a) IST 19 ,(b) IST 20 ,(c) IST 21 ,(d) IST 22,A ,
 66. Disbursements from PDA is made ,(a) from any particular item and not from the aggregate balance in hand and a suitable remark is to be made ,"(b) not from any particular item, but from the aggregate balance in hand and suitable remark is to be made ","(c) from any particular item, but from the aggregate balance in hand and no further remark is to be made ","(d) not from any particular item, but from the aggregate balance in hand and no further remark is to be made",D ,
" 67. When paid at the sub-treasury, the amount of the cash order should be entered in the subtreasury cash book and daily sheet as a ",(a) repayment of deposit ,(b) contingent payment ,(c) miscellaneous payment ,(d) service payment,C ,
 68. The amount of the cash order paid at sub-treasury should be treated in the accounts of the District treasury ,(a) repayment of deposit ,(b) contingent payment ,(c) miscellaneous payment ,(d) service payment,A ,
 69. Pick the correct one ,(a) The daily totals of receipts and payments should be carried from the personal ledger into the Cash Book ,(b) The aggregate daily total only from Cash Book should be carried to the Register of Personal Deposit in IST 21 ,(c) Both A&B ,(d) None of the given,D,
 70. The types of methods in which the accounts of Civil and Criminal Court Deposits may be kept at the treasury ,(a) single ,(b) two ,(c) three ,(d) four,B ,
" 71. When each deposit is separately paid into and drawn from the treasury upon documents passed by the competent authority, the accounts of civil and criminal Court deposit should be treated and accounted for as ",(a) Security Deposit ,(b) Personal Deposit ,(c) Revenue Deposit ,(d) Capital Deposit,C ,
" 72. Deposits made at a sub-treasury should be brought, item by item through the daily sheet upon the district registers and must be numbered in the ",(a) general Series ,(b) special series ,(c) either A or B ,(d) series as directed by the AG,A ,
" 73. In the District Registers merely the daily totals of transactions relating to personal deposits such as, Ward, Estates, Dispensaries, Municipalities, etc. which take place at sub-treasuries will pass on to account unless otherwise instructed by the ",(a) State Government ,(b) Treasury Officer ,(c) State Government in consultation with AG ,(d) Accountant General,D ,
 74. When the Officer-in-Charge of a sub-treasury is empowered to repay in his own authority without formal authority from the District treasury a Register of such deposits should be kept at the sub-treasury and no need to maintain the same at the District treasury ,(a) True ,(b) False,,,B ,
 75. Each folio of the Issue-cum-Drawing Schedule Register is perforated along with the dotted line and portion to the side of the perforated line forms the schedule is ,(a) right side ,(b) left side ,(c) upper side ,(d) lower side,A ,
 76. Issue-cum-Drawing Schedule Register in IST 22/IST 23 for telegraphic transfer/draft respectively shall be maintained ,(a) month wise ,(b) quarter wise ,(c) half-yearly wise ,(d) financial year wise,D ,
 77. The Treasury Officer should send an advice of RBI Remittances drawn by him during the day in the form prescribed by the RBI ,(a) on the very next day on which the telegraphic transfer or draft is drawn to the Treasury/Bank on which drawn upon ,(b) on the very day on which the telegraphic transfer or draft is drawn to the Treasury/Bank on which drawn upon ,(c) on the day prior on which the telegraphic transfer or draft is drawn to the Treasury/Bank on which drawn upon ,(d) by two working days on which the telegraphic transfer or draft is drawn to the Treasury/Bank on which drawn upon,B ,
 77. The total of the column Amount in the Issue-cum-Drawing Schedules Register should agree with the total of drawings as entered in the several advices for' the day and also the total receipts of the day booked in the Cash Book under the head ,(a) RBI Remittances ,(b) RBI Deposit ,(c) RBI Cash Balance ,(d) RBI Suspense,A ,
" 78. At the close of the day, after the accounts are balanced, the Schedule, which contains the original entries, should be detached from the Issue-cum-Drawing Schedules Register and forwarded to the ",(a) RBI on next day ,(b) RBI on the same day ,(c) Accountant General on the same day ,(d) Accountant General on next day.,C ,
 79. The applications for remittances will be ,(a) forwarded to RBI ,(b) forwarded to Accountant General ,(c) forwarded to bank/treasury concerned ,(d) retained at the treasury,D ,
 80. The Exchange realised on account of telegraphic transfer and draft shall be credited as ,(a) revenue deposit ,(b) miscellaneous receipt ,(c) service receipt ,(d) reduction of expenditure,B ,
 81. As each Telegraphic Transfer or Draft is encashed the date of payment should be noted in the column' provided for the purpose and initialled by the ,(a) Cashier ,(b) Treasurer ,(c) Accountant ,(d) Treasury Officer,D ,
 82. A record of Telegraphic Transfers and Drafts encashed should be maintained in a Register called Register of RBI Remittance Encashed in Form ,(a) IST 25 ,(b) IST 26 ,(c) IST 24 ,(d) IST 27,C,
 83. At the close of the day all encashments made during the day as recorded in the RBI Remittance Encashed Register should be listed in a Schedule in the form prescribed by the ,(a) Reserve Bank of India ,(b) State Government ,(c) Accountant General ,(d) Accountant General in consultation with RBI,A ,
 84. Pick the correct one ,(a) The schedule along with the receipted draft and paying receipts in case of telegraphic transfers should be forwarded on the daily basis to the Accountant General ,(b) Where RBI Remittances are drawn by or encashed at sub-treasuries daily schedules of drawings and encashments should be submitted to district treasury for onward submission to the Accountant General ,(c) Both A&B ,(d) None of the given,A ,
 85. In the Cash Book of the District Treasury the total daily receipts and' payments at each subtreasury will be exhibited under a separate sub-head ,(a) RBI Deposit-Sub-treasury ,(b) RBI Remittance-Sub-treasury ,(c) RBI Remittance-Treasury ,(d) RBI Deposit-Treasury,B ,
 86. Pick the correct one ,(a) Receipts and payments of telegraphic transfer/draft should not however be incorporated in the corresponding Registers of the District Treasury ,"(b) The amount when refunded by the drawing treasury should be entered in the Register of ""Reserve Bank of India Remittance Encashed ",(c) It must appear in the Register even though issue and cancellation take place on the same day. ,(d) All of the above,D ,
 87. The cancelled draft should ,(a) be destroyed ,(b) be retained for the period prescribed ,(c) accompany the Schedule of Encashment ,(d) be returned to bank on which drawn,C ,
 88. The returns prescribed for submission to the Accountant General should be prepared from and the Registers subsidiary thereto ,(a) Accountant’s Cash Book ,(b) Treasurer’s Cash Book ,(c) Both Accountant and Treasurer’s Cash Book ,(d) General Cash Book,A ,
" 89. The returns, falls due for despatch on a holiday, may be sent ",(a) one day prior ,(b) one day late but not more than one day ,(c) one day late but not more than two day ,(d) one day late but not more than three day,B ,
 90. Pick the incorrect one ,(a) Separate returns should be rendered by State treasuries in respect of transactions of the Central Government and State Government ,"(b) The Cash Account and List of Payments should be prepared in Forms I.S.T 29 and I.S.T 30 respectively, in which heads of receipts and payments, should be printed in the order prescribed by the Controller General of Accounts ","(c) The Cash .Account should show the total receipts collected, and the List of Payments, should show the total payments made during the month ",(d) None of the given,B ,
 91. State whether true or false The difference between the monthly totals of receipt and payment columns of the subsidiary Register of RBI Deposits should be carried into the appropriate Cash Account or the List of Payments according as the difference represents net drawings from or net payments into the RBI during the month. ,(a) True ,(b) False,,,A ,
 92. The Cash Accounts compiled and rendered by State treasuries should be supported by a closing abstract in Form ,(a) IST 30 ,(b) IST 29 ,(c) IST 31 ,(d) IST 32,C ,
 93. In Closing Abstract (IST 31) period of payment as per schedule has been categorised into ,"(a) four (1-7th, 8-14th, 15-21st and 22-31st) ",(b) two (1-14th and 15-31st) ,"(c) three (1-7th, 8-14th and 15-31st) ",(d) two (1-10th and 11-31st),D ,
 94. Form and number of the schedule to accompany the monthly account is determined by the ,(a) State Government ,(b) State Govt. in consultation with the AG ,(c) Accountant General ,(d) AG in consultation with the State Govt.,C ,
 95. Pick the correct one ,(a) There should be separate schedules of the receipts and expenditure for each department and for each major head of account not relating to any particular department ,(b) Receipts on account of departments for which descriptive major heads are not opened on the receipts side should be included in the schedules for the major head 8680- Misc General Service ,"(c) In the case of small departments or of major heads under which the transactions are few, two or more such departments or major heads may be treated for the purpose of this rule as relating to a single department at the discretion of State Government ",(d) All of the above,A ,
 96. Where a separate schedule has been prescribed by the AG ,(a) it should be prepared and submitted only when a transactions occurred during the period ,(b) it should be prepared and submitted irrespective of transactions occurred or not during the period ,"(c) it should be prepared and submitted only when a transactions occurred during the period, however in respect of March a NIL report should be submitted even when there is no transaction in the month of March. ","(d) it should be prepared and submitted only when a transactions occurred during the period, however, in respect of September and March a NIL report should be submitted even when there is no transaction in these months.",B,
" 97. Advances of pay, travelling allowances, etc., to Government servants and recoveries of such advances should be included in the schedules of ",(a) Department to which employee belongs ,(b) Common schedule related to service payment ,(c) General schedule relating to Pay and Allowances ,(d) Government (Central/State/UT) to which employee belongs,A ,
 98. Payments should be shown in a separate column of the schedule of payments of the department concerned or in a separate schedule (Form. I.S.T. 26) altogether the total of which should be brought forward as a single item in the relevant schedule of payment relating to personal claims of ,(a) High Court Judges ,(b) All India Services ,(c) Gazetted Officer ,(d) State PWD and Forest Department,C ,
" 99. Where personal claims of Gazetted Officers are shown in a separate column of the schedule of payments of the department concerned, schedule to be prepared in ",(a) single copy ,(b) quadruplicate ,(c) triplicate ,(d) duplicate,D ,
 100. Pick the incorrect one ,"(a) The vouchers for refunds of revenue should be entered in a separate subsidiary schedule for each department, and the total of this schedule should be entered as a distinct item in the relevant schedule of payments. ",(b) Refunds of revenue may be shown in a separate column in the payment schedule of the department or major head concerned ,(c) The vouchers pertaining to each schedule should be numbered consecutively in monthly series ,(d) None of the given,D ,
 101. Schedules of receipts in respect of income-tax deduction from bills for salaries and pensions should be prepared ,(a) in two separate schedule one for the tax collected on pension wholly debitable to Central Govt. and other for Income tax deducted from salaries and pension debitable to other Govt. ,(b) in a single schedule showing the total of income-tax deduction from bills for salaries and pension ,"(c) in three separate schedule one for the tax collected on pension wholly debitable to Central Govt.(Civil), second for Railways, Post and Defence and third for Income tax deducted from salaries and pension debitable to other Govt. ",(d) any of the above as directed by the Accountant General.,A ,
 102. Schedule with respect to transaction relating to Central Govt. are listed on the standardised forms except those relating to department ,(a) Railways ,(b) Defence ,(c) Post ,(d) All of the above,B ,
" 103. The form of register/schedule for recording transactions relating Central Govt. (Civil), Postal and Railways is ",(a) IST 26 ,(b) IST 27 ,(c) IST 28 ,(d) IST 29,B ,
" 104. For the transactions on account of each Deposit, Local Fund, Non-Judicial Stamp, match excise banderols or tobacco excise duty labels and of excise opium an account should be operated in Form I.S.T. 37 called ",(a) Clearance Register ,(b) Plus and Minus Memorandum ,(c) Addition and Deletion Register ,(d) Progressive Register,B ,
 105. The deduction from the balances in the Plus and Minus Memoranda should tally with the corresponding entries of ,(a) Receipt in account ,(b) payment in account ,(c) both receipt and payment in accounts ,(d) neither receipt nor payment in account,A ,
 106. Pick the correct one ,(a) Closing balances in the Plus and Minus Memoranda should be certified as agreeing with the stock register and Accounts maintained in the treasury ,(b) Memoranda may also be required of the outstanding balances of any class of advances which the District or other Revenue Office had authority to make ,(c) The plus and minus memoranda should be prepared in such separate parts as may be determined by the Accountant General ,(d) All of the above,D ,
" 107. State whether true or false Deductions relating to particular departments may be furnished, wherever this is possible, on the reverse of the concerned payment schedules ",(a) True ,(b) False,,,B ,
 108. Pick the correct one ,(a) No difference should ever exist between the closing balance of one mouth in the Plus and Minus Memoranda and the opening balance of the next ,"(b) Any addition to, or deduction from, the balance should be made by a special entry to be explained by a foot-note. ",(c) Both A&B ,(d) None of the given,C ,
 109. The balance in the plus and minus memorandum of deposit transactions should be reduced by the amount reported for lapse so that it may agree with the aggregate of repayable deposit balance upon the deposit register for the month of ,(a) March ,(b) September ,(c) December ,(d) April,D ,
" 110. In the case of a local fund, which does not have its distinctly separate cash balance the balance column in plus and minus memorandum should ",(a) not to be filled in ,(b) be filled in ,(c) be filled in or not to be filled in as directed by the AG ,(d) be filled in or not to be filled in as directed by the State Govt.,A,
