6. Pick the correct one regarding Sugamya Bharat Abhiyaan or Accessible India Campaign ,(a) The scheme lines in with the Article 9 of UN Convention on the Rights of Persons with Disabilities to which India is a signatory since 2015 ,"(b) The scheme also comes under Person with Disabilities Act, 1965 under Section 44 to 46 for equal opportunities and protection of rights which provides non-discrimination in transport to person with disabilities ",(c) Both A&B ,(d) None of the given,D
1. Beti Bachao Beti Padhao was launched by the Prime Minister Narendra Modi on ,(a) 22nd January 2016 ,(b) 22nd January 2015 ,(c) 8th March 2015 ,(d) 8th March 2016,B
2. The scheme was launched ,"(a) Panipat, Haryana ","(b) Patna, Bihar ","(c) Nagore, Rajasthan ","(d) Varanasi, Uttar Pradesh",A
3. The Scheme was started with initial funding of ,(a) Rs. 1000 crore ,(b) Rs. 500 crore ,(c) Rs. 300 crore ,(d) Rs. 100 crore,D
4. The Census 2011 data showed a significant declining trend in the Child Sex Ratio (CSR) between 0-6 years with an all-time low of ,(a) 818 ,(b) 908 ,(c) 918 ,(d) 808,C
5. The Scheme aims to address the issue of the ,(a) declining child sex ratio (CSR) ,(b) low women literacy rate (WLR) ,(c) child marriage ratio (CMR) ,(d) All of the above,A
6. Beti Bachao Beti Padhao Yojna is a national initiative run by ,(a) Ministry of Women and Child Development ,(b) the Ministry of Health and Family Welfare ,(c) Ministry of Education ,(d) All of the above jointly,D
7. The Beti Bachao Beti Padhao Yojna initially focused multi-sector action in ,(a) 100 districts throughout the country where there was a low Child Sex Ratio. ,(b) 100 districts throughout the country where there was a low Women Literacy Rate ,(c) 100 districts throughout the country where there was a a high Child Marriage Rate ,(d) All the districts throughout the country,A
8. Who is the brand ambassador of the Beti Bachao Beti Padhao Yojna ,(a) Saina Nehwal ,(b) Jwala Gutta ,(c) Sakshi Mallik ,(d) PV Sindhu,C
9. Pick the correct one ,(a) The Govt of India has formed a National Executive Committee to promote Beti Bachao Beti Padhao (BBBP) across the country. ,(b) Dr. Rajendra Phadke is the National Convener of BBBP Abhiyan. ,(c) The Beti Bachao campaign is also supported by the Indian Medical Association.,(d) All of the above,D
10. The objectives of the scheme is ,(a) to prevent gender based sex selective elimination ,(b) to ensure survival and protection of the girl child ,(c) to ensure education and participation of the girl child ,(d) All of the above,D
"11. In second Phase of the Beti Bachao Beti Padhao (BBBP), how many districts were added? ",(a) 61 ,(b) 51 ,(c) 71 ,(d) 81,A
12. In the second phase additional district were selected ,(a) from 11 states/UTs having CSR above 918 ,(b) from 11 states/UTs having CSR below 918 ,(c) from 15 states/UTs having CSR above 918 ,(d) from 15 states/UTs having CSR below 918,B
13. The Pan India expansion of the Beti Bachao Beti Padhao (BBBP) Yojna covering all 640 districts (2011 census) was launched on ,(a) 8th March 2017 ,(b) 15th August 2018 ,(c) 8th March 2018 ,(d) 15th August 2017,C
1. BHIM stands for ,(a) Bharat Interface for Money ,(b) Bharat Intelligent Money ,(c) Brihad Hindustan In Interface for Money ,(d) Brihad Hindustan Intelligent Money,A
2. BHIM is an Indian ,(a) Net-banking Payment app ,(b) Virtual Payment app ,(c) Crypto-currency app ,(d) Mobile Payment app,D
3. BHIM has been developed by the ,(a) RBI ,(b) NPCI ,(c) BPCI ,"(d) IIT, New Delhi",B
4. BHIM is based on ,(a) Core Banking ,(b) Net-banking ,(c) UPI ,(d) All of the above,C
5. UPI stands for ,(a) Unified Payment Interface ,(b) Uniform Payment Interface ,(c) Under Payment Interface ,(d) Universal Payment Interface,A
6. BHIM was launched on ,(a) 30th November 2016 ,(b) 30th December 2016 ,(c) 1st January 2017 ,(d) 15th March 2017,B
7. NPCI is abbreviated form of ,(a) National Payment Council of India ,(b) National Payment Commission of India ,(c) National Payment Corporation of India ,(d) National Payment Committee of India,C
8. The BHIM application supports ,(a) All Indian Bank ,(b) All Indian and International Bank ,(c) All Indian Banks which use UPI ,(d) All Indian and International Bank which use UPI,C
9. UPI is built over ,(a) Core-banking ,(b) Net-banking ,(c) PFMS ,(d) IMPS,D
10. IMPS means ,(a) Intermediate Payment System ,(b) Intermediate Payment service ,(c) Immediate Payment System ,(d) Immediate Payment Service,D
