 1. The cash and stock accounts of the divisional office for a month are closed on ,(a) Last day of the month ,(b) Last working day of the month ,(c) Last day of the year ,(b) Last working day of the year,B,22.1.1
 53. The audit of schedule dockets is conducted in the Pay and Accounts Office on the assumption that petty vouchers and initial stock account in support of the certified amounts of untouched and stock charges have been duly checked by ,(a) Cashier ,(b) Accountant ,(c) DA ,(d) DO,C ,Note_22.4.2
 53A. Who is personally responsible for accuracy of these amounts as stated in the Schedule Dockets ,(a) Cashier ,(b) Accountant ,(c) DA ,(d) DO,C,Note_22.4.2
 54. The Form C.P.W.A 62 should be signed by the ,(a) DA ,(b) DO ,(c) SE ,(d) PAO,B ,Note_22.4.3 (CPWA 62 is TEO)
" 55. Pick the correct one (i) Registers of Revenue Realized is maintained in CPWA 46 for all type of revenue receipts. (ii) a separate register being maintained for each major head and in the case of works for which separate capital accounts are kept, one for each separate system or roject (iii) In this register a column is opened for each minor head of revenue and detailed heads subordinate to it other than Deduct Refunds for which a single deduction is made from the total revenue of the month. (iv) Details of amount making up the figure to be deducted being recorded in a separate Register of Refund in CPWA 46A ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A ,22.4.4 (i) to (ii)
 56. Pick the item incorrectly matched ,(a) Schedule of transactions adjusted under the head CSSA: CPWA 76A ,(b) Register of license fee of buildings and lands: CPWA 49 ,(c) Schedule of Establishment Expenditure: CPWA 64A ,(d) Transactions pertaining to MPSSA/MWA: CPWA 69,D ,22.4.4.(a) (xi) It is CPWA 67 and CPWA 69
" 57. Licence fee and other revenue receipts pertaining to (a) Military Engineer Services, (b) Indian Air force, (c) Department of Posts and (d) Department of Telecommunications and (e) Archeological Works of the Central Government for conservation of ancient monuments should be posted in separate register ",(a) CPWA 46 ,(b) CPWA 46A ,(c) CPWA 49 ,(d) CPWA 49A,C ,Note 1_22.4.4(b)
" 58. State whether True or False When under a major head of revenue, there is more than one system of works, for which separate capital accounts are kept, a summary of the receipts of all systems working up to the totals of the major head, should also be prepared. ",(a) True ,(b) False,,,A ,Note 3_22.4.4 (b)
58A. Transactions grouped in Schedules of Debit/Credit to Misc. Head of Accounts in CPWA 76 are adjusted finally in the books of the ,(a) Division ,(b) PAO ,(c) CCA ,(d) Ministry of Urban Development,B ,22.4.4(d)
 59. Transactions pertaining to which of the following Major Head is not grouped under Schedule of Misc. Debit/Credit to Misc. Heads of Accounts ,(a) 0021 ,(b) 2070 ,(c) 2235 ,(d) 2245,D ,22.4.4(d)
 60. Expenditure on works met to Subventions from Central Road Fund (8449) is shown in the schedule ,(a) CPWA 76 Credit ,(b) CPWA 76 Debit ,(c) CPWA 77 Credit ,(d) CPWA 77 Debit,B ,Note_22.4.4(d)
" 61. Income-tax deductions from work-charged establishments (excluding such categories of work charged establishments, as are borne on the regular establishment of Department), percentage chargeable on Imported Stores and recoveries of pensionary charges comprised in the percentage charges levied for work done invariably appear in the ",(a) Schedule of Credits to Miscellaneous Heads of Account in Form CPWA 76. ,(b) Schedule of Debits to Miscellaneous Heads of Account in Form CPWA 76. ,(c) Schedule of Establishment Expenditure in CPWA 64A ,(d) Schedule of transaction under CSSA CPWA 76A,A ,Note_22.4.4(d)
" 62. Transactions, which cannot be classified under final head concerned or the heads in the Public Account shall be shown in the Schedule of Credits or Debits to Miscellaneous Heads of Account, in Form C.P.W.A-76, unless authorised by ",(a) SE ,(b) DG (Works) ,(c) PAO ,(d) CCA,D ,Note_22.4.4(d)
 63. Amounts creditable to ‘0070 – Other Administrative Services – Fees for Government Audit’ or “2016 – Audit”. will appear in the ,(a) Revenue Realised CPWA 46 ,(b) Schedule of Debit to Misc. Heads of Account in Form CPWA 76. ,(c) Schedule of Credit to Misc. Heads of Account in Form CPWA 76. ,(d) Register of Misc. Receipt/Deposit in CPWA 65,C ,Note_22.4.4(d)
 64. Primary unit of appropriation-wise details of individual vouchers of payments of pay and allowances of the officers and staff of Divisions will be shown in Form ,(a) CPWA 64 ,(b) CPWA 64A ,(c) CPWA 74 ,(d) CPWA 74A,B ,22.4.4(e)
 65. State whether true or false Details of individual vouchers of payments of pay and allowances of the officers and staff of Divisions will be shown in Form CPWA 64A combined for Regular establishment and Work-charged establishment borne on regular establishment. ,(a) True ,(b) False,,,B ,Separately for RE and WCE on RE 22.4.4(e)
65A CPWA 64A should be prepared and submitted to PAO in ,(a) Single copy ,(b) Duplicate ,(c) Triplicate ,(d) Quadruplicate,C ,22.4.4.(e)
" 66. Pick the correct ones (i) Primary unit of appropriation wise debit figures will be shown in Form C.P.W.A. 74 under respective Sub-heads under minor head “Direction & Administration” (ii) Credit figures are shown in the relevant Form C.P.W.A 46 or 76. (iii) The total of Form C.P.W.A 74 will appear in Form C.P.W.A 80. (iv) The amount of recoveries on account of income tax, G.P.F. Conveyance and other advances etc will be shown in Form C.P.W.A. 76 (Debits), and payment of advances etc. will similarly be shown in Form C.P.W.A 76 (Credits) duly supported by vouchers. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A ,CPWA 76 cr and dr respectively 22.4.4(f) and note below it
 67. A covering list of supporting vouchers/schedules shall be prepared in _____ and attached to Form C.P.W.A. 76 (Dr/Cr) as the case may be ,(a) Single ,(b) Duplicate ,(c) Triplicate ,(d) Quadruplicate,B ,Note(b)_22.4.4(f)
 68. The amounts of pay and allowances or any other advances or recoveries which are adjustable in the books of other Accounts Officer will be shown in Form ,(a) CPWA 77 Credit/Debit ,(b) CPWA 76 Credit/Debit ,(c) CPWA 67 ,(d) CPWA 64A,A ,Note(b)_22.4.4(f)
 69. The total amount of the cheques drawn during the month should be entered in the ,(a) Credit Schedule CPWA 76 ,(b) Debit Schedule CPWA 76 ,(c) Credit Schedule CPWA 77 ,(d) Debit Schedule CPWA 77,C,22.4.5
 70. Expenditure on famine relief works should be entered in ,(a) Debit Schedule 76 ,(b) Credit Schedule 76 ,(c) Schedule 64 ,(d) Suspense Register CPWA 67,A ,Note_22.4.5
 71. All expenditure incurred directly for the relief of distresses shall be debited to Major Head ,(a) 2235 ,(b) 2245 ,(b) 8000 ,(d) relevant functional head,B ,Note_22.4.5
 72. Expenditure incurred indirectly due to any natural calamity shall be debited to ,(a) 2235 ,(b) 2245 ,(b) 8000 ,(d) relevant functional head,D ,Note_22.4.5
" 73. Pick the correct ones (i) Before a reconciliation has been effected between the totals of “Works Abstract (Form C.P.W.A 33)” and relevant schedules dockets, a Schedule of Works Expenditure should be prepared in Form C.P.W.A 64 (ii) After a reconciliation has been effected between the totals of “Works Abstract (Form C.P.W.A 33)” and relevant schedules dockets, a Schedule of Works Expenditure should be prepared in Form C.P.W.A 64 (iii) It is prepared separately for expenditure relating to Each Major & Sub Major Head, Military Engineer Service, Indian Air Force, Postal Department Works etc. (iv) It is prepared combined for all works as a single schedule ","(a) i, and ii ",(b) i and iii ,(c) ii and iii ,(d) All of the year,C ,22.4.6
 74. State whether true or false Barring some exception only those works on which expenditure has been incurred during the month should be included in the schedule of Works Expenditure CPWA 64. ,(a) True ,(b) False,,,A ,22.4.6(b)
" 75. The schedule CPWA 64 pertaining to the accounts for which months should include all works, including those relating to which no transactions have appeared in the accounts of those months ",(a) Jan and Dec ,(b) Mar and June ,(c) June and Dec ,(d) Sep and Mar (Supple),D ,22.4.6(c)
 76. For apprising of the excess over estimate a copy of schedule CPWA 64 pertaining to the accounts for the month of Sep and Mar (Supple) should be sent by the Divisional Officer to ,(a) SE ,(b) DG (Works) ,(c) PAO ,(d) CCA,A ,22.4.6(c)
 77. The schedules in CPWA 64 pertaining to the accounts for which months should include all works relating to National Highways and the Central Road Fund ,(a) Sep and Mar (Supple) ,"(b) Sep, Dec and Mar (Supple) ","(c) Jul, Oct, Jan and Mar (Supple) ","(d) Jun, Sep, Dec and Mar (Supple)",D ,22.4.6(c)
 78. A/an _____statement on all works relating to National Highways and Central Road Fund is submitted to GoI by___ ,"(a) Quarterly, DO ","(b) Annual, DO ","(c) Quarterly, PAO ","(d) Annual, PAO",C ,22.4.6(c)
 79. State whether true or false In CPWA 64 the excess of expenditure incurred during the year over the allotment should be shown below the allotment and amount of technically sanctioned estimate and excess should be entered in column 9. ,(a) True ,(b) False,,,A ,Note 1_22.4.6(c)
 80. All debits to Stock should be collected in Form ,(a) CPWA 72 ,(b) CPWA 73 ,(c) CPWA 67 ,(d) CPWA 69,A ,22.4.8
" 81. Pick the correct ones (i) The entries in this schedule should be arranged in three groups (1) “Manufacture” (2) “Land, Kilns etc” and (3) “Other Sub-Heads”. (ii) Under (1), should be debited all manufacture operations in progress, under (2) all works in progress in connection with the acquisition of land, construction and repairs of kilns, etc.and (iii) Under (3), should be shown (a) individually, all items of expenditure on the carriage, handling etc.of stock materials when the cost of such processes is debitable to the sub-head of stock (b) individually, all items of acquisition of stock materials for which an estimate is required under rule and (c) collectively, all other items of acquisition of stock materials. (iv) In respect of manufacture operation, the outturn of the month should not be shown in the schedule ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A ,22.4.8
" 82. If the Divisional Officer is specially authorized by Government to sanction the carriage, handling etc. charges up to a specified monetary limit, who will conduct the scrutiny of individual items of expenditure against the Divisional Officer’s sanctions ",(a) Accountant ,(b) DA ,(c) SE ,(d) PAO,B ,Note_22.4.8
 83. An account of the suspense head “Stock” should be prepared in Form ,(a) CPWA 67 ,(b) CPWA 69 ,(c) CPWA 72 ,(d) CPWA 73,D ,22.4.9
" 84. Pick the correct ones regarding C.P.W.A 73, Stock Account (i) It is prepared in two parts (ii) Part 1 of this form is the main account showing the receipts, issues and balances classified by sub-head, separate figures being given in respect of the sub-heads ‘manufacture’, ‘Land Kiln’ ‘Handling and other incidental charges’ etc, and all the other sub heads such as small stores, building materials being lumped up. (iii) Part II of it is the Detailed Account of issues (iv) Part I is written up first, and from this part and the Schedule of debits to Stock, Form C.P.W.A 72, is prepared Part II. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A ,Part II is written up first 22.4.9
 85. Schedule of Transactions Adjusted under the Head “Cash Settlement Suspense Account” in the case of Inter-departmental settlement with ,(a) Post and Telecommunication ,(b) Ministry of Home Affairs ,(c) Ministry of External Affairs ,(d) Cabinet Secretariat and the Ministry of Defence,D ,22.4.9(f)
 86. Cash Settlement Suspense Account is under major head ,(a) 8658 ,(b) 8671 ,(c) 8672 ,(d) 8782,A ,22.4.10
 87. Operation of Minor Head Cash Settlement Suspense Account” for the settlement of inter-divisional transactions has been dispensed with from ,(a) 1.4.1974 ,(b)  1.4.1986 ,(c)  1.4.1993 ,(d)  1.4.2005,C ,22.4.10
 88. CSSA has been replaced by ,(a) Book transfer ,(b) Advance payment ,(c) PAO settlement ,(d) All of the above,B ,22.4.10
 89. A consolidated account of all expenditure debited against the grants of the division should be prepared in Form ,(a) CPWA 74 ,(b) CPWA 74A ,(c) CPWA 75 ,(d) CPWA 75A,A ,22.4.11
" 90. The figures relating to the several major and sub-major heads in classified Abstract of Expenditure should be entered in separate sections, arranged in the order indicated in the ",(a) Work Estimate ,(b) Register of Works ,(c) Works Abstract ,(d) List of Major and Minor Heads of Accounts.,D ,22.4.11
" 91. When Works for Indian Air Force, Posts, Telecommunication and Archaeological Department undertaken as a standing Military Engineer Service arrangement and funds for the purpose are allotted to the division, the expenditure connected therewith should be abstracted in Form ",(a) CPWA 65 ,(b) CPWA 74 ,(c) CPWA 76 ,(d) CPWA 79,B ,Note 1_22.4.11
 92. State whether True or False Refunds of Revenue and Receipts and Recoveries on Capital Account” are excluded for Classified Abstract of Expenditure CPWA 74 ,(a) True ,(b) False,,,B ,Refund of revenue excluded and RR on capital outlay included Note2_22.4.11
" 93. Pick the correct ones (i) The Monthly Account should be prepared in the Form C.P.W.A 80 (with all supporting registers, schedules, vouchers, etc.) for presentation to the DO and submission to the PAO. (ii) This account is an abstract of the entrie receipts and disbursements of the month as worked out in the Abstract Book (Form C.P.W.A 81) and as detailed in the various schedules and registers, (iii) It also shows the opening and closing cash balances. (iv) On the back of the form are printed (1) a memorandum of miscellaneous cash receipts paid into Banks, and (2) a certificate in respect of the closing cash balances of subordinate disbursing officers. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,22.4.12
 94. Pick the incorrect one related to Monthly Accounts ,(a) The entries in the Monthly Accounts are divided into three groups – ,"(b) Revenue entries as taken from the Registers of Revenue Realised, Form C.P.W.A 46 ","(c) Expenditure Entries which are posted from the Classified Abstract of Expenditure, Form C.P.W.A 64 ","(d) Other Heads entries which are posted from the figures in Forms C.P.W.A 79, 66 and 76-A",C ,It is taken from CPWA 74 and not from 64 22.4.12
" 95. Pick the correct ones (i) The entries posted under the several heads in the Monthly Account should be checked with corresponding entries in the Abstract Book CPWA 81. (ii) The totals of the columns for receipts and disbursements must agree. (iii) If there is any difference due to cash being in transit between two disbursing officers, its amount etc., should be included in the closing balance and the certificate of cash balance should be amplified so as to state the amount and the steps taken to adjust the difference. ",(a) i and ii ,(b) ii and iii ,(c) I and iii ,(d) All of the above.,D ,Note 2_22.4.12
" 96. State whether true or false While preparing stock accounts entries to account through the Cash Book or the Transfer Entry Book such as stock purchase in cash, stock sold for cash, and stock received from works, are left out, and the rest are posted direct from the Summary of Stock Receipts and the Summary of Indents, Forms C.P.W.A 9 and 10. ",(a) True ,(b) False,,,A ,22.4.14(a)
" 97. Who is to ensure that all items of stock accounts are correctly separated off in the Summary of Stock, Receipts and the Summary of Indents, Form C.P.W.A 9 and 10 from those recorded in Cash Book and Transfer Entry Order to avoid booking an item twice in Monthly Accounts? ",(a) Head clerk ,(b) DA ,(c) DO ,(d) PAO,B ,22.4.14
 98. Date of submission to Monthly Accounts to the Accounts Officer is fixed by ,(a) DG (Works) ,(b) PAO ,(c) CCA ,(d) CGA,C ,22.4.15
 99. Schedule of Workshop Suspense is prepared in ,(a) CPWA 67 ,(b) CPWA 67A ,(c) CPWA 69 ,(d) Local Form,D ,22.4.15(12)
" 100. The DO may be required by any rule to make a formal report periodically regarding the progress of expenditure on a Deposit Work to the administrator or depositor concerned, it is submitted in Form ",(a) CPWA 65 ,(b) CPWA 65A ,(c) CPWA 79 ,(d) Local Form,B ,Note 1_22.4.15
 101. The above mentioned Statement is submitted through ,(a) SE ,(b) DG (Works) ,(c) PAO ,(d) CCA,C ,Note 1_22.4.15
