1. Departmental classified abstract is ,(a) collection of monthly transaction as whole relating to each civil department ,(b) collection of monthly transaction as whole relating to a major head of account coextensive with any particular department ,(c) collection of monthly transaction as whole relating to each civil department or a major head of account coextensive with any particular department ,(d) collection of monthly transaction as whole relating to each civil department or a major head of account not coextensive with any particular department,D ,
 27. The final stage in the completion of the abstract is ,(a) the preparation of the proof sheets in parts (6) and (7) ,(b) the preparation of the proof sheets in parts (7) and (8) ,(c) the preparation of the closing sheet in parts (6) and (7) ,(d) the preparation of the closing sheet in parts (7) and (8),A ,
 28. Pick the correct one ,(a) The Classified Abstract test checked by the Section Officer and duly passed by the Gazetted officerin-charge should be utilised as the basis of Consolidated Abstract ,(b) The Classified Abstract test checked by the Gazetted officer-in-charge and duly passed by the Group officer-in-charge should be utilised as the basis of Consolidated Abstract ,(c) The Classified Abstract test checked by the Gazetted officer-in-charge and duly passed by the Accountant General should be utilised as the basis of Consolidated Abstract ,(d) The Classified Abstract test checked by the Group officer-in-charge and duly passed by the Accountant General should be utilised as the basis of Consolidated Abstract,A ,
 29. Section Officer is responsible for the correctness of the posting in the compilation book in respect of ,(a) any major head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/- ,(b) any major head account and for the tracing of the entry in the classified abstract items of over Rs. 2500/ ,(c) any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/- ,(b) any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 2500/,D ,
 30. Gazetted Officer-in-Charge is responsible for the correctness of the posting in the compilation book in respect of ,(a) any major head account and for the tracing of the entry in the classified abstract items of over Rs. 5000/- ,(b) any major head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/ ,(c) any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/- ,(b) any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 5000/,C,
 31. Pick the correct one ,"(a) In respect of receipts, the treasury accounts rendered to AG’s Office indicates in the receipt schedules the receipts classified by Major, Minor and Detailed Heads of accounts with details of individual receipt. ","(b) In respect of receipts which cannot be so classified, full details are furnished separately on the basis of which the receipts are classified in Accounts Offices under the relevant Major. Minor and Detailed Heads of Account. ",(c) Both A&B ,(d) None of the given,B ,
 32. Departmental Consolidated Abstracts of Revenue receipts and Service payments are prepared from Departmental Classified Abstract in ,(a) Form AC 22 ,(b) Form AC 21 ,(c) Form AC 24 ,(d) Form AC 23,A ,
" 33. State whether true or false Columns in Departmental Consolidated Abstract provided for monthly progressive totals under major heads, minor heads, sub-division of a minor head, and detailed heads in their proper place ",(a) True ,(b) False,,,A ,
 34. Pick the correct one ,(a) Progressive totals for each sub-head of a Grant or unit of appropriation and for each major head should always be filled in ,"(b) In order to avoid unnecessary totalling, in other cases progressive totals may be filled in at the end of the year or whenever they are necessary ",(c) Both A&B ,(d) None of the given,C ,
 35. Every head of account for which a column is provided in the Departmental Classified Abstract must appear in the Departmental Consolidated Abstract ,(a) under the Revenue head concerned ,(b) under Service heads concerned ,(c) under the Revenue and Service Heads concerned ,"(d) under the Revenue, Service and Debt Heads concerned",C ,
 36. The Consolidated Abstract duly agreed with corresponding totals in the Departmental Classified Abstract should be sent to the ,(a) Fund Section ,(b) Book Section ,(c) Audit Section ,(d) Treasury Section,B ,
 37. For the transactions brought to account in the Classified Abstract of treasury payments of the Public Works Department ,(a) No. separate Consolidated Abstract need be prepared ,(b) separate Consolidated Abstract need be prepared ,(c) separate or no separate Consolidated Abstract need be prepared as directed by the State Government ,(d) separate or no separate Consolidated Abstract need be prepared as directed by the Accountant General,A ,
 38. Pick the incorrect one ,(a) Book Section prepares consolidated monthly and annual accounts for the account circle as a whole ,(b) The Works Audit Department is AG office compile the Classified Abstracts of Public Works transactions from the monthly accounts received from the Public Works Divisions ,"(c) If section officer finds figures under any head are so abnormally high or low as compared with those of the previous months, he should raise a doubt whether there has been misposting misclassification and scrutinise before submitted to Gazetted officer in Charge ",(d) None of the given,D ,
 39. If an item in a transfer entry has to be taken to a head in Departmental account in the accounts of the same Government it should be classified in the transfer entry as pertaining to the suspense head ,(a) unclassified account ,(b) Departmental Adjusting Account relating to the other department ,(c) accounts awaiting settlement ,(d) PAO Suspense,A ,
 40. Pick the incorrect one ,"(a) The transfer entry with the necessary suspense slip should be sent, for acceptance and return to the section which maintains the Detail Book or Departmental Abstract in which the transferred item will be finally adjusted ","(b) When received back with acceptance, the transfer entry will be posted in the Combined Transfer Ledger and Abstract in form AC 24 ","(c) If an item of receipt or payment relating to the Central Govt. other than Central Pensions is wrongly included in the schedule of State receipts or payments and vice versa, the amount should be credited or debited to PAO Suspense under 8658 ",(d) None of the given,B ,
 41. The relevant particulars of wrongly included transactions should be passed on to the Section dealing with Inter-Govt. Settlement Account generally known as ,(a) Central Section ,(b) State Section ,(c) Account Current Section ,(d) Suspense Section,C ,
" 42. In respect of items of receipt/payment relating to CENTRAL PENSIONS wrongly included in the State schedule of receipts or payments and vice versa the amount should be credited or debited as the case may be, to the head ",(a) 8786 Adjusting Account between Central & State Government. ,(b) 8658 Adjusting Account between Central & State Government ,(c) 8680 Adjusting Account between Central & State Government. ,(d) 8793 Adjusting Account between Central & State Government,A ,
 43. The recoveries of overpayments whether made in cash or from payment vouchers shall be posted direct under the service head concerned in the Compilation Book as ,(a) Reduction of expenditure if they relate to overpayment pertaining to the current year ,(b) Reduction of expenditure if they relate to overpayment pertaining to any previous year ,(c) Reduction of expenditure whether they relate to overpayment pertaining to the current year or to any previous year ,(d) Reduction of expenditure if they relate to overpayment pertaining to the current year and miscellaneous receipt if they relate to overpayment pertaining to any previous year.,C ,
 44. State whether true or false If a recovery representing an over payment of the current year is made by short payment of an item debitable to the same detailed head or other detailed head no separate adjustment is needed ,(a) True ,(b) False,,,B ,
 45. As only the decrease/increase in cash balances during a month is shown in receipt/ payment side of the Divisional Accounts the differences between the opening and the closing balance shall be credited/debited under the head ,(a) 8670-PW Departmental Cash Balances ,(b) 8782-PW Departmental Cash Balances ,(c) 8672-PW Departmental Cash Balances ,(d) 8671-PW Departmental Cash Balances,D,
" 46. Public Works Classified Abstract is the main record, so far as the entire account circle is concerned, in respect of i. Revenue receipt and receipts and recoveries on capital account ii. Refund of Revenue iii. Other expenditure iv. Debt and remittance transactions ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,D ,
 47. The amount of other details to be recorded either in the classified abstracts or in the works audit summaries shall be prescribed by the ,(a) State Government ,(b) Accountant General ,(c) Either of State Government or AG ,(d) Both State Govt. and AG,B ,
 48. Pick the correct one ,(a) The subsidiary summaries maintained in the Works Audit Department known as the Works Audit Summaries ,(b) The information contained in these summaries may be utilised for preparation of the statements required for Finance Accounts and the Combined Finance und Revenue Accounts of the Central and State Governments as well as any proforma annual accounts ,(c) Both A&B ,(d) None of the given,C ,
" 49. For the purpose of either furnishing statistical information required by Government or of facilitating preparation of State Summaries, Divisional summaries are prepared ",(a) monthly ,(b) yearly ,(c) quarterly ,(d) monthly or as often in a year as may be necessary,D ,
 50. It is essential that the total of the transactions of the year for the entire circle of accounts under each head excluded from the classified abstract should be worked out through Works Audit Summaries at close of the ,(a) year ,(b) each month ,(c) each quarter ,(d) March and September,A ,
 51. Works Audit Register is prescribed by the ,(a) AG ,(b) CAG ,(c) State Government ,(d) CGA,B ,
 52. The forms of the summaries may be prescribed by the ,(a) AG according to local requirements ,(b) State Govt. according to local requirements ,(c) CAG ,(d) CGA,A ,
" 53. In respect of revenue and expenditure transactions connected with works of the Central Government Departments, the execution of which is entrusted to the Public Works Department as a standing arrangement, the AG acts as ",(a) Main Accounts Officer ,(b) Sub-Accounts Officer ,(c) Both A&B ,(d) None of the above,B ,
 54. Revenue and expenditure transactions of the Public Works Department which are brought to account direct on the books of the AG will ,"(a) enter the Monthly Accounts of Divisional Officers and therefore, be included in the Works Audit Registers as well as the summaries of the Works Audit Department ",(b) enter the Monthly Accounts of Divisional Officers but be excluded from the Works Audit Registers as well as the summaries of the Works Audit Department ,(c) not enter the Monthly Accounts of Divisional Officers but be included in the Works Audit Registers as well as the summaries of the Works Audit Department ,"(d) not enter the Monthly Accounts of Divisional Officers and will, therefore, be excluded from the Works Audit Registers as well as the summaries of the Works Audit Department",D ,
 55. Pick the correct one ,(a) Revenue and expenditure transactions of the Public Works Department which are brought to account direct on the books of the AG should ordinarily be entered in the Departmental Classified Abstract in full detail ,"(b) If the AG finds it more convenient, the details below the units of appropriation may be excluded from the Departmental Classified Abstract ",(c) Both A&B ,(d) None of the given,C ,
 56. State whether true or false The Consolidated abstract of the State Public Works transactions prepared from the account in the monthly Classified Abstracts ,(a) True ,(b) False,,,A ,
 57. The Classified Abstract and Consolidated Abstract of PWD shall ,(a) be in different form from the Classified Abstract and Consolidated Abstract for other Department ,(b) be in the same form as the Classified Abstract and Consolidated Abstract for other Department ,(c) be either in same or different form from the Classified Abstract and Consolidated Abstract for other Department as directed by the State government ,(d) be either in same or different form from the Classified Abstract and Consolidated Abstract for other Department as directed by the Accountant General.,B ,
" 58. The transactions accounted for by the Forest Officers under the heads ""Book Transfers-Government of the State of---"" should be shown by the AG in the Classified Abstract under the head ",(a) 8550 ,(b) 8658 ,(c) 8782 ,(d) 8793,D ,
" 59. The expenditure shown in these compiled accounts of departmental officers are to be brought to account under the relevant major minor sub-head of account, affording ",(a) Contra Cr. to 8670 Cheque-Bill ,(b) Contra Dr. to 8670 Cheque-Bill ,(c) Contra Cr. to 8782 Remittance ,(d) Contra Dr. to 8782 Remittance,A ,
 60. The paid cheques received from the bank by the treasury/PAO will be forwarded to the AG along with the ,(a) monthly scrolls ,(b) fortnightly scrolls ,(c) weekly scrolls ,(d) daily scrolls,D,
 61. The last stage before handing over the Cash Account and the List of Payments of a treasury to the Book Department should be the posting of the balances and the totals in the Statement of ,(a) Drawers’ accounts ,(b) Disbursers’ accounts ,(c) PAO’s accounts ,(d) All of the above,B ,
 62. Pick the correct one ,(a) Statement of Disbursers' Accounts should be maintained separately for Central and State transactions in Form AC 2 ,"(b) The entries of Central and State transactions relating to the treasury, the figures being taken from the Opening Abstract appended to the Cash Accounts. ",(c) Both A&B ,(d) None of the given,A ,
 63. The designation of the clerk in a Civil Account Office who is responsible for the adjustment of the entire treasury account of a district ,(a) Section Auditor ,(b) District Auditor ,(c) State Auditor ,(d) Departmental Auditor,B ,
 64. The entries in the Statements of Disbursers' Accounts should be made in the same order as is observed in the ,(a) Cash Balance Report ,(b) Accounts Summary Report ,(c) Deposit with RBI report ,(d) Cash Disbursement Report.,A ,
 65. Remittances in Transit–Local is a minor head under major head ,(a) 8782 ,(b) 8675 ,(c) 8785 ,(d) 8999,D ,
 66. Opening balance and closing amount of local remittances in transit are taken from the ,(a) Cash Deposit Register ,(b) Cash Balance Register ,(c) Remittance Check Register ,(d) Remittance Balance Register,C ,
 67. The entire amount of the opening balance and closing balance of local remittances in transit should be posted under ,(a) Disbursement ,(b) Receipt respectively ,(c) Disbursement & Receipt respectively ,(d) Receipt & Disbursement respectively,C ,
 68. Pick the correct ,"(a) The amounts entered in Cash Balance as receipts and disbursements are also posted into the Detail Books as receipts and disbursements, respectively. ","(b) These are accounted under the head ""Remittances in Transit Local"" per contra debit or credit to the head ""Cash Remittance between Treasuries and currency chests"" ",(c) Both A&B ,(d) None of the given,C ,
 69. The Statements of Disbursers' Accounts must be completed by incorporating the amounts which pass into the Detail Books through the Combined Transfer Ledger and Abstract in ,(a) the Book Department ,(b) the Fund Department ,(c) the Account Department ,(d) the Cash Department,A ,
" 70. In the Account office where the departmental system of account is followed, the drawing up of the abstract may he discontinued at the discretion of the ",(a) Administrative department ,(b) State Government ,(c) Accountant General ,(d) Accounts Officer,D ,
" 71. Deposits-State"" should be entered in the State Statement from where entry in Detail Book is made receipt or disbursement as the case may be against the head ",(a) Reserve Bank Deposit ,(b) Cash Balance ,(c) Departmental Balances ,(d) All of the above,A ,
 72. Pick the incorrect one ,(a) The Statement of Disbursers’ Accounts brings together the aggregate of the months' receipts and payments with the opening and closing balances of all officers rendering accounts to the AG ,(b) The Statement of Disbursers’ Accounts furnishes an effective check on the grand totals of the several Consolidated Abstracts as made Cut in the Abstract of Major Head Totals ,(c) The Consolidated Abstracts show the amount received and paid by all Accountants whereas the Statements of Disbursers' Accounts show the amounts received and paid on all accounts ,(d) None of the given.,C ,
 73. Procedure of Inter-Govt. Transactions & adjustment includes ,"(a) By sending advices to the Central Accounts Section (CAS) of the RBI, Nagpur, by the Accounts Officers. These are initially treated generally as ""Remittance transactions"" by the Civil Accountants General ",(b) By actual cash settlement through cheques and drafts being exchanged between the Accounts officers concerned ,(c) Both A&B ,(d) None of the given,C ,
 74. Cases of adjustment through CAS i. Repayment of loan and interest to Central Government ii. The special case of pensions (including commuted value) in respect of retired High Court Judges paid through State Treasuries or Public Sector Banks iii. Transactions connected with RBI Remittances occurring in State Non-banking treasuries/subtreasuries iv. Accounts of Inter-State Suspense' i.e. transactions between States inter-se v. Such other cases as may be specifically prescribed by the President on the advice of the CAG. ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii, iv and v ",(d) All of the above,D ,
" 75. All transactions adjustable through rendering advices to CAS, RBI shall initially be brought to account ","(a) Centre-8658, State-8793 ","(b) Centra-8786, State-8793 ",(b) Both Central and State-8658 ,(d) Both Central and State-8793,B,
 76. In respect of the head Inter-State Suspense Accounts (8793) there shall be ,(a) sub-heads for each State Government ,(b) combined sub-head for all the all the State Govt. ,(c) Separate sub-head for all the State Govt. and separate sub-head for UT Govt. ,(d) single combined sub-head for all the all the State Govt. and UT Govt.,A ,
 77. State whether true or false In respect of Adjusting Account between Central and State Governments for each item of credit/debit there shall be a corresponding debit/credit under the same head under the Central Section of Accounts. ,(a) True ,(b) False,,,A ,
 78. Entry appearing in Adjusting Account between Central and State Governments ,(a) Credit (Payable to State Govt.) and Debit entry (Payable by the State Govt.) ,(b) Credit (Payable by the State Govt.) and Debit entry (Payable to State Govt.) ,(c) Either A or B ,(d) Neither A nor B,B ,
 79. Central transactions appearing in Adjusting Account between Central and State Government shall be settled ,(a) monthly ,(b) daily ,(c) fortnightly or at other prescribed intervals without waiting for the closure of a month's account. ,(d) weekly or at other prescribed intervals without waiting for the closure of a month’s account.,D ,
 80. Central transactions appearing in Adjusting Account between Central and State Government should be consolidated by the AG in Part-I of the Register of adjustments with the Reserve Bank in Form ,(a) AC 4 ,(b) AC 5 ,(c) AC 3 ,(d) AC 6,C ,
" 81. Advices for making necessary transfers of the balances between the Central and State Governments should be sent by the AG to CAS, RBI him in Form ",(a) AC 4 ,(b) AC 5 ,(c) AC 3 ,(d) AC 6,A ,
" 82. Other Inter-Government transactions including those relating to ""Inter-State Suspense Accounts, whether appearing in the Treasury/Department or other inward settlement Accounts, or originating in the books of the AG by transfer entries, should usually be advised to the CAS, RBI, Nagpur for adjustment ",(a) Once a week ,(b) once a month ,(c) once a fortnight ,(d) once a quarter,B ,
 83. Central transactions appearing in Adjusting Account between Central and State Government is not operated in respect of ,(a) Pension of Freedom Fighter ,(b) Social Security Scheme ,(c) Repayment of loan and interest ,(d) All of the above,C ,
" 84. In respect of repayment of central loan & Interest, advice by the AG to CAS RBI by ",(a) debiting Head Central Accounts Office-RBI Suspense under Major Head (8658) and per contra credit to relevant public debt/Interest head ,(b) crediting Head Central Accounts Office-RBI Suspense under Major Head (8658) and per contra debit to relevant public debt/Interest head ,(c) debiting Head Central Accounts Office-RBI Deposit under Major Head (8675) and per contra credit to relevant public debt/Interest head ,(d) crediting Head Central Accounts Office-RBI Deposit under Major Head (8675) and per contra debit to relevant public debt/Interest head,B ,
 85. On receipt of the clearance memo from the Bank against advice of the AG for repayment of central loan & Interest accounting entries to be made in account ,"(a) by minus crediting the suspense head (8658) ""Central Accounts Office-RBI Suspense"" per contra credit to RBI Deposit 8675 ","(b) by minus debiting the suspense head (8658) ""Central Accounts Office-RBI Suspense"" per contra credit to RBI Deposit 8675 ","(c) by minus crediting the RBI Deposit (8675) ""Central Accounts Office-RBI Suspense"" per contra credit to Cash Balance 8999 ","(b) by minus debiting the RBI Deposit (8675) ""Central Accounts Office-RBI Suspense"" per contra credit to Cash Balance 8999",A ,
 86. Pick the incorrect one ,"(a) The Central Accounts Section, RBI will carry out the adjustments in the accounts of a month, if the necessary advices relating to that month are communicated to it not later than the 7th of the following month. ",(b) A memo should invariably be sent to the Central Accounts Section of the Bank intimating the number and date of the last advice sent to the Bank for adjustment in the accounts of the previous month on 7th of the following month ,"(c) If 7th of the following month happens to be a holiday, the requisite memo shall be sent to the CAS on next working day. ",(d) None of the given,C ,
" 87. Inter-Government adjustments in respect of transaction pertaining to a financial year will not be carried out by the RBI in the accounts of that year, if the necessary advice is not sent by the ",(a) 7th April of succeeding year ,(b) 12th April of succeeding year ,(c) 15th April of succeeding year ,(d) 25th April of succeeding year,D ,
" 88. The inter-Government transactions for the month of March should be advised in batches to the CAS, Reserve Bank by telegram on the ","(a) 5th, 15th and 25th of April or r previous day if these days happen to be a holiday ","(b) 1st ,7th, 15th and 25th of April or previous day if these days happen to be a holiday ","(c) 7th, 15th, 21st and 25th of April or previous day if these days happen to be a holiday ","(d) 10th, 17th and 25th of April or previous day if these days happen to be a holiday",A ,
 89. Pick the correct one ,"(a) An advice of adjustment should be sent to the CAS, RBI on each of the batch dates, if adjustments exist to be communicated and no statement to be rendered when there are no adjustments to be communicated ",(b) The last advice to be issued on the 25th of April should include a certificate of the AG that no further adjustment will be intimated to the Bank for inclusion in the Accounts of the previous financial year ,(c) Both A&B ,(d) None of the given,B ,
 90. An inter-government transactions pertaining to a financial year that come to notice after 25th April of the following year ,(a) they should be left outstanding under the head Adjusting Account between Central and State Governments will be cleared following year through advice. ,(b) they should be cleared from the head Adjusting Account between Central and State Governments by transferring the same to Head 8680-General Misc Services and will be cleared following year through advice. ,(c) they should be left outstanding under the head Adjusting Account between Central and State Governments will be cleared following year through Cash Settlement. ,(d) they should be cleared from the head Adjusting Account between Central and State Governments by transferring the same to Head 8680-General Misc. Services and will be cleared following year through Cash Settlement.,A,
 91. Register of Adjustment & Advices to RBI is maintained in ,(a) AC 5 ,(b) AC 6 ,(c) AC 3 ,(d) AC 4,C ,
 92. Register of Adjustment & Advices to RBI is maintained in ,(a) two parts ,(b) four parts ,(c) single part ,(d) three parts,D ,
 93. Pick the correct one regarding Register of Adjustment & Advices to RBI ,(a) Consolidation transactions involving adjustments between the Central and State Governments through the Bank in Part I. ,(b) The net total of the debits and credits worked out in this pat should be taken at the end of each prescribed period are taken to Part III of the register ,(c) The un-adjusted balance of the previous month under the bead 'Adjusting Account between Central and State Governments' as worked out in PART II of the Register should also be brought forward in Part III of the Register ,(d) All of the above,A ,
" 94. Adjustments between Central and State Governments which are initiated by the AG with the Bank, without passing on the transactions initially through the head should also be entered in part II ",(a) Part I of Register of Adjustment & Advices to RBI ,(b) Part II of Register of Adjustment & Advices to RBI ,(c) Part III of Register of Adjustment & Advices to RBI ,(d) None of the given,B ,
" 95. Advice for CAS, RBI should be prepared in AC 4 on the basis of information available in ",(a) Part I of Register of Adjustment & Advices to RBI ,(b) Part II of Register of Adjustment & Advices to RBI ,(c) Part III of Register of Adjustment & Advices to RBI ,(d) None of the given,B ,
 96. State whether true or false The credits and debits worked out in part III of the Register of Adjustment & Advices to RBI in a month should be agreed for Receipts and disbursements under the head with the State Detail Book ,(a) True ,(b) False,,,A ,
" 97. For inclusion in the next advice to the Bank, the unadjusted balance at the end of the month, should be transferred to ",(a) Part I of Register of Adjustment & Advices to RBI ,(b) Part II of Register of Adjustment & Advices to RBI ,(c) Part III of Register of Adjustment & Advices to RBI ,(d) None of the given,B ,
 98. Pick the correct one ,(a) Part III of the Register of Adjustment & Advices to RBI may at the discretion of the AG be posted direct from State Detail Books (Parts I) ,(b) In such case the unadjusted balance at the end of the month worked out in the Register should be agreed with State Ledger AC27/AC28 ,(c) The totals of Cr and Dr appearing under the head Adjusting Account between Central and State Governments appearing in the STATE SECTION of Accounts of an AG should agree respectively with the totals of Dr and Cr under the same head in the CENTRAL SECTION of Account. ,(d) All of the above,D ,
 99. The advices of adjustments in Form A.C 4 relating to a financial year issued to the Bank should be numbered serially for ,(a) Financial Year ,(b) Each Day ,(c) Each Month ,(d) Each Week,C ,
 100. Clearance Memo is prepared in ,"(a) AC 5 by CAS, RBI ","(b) AC 5 by CAS, AG ","(c) AC 6 by CAS, RBI ","(b) AC 6 by CAS, AG",A ,
