1. The check of works accounts is conducted in three stages; pick the incorrect one ,(a) Preliminary internal check by the Divisional Accountant in the Divisional Office ,(b) Test check by A.G (Audit) team in the Divisional Office ,(c) Checking of monthly accounts in Accountant General's Office ,(d) Checking of Divisional Reconciliation statement of expenditure and receipts with reference to Debt Head and Classified Abstracts/Summary Registers maintained in Works Accounts Wing of Accountant General (A&E) office.,B ,8.1,,
 26. Pick the correct regarding the work of checking of monthly account in Accountant General's office is made to see that ,"(a) the opening cash balance agrees with the closing balance of previous months and that the figure ""cash balance diminished/ increased"" is equal to the difference between opening and closing cash balance. ",(b) the monthly account form C.P.W.A. 80/83 is signed by the Divisional Accountant. ,(c) Neither a or b ,(d) Both a & b,A ,"8.18, v & vi CPWA 80/83 signed by DO and not DA ",,
" 27. Point of attention while checking Schedule of Revenue Realised C.P.W.A. 46 shall be (i) the amount brought forward from last month with reference to Form C.P.W.A. 46 of previous month (ii) it is arithmetically accurate (iii) the amounts appearing under ""Deduct refund"" is supported by a separate schedule of refund of revenue and the amount of refund agrees in the amount mentioned in the schedules (iv) the totalling of schedules of refunds of revenue is done correctly and that the refunds are correctly classified. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,D ,"8.18, schedule of Revenue ",,
" 28. State whether true or false While checking Classified Abstract of Expenditure it should be ensured that the totals under each head of account are correct and the figures are tallied with those appearing in respective schedule, i.e. Form C.P.W.A. 64, 62, 73, etc. as also that the expenditure has been correctly classified. ",(a) True ,(b) False,,,A ,"8.18, classified abstract of expenditure ",,
" 29. Pick the correct regarding Schedule of Works Expenditure (i) the schedule is arithmetically accurate; (ii) the nomenclature of the works and the expenditure shown against each work during the month tallies with that shown in the schedule docket Form Central Public Works Account Code 61 (iii) the figures of departmental charges are shown correctly as per Form C.P.W.A.62; and (iv) all works relating to Central Road Fund are shown in the schedule for July, October, January and April even if no expenditure appears during the month. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,A ,"8.18 (schedule of work expenditure, it is Jul), Sep, Dec and March ",,
" 30. The schedule for which months shall include all works, including those relating to which no transactions have appeared in the accounts of these months. ",(a) January and June ,(b) September and March (Suppl.) ,(c) October and March (suppl.) ,(d) December and March (Suppl.),B ,8.18 schedule of work expenditure ,,
" 31. Pick the correct regarding checking of Schedule of Deposit Works C.P.W.A. 65 (i) the opening balances as shown in Part I, II and Part III are correctly entered as per closing balance of previous month's account (ii) the expenditure figures and departmental charges are correct as per schedule Docket Form Central Public Works Account 61 and the Schedule docket for percentage recoveries C.P.W.A. Form 62; (iii) the totals of ""deposits"" and Expenditure charged to Miscellaneous Works Advances agree with corresponding totals in the Schedule of Deposits (Form C.P.W.A. 79) and Works Advances (Form C.P.W.A. 70); (iv) the report of progress of expenditure after verification by audit, is transmitted to the responsible administrator of the Work without delay. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,C ,"8.18 schedule of deposit works , CPWA consists of two parts only",,
 32. Schedule of Takavi Works is submitted to A.G in the form ,(a) CPWA 40 ,(b) CPWA 62 ,(c) CPWA 64 ,(d) CPWA 66,D ,8.18,,
 33. Schedule of Debits/Credits to Misc. Heads of Account is submitted in Public Works Account Code’s Form ,(a)CPWA 76 in case of CPWD and PWA 40 in case of State PWD.,(b) CPWA 62 ,(c) CPWA 64 ,(d) CPWA 66,A ,8.18,,
 34. Points to be remembered while checking Schedule of Debits/Credits to Misc. Heads of Account in Form 40 (i) the totals are correctly stuck (ii) the figures and classification agrees with that in schedule of works expenditure (iii) the suspense slips are prepared (iv) Check of current month's Receipts with reference to Form C.P.W.A. 72 and Schedule Docket. ,"(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,A ,8.18 schedule of debit/credit ,,
" 35. Points to be remembered while checking Schedule of Debits/Credits to Remittances Form C.P.W.A. 77 & 77 A (i) the totals and classifications are correctly made; (ii) items have been correctly classified as originating/ responding; (iii) all debit entries are supported by proper vouchers, transactions on account of cost of works done by Divisional Officer for other parties are supported by detailed schedule of works expenditure in Form C.P.W.A. 64. (iv) reference to authority of acceptance of transfer exists and the Suspense Slips are prepared. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,D ,8.18 (schedule of dr/cr-CPWA 77 & 77A) ,,
 36. Points to be remembered while checking Schedule of Settlement with Treasuries Form C.P.W.A. 51 (i) Schedule of Settlement with Treasuries is submitted in Form C.P.W.A. 51 (ii) the differences as per line 1 have been correctly brought forward from previous month (iii) the figure of 'differences' (Line 3) have been correctly worked out (iv) the figures in line 4 are supported by consolidated Treasury Receipts and certificates of cheques by Treasury Office. ,"(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,B ,"8.18 (schedule of statement with treasury), it is line 5 and not 3 ",,
" 37. State whether true or false While checking the Schedule of Cash Settlement Suspense Account, it is to be seen that the entry of debits is agreed with the entry in the corresponding schedules (Form C.P.W.A. 73 and 74). ",(a) True ,(b) False,,,B ,"8.18 (Sch of cash settlement), it is with Sch 73 and 64 ",,
 38. Current month's Receipts shown in Stock Accounts Form C.P.W.A. 73 is checked with the reference of Schedule Docket and Form ,(a) CPWA 63 ,(b) CPWA 69 ,(c) CPWA 72 ,(d) CPWA 83,C ,8.18 (Stock Account) ,,
" 39. All corrections made in the Monthly Account or in any of the schedule should be advised to the through special letters for correction, after verification, of the relevant records of the division to ",(a) Office of SE ,(b) Office of CE ,(c) Authority next to Divisional Office ,(d) Divisional Office,D ,8.19.1 ,,
" 40. State whether true or false The supplementary Account of the year should be dealt with in accounts, as far as possible, in the same way as the Monthly Account of one of the month of the year. ",(a) True ,(b) False,,,A ,8.19.2 ,,
" 41. When a minimum period for the preservation of an initial or compiled account record in a Divisional or Sub Divisional Office has not been prescribed in the rules framed by the Government concerned for the destruction of records, Divisional Officers, before destroying that record, are required to obtain the approval of the ",(c) Chief Controller of Accounts ,(b) Controller General of Accounts ,(c) Comptroller & Auditor General of India ,(d) Accountant General.,D ,8.21,,
" 42. State whether true or false Copies of Sub Divisional cash books or of other accounts records which Sub Divisional Officers submit to the divisional office should be treated as copies, and not as original account records, as the Divisional Officer's accounts rendered to the Accountant General's office are based on such copies and not on the original thereof. ",(a) True ,(b) False,,,B ,Note 2 below 8.21 ,,
 43. A work Register for each Division in the Office of A.G shall be maintained in ,(a) Form 13 ,(b) Form 14 ,(c) Form 15 ,(d) Form 16,C ,8.22,,
" 44. Pick the correct ones regarding Work Register Form 15 (i) It is maintained in two part to serve as collective record of important sanctions. (ii) Part I-of the register will contain sanctions to works and Part II will contain sanctions to contracts. (iii) In Part-I-sanctions to works-only those sanctions would be registered where the cost of work is more than Rupees one crore and where more than one public works/Irrigation Divisions are engaged in the construction/execution. (iv) No Work Register need be maintained by the R.A.O's/or by the Accountant General (A&E) in case of Irrigation etc., projects where centralized Accounting organizations has been set up and if that organization is maintaining identical records. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,B ,"8.22-8.24, Rs. 1 crore & above and not above Rs. 1 crore ",,
" 45. Pick the correct regarding writing up of Work Register (i) Part I shows month by month the progress of expenditure on each work. (ii) the total works expenditure incurred during each month as shown in the Schedule of Works Expenditure should be posted each month against the Divisional allotment under each unit of appropriation. (iii) if the allotment is only for the net charge under the whole minor head ""Suspense"" the month's expenditure to be posted in Part I will be the figure described as ""Net Debit"" to ""Suspense (iv) if there is a separate allotment for each suspense head, the form of Part I will not be suitable; in this case the form may be modified suitably. The form of the Broadsheet (Form 17) may be used with advantage ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,D ,8.25,,
" 46. In part II of Work Register Form 15 all sanctions relating to construction for works, supplies, carriages etc., in respect of sanction works registered in Part I of the Register as communicated by the ",(a) Divisional Officer ,(b) authorities higher than the Divisional Officer ,(c) authorities lower than the Divisional Officer ,(d) Any/all of the above,B ,8.25,,
 47. Fill in the blanks The Work Register shall be closed__________ and will continue till the______ work for which it is meant. ,"(a) Monthly, the completion of work ","(b) Yearly, the completion of work ","(c) Monthly, close of financial year ","(d) Quarterly, close of financial year",A ,8.26,,
 48. Who will make suitable arrangements for ensuring the accuracy of the postings in the Works Register? ,(a) Section Officer in charge Work Accounts Department ,(b) Branch Officer ,(c) Group Officer ,(d) Accountant General,D ,8.28,,
 49. A Register of Land charges for checking the Land Award Statements which are submitted to the Accountant General shall be maintained in ,(a) Form 10 ,(b) Form 12 ,(c) Form 12 ,(d) Form 16,D ,8.29,,
 50. The Land Award Statements are submitted to the Accountant General under the rules mentioned in ,"(a) GAR, 1990 ","(b) R&P Rules, 1983 ","(c) GFR, 2005 ",(d) Land Acquisition Act,D ,8.29,,
 51. State whether true or false The accountant General (A&E) should review this Register once a month and enquire into the causes of delays in the disposal of the statement. ,(a) True ,(b) False,,,B ,"8.29, section/Gazetted Officer-in-Charge and not AG ",,
" 52. A Broadsheet to prove the accuracy of the monthly transactions under each Suspense and balanced head and of the balances under the head ""Deposit"" by a comparison of the results brought out in the Divisional schedules with the Department Consolidated Abstract or Detailed book and the Ledger, as the case be, should be maintained in ",(a) Form 14 ,(b) Form 15 ,(c) Form 16 ,(d) Form 17,B ,8.3,,
 53. Fill in the blanks The Broadsheet in Form 17 should be submitted________ to __________the after the reconciliation has been effected. ,"(a) Yearly, A.G ","(b) Monthly, A.G ","(c) Yearly, Gazetted Officer-in-charge ","(d) Monthly, Gazetted Officer-in-charge",D ,8.3,,
 54. All transactions relating to services rendered or supplies made by one Division to another (whether the Divisions fall within the same Account circle or in different Account circles) including those pertaining to works done by a division on behalf of another division are settled by the divisions ,(a) With the intervention of the Accountant General. ,(b) Without the intervention of Accountant General ,(c) With the intervention of the Controller General of Accounts ,(d) Without the intervention of Controller General of Accounts,B ,8.32,,
" 55. State whether true or false The head ""Public Work Remittances"" is intended for transactions of Public Works Officers with Treasury and other officers of the Civil Department (excluding the Forest Department) within the same circle of account and with officers (excluding Treasury Officers) in other circles of account in cases where the transactions originate in those circles. ",(a) True ,(b) False,,,A ,8.33,,
" 56. The head ""Public Work Remittances"" comprises ",(a) Two divisions ,(c) Three divisions ,(c) Four divisions ,(d) Five divisions,B ,8.33,,
 57. Pick the incorrect regarding divisions within the head Public Work Remittances ,"(a) Remittances into Treasuries, i.e. cash remitted by officers of the Public Works Department to Treasuries in account with the same Accountant General ","(b) Cash transaction in division, i.e. all receipt and payment in cash originated within the division ","(c) Public Works Cheques, i.e. cheques drawn by officers of the Public Works Department on Treasuries in account with the same Accountant General and cashed at those treasuries ","(d) Other Remittances, i.e. transfer transactions between officers of the Public Works Department on the one hand, and officers of Civil Departments (including the Forest Department) in account with the same Accountant General or officers (including Treasury Officers) in other circles of account in cases where the transactions originate in those circles, on the other",B ,8.33,,
 58. On receipt of Form CP.W.A. 51 (P.W.A.26) it should be seen that the figures in line 4 of part I and part II are supported by original Consolidated Receipt/Certificate of issue of cheques signed by ,(a) Divisional Accountant ,(b) Divisional Officer ,(c) Treasury Officers ,(d) Chief Accounting Officer,C ,8.35,,
" 59. Pick the correct ones (i) As the Divisional Schedule of monthly settlement with treasuries form C.P.W.A. 51 (P.W.A. 26) are checked, Broadsheets in Form 19 and 20 should be posted from them in respect of transactions (cheques and cash remittances respectively) with treasuries in account with the Accountant General. (ii) Each Broadsheet, when completely posted, should be totalled, and its total agreed with the corresponding figures in the Ledger. (iii) At the close of the year, the outstanding differences should represent merely the amount drawn up-to submission of supplementary accounts i.e. 20th May remaining uncashed by that date and cash remittances in transit on that date. (iv) This monthly reconciliation, so far as the Civil figures for each treasury are concerned, is made on the basis of Treasury Officer' monthly certificates received with the accounts of Public Works Officers. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,B ,"8.36, for (iii) cheques drawn upto 31st March and not 20th May ",,
" 60. If the month's total thus arrived at, for ""Cheques cashed at treasuries"" or ""Remittances, acknowledged by Treasury Officers"", as the case may be, agrees with the corresponding figures in the Details Book ",(a) no reference to treasury schedules be necessary ,(b) reference to treasury be necessary ,(c) At the discretion of Gazetted officer-in-charge ,(d) All of the above,A ,8.36.1 ,,
" 61. Pick the correct ones (i) If the Schedule of Settlement with the treasuries Form P.W.A. 26 is not received with the monthly accounts, pairing of debits and credits may be done with reference to the cheque-wise and challan-wise details received along with the monthly accounts from P.W. Divisions and Treasury Officers, as is the case in respect of C.P.W.D. (ii) The head ""III-Other Remittances"" is sub divided into- ",(a) Items adjustable by Civil Officers and ,(b) Items adjustable by Public Works Officers. ,(c) Neither ,(d) Both a & b,D ,8.36.1 & 8.37 ,,
" 62. The financial results of Irrigation, Navigation, Embankment and Drainage Works for which capital and Revenue Accounts are kept and compiled by the Central Government yearly in ",(a) Form 18 ,(b) Form 19 ,(c) Form 20 ,(d) Form 21,A ,8.43,,
" 63. Each Accountant General should prepare a statement in form 18 and submit it, in the case of State through the State Government so as to reach the Central Government not later than the ",(a) 31st March ,(b) 1st May ,(c) 1st November ,(d) 31st December,C ,8.43,,
 64. Annual statements on “Detailed schedules of revenue and Government expenditure of the public works Department” (in such detail as the Government may require) should be prepared and submitted to ,(a) Government ,(b) Public Works Department ,(c) Both ,(d) Neither,A ,8.46,,
 65. Annual statements on “Financial details to be embodies in the Public Administration Report on the public Works Work Department (in such from as Department the Government may prescribe in of the consultation with the Accountant Government General) should be prepared and submitted to ,(a) Government ,(b) Public Works Department ,(c) Both ,(d) Neither,B ,8.46,,
 66. Objection Book in the Works Accounts Department in the Office of A.G (A&E) for each division should be maintained in ,(a) Form 20 ,(b) Form 21 ,(c) Form 22 ,(d) Form 23,C ,8.47,,
 67. Objection Book is maintained in respect of objection relating to ,(a) Mismatch of Account ,(b) Non-receipt of vouchers and stamped Receipt ,(c) Delay in receipt of vouchers and stamped receipt ,(d) All of the above,B ,8.47,,
 68. State whether true or false As set of pages of the Objection Book should be reserved for each distinct class of objections of which a separate record may be required for any purpose ,(a) True ,(b) False,,,A ,8.47,,
 69. The amount placed under objection in Objection Book during the month in respect of only item should be noted against it in ,(a) Blue ink ,(b) black ink ,(c) Red ink ,(d) Green ink,B ,8.47,,
 70. The Progressive total of the amount placed under objection to end of the month should be as a denominator of monthly figure in ,(a) Blue ink ,(b) black ink ,(c) Red ink ,(d) Green ink,D ,8.49,,
" 71. Pick the correct ones (i) The posting of all items placed under objection should be verified by the Section Officer at the end of each month (ii) Objections regarding “vouchers awaited” should be recorded in the objection book as two item viz. (1) number of awaited vouchers, and (2) amount of awaited vouchers. (iii) An objection should be removed as soon as the necessary vouchers or document is received by an entry of the amount adjusted in the column “Amount cleared”, for the month following the month the accounts of which were closed (iv) the progressive total of the adjustments being also noted at the same time and brief notes of, or references to all correspondence or other action taken towards clearance of any objection should be kept in the column “Remarks” of the Objection Book. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) All of the above,D ,8.50 & note below it ,,
 72. The Objection Book in Form 22 should be closed ,(a) Weekly ,(b) Monthly ,(c) Quarterly ,(d) Annually,D ,8.53,,
"73. Pick the correct ones regarding objection book (i) The balances of outstanding objections in a closed Objection Book should be carried forward to the following year’s Book and the entries being attested by a member of the Superintending staff. (ii) If the outstanding balances thus brought forward relate to two or more years, the balances of each year should be clubbed and be registered in a single section (iii) This action, however, cannot be taken completely until the Supplementary Account of the year is received and checked and is accounted for (iv) The Section Officer is however responsible to see that any correction due to the Supplementary Account are carried out neatly in the new Objection Book in due course by plus or minus entries. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,B ,"8.53, for (ii) it should be shown separately and not clubbed ",,
 74. Fill in the blanks An annual review on the working of all Public Works Divisions is required to be conducted each year and is required to be sent to____________ by _________ ,"(a) Central Government, 30th September ","(b) State Government, 30th September ","(c) Central Government, 15th December ","(d) State Government, 15th December",D ,8.54,,
 75. Information for annual review on the working of all Public Works Divisions is collected from ,(a) Works Accounts sections ,(b) Audit Wing ,(d) Public Works Department ,(d) Both a & b,D ,8.54,,
 76. Numbers of statement pertaining to Account Wing in annual review on the working of all Public Works Divisions are ,(a) Three ,(b) Four ,(c) Five ,(d) Six,D ,8.54,,
" 77. Pick the correct Accounts Wing’s statement and its heading/details (i) Statement I: Delay in the receipt of accounts, vouchers (ii) Statement II: Name of Divisions from which certain schedules have not been received and the months for which they are not received (ii) Statement III: Statement showing amounts held under objection to end of March (Position as on 30 September). (iv) Statement IV: Statement showing the Arrears in reconciliation. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,A ,"8.54, Statement IV-amount outstanding under III-OR ",,
 78. Pick the incorrect Accounts Wing’s statement and its heading/details ,(a) Statement IV: Amount outstanding under III OR items adjustable by PWD (For Works Miscellaneous Remittances issued during FY). ,(b) Statement V: Showing the Arrears in reconciliation. ,(c) Statement VI: Showing the defects in the preparation of Monthly Accounts. ,(d) Statement VII: Showing the fund position of the Division pertaining to sanction given to works,D ,"8.54, number of statements VI (Six) ",,
" 79. State whether true or false STATEMENT I shows the delay in the receipt of accounts, vouchers that is prepared in two parts i.e. part A for delay in receipt of monthly accounts and part B for delay in receipt of vouchers ",(a) True ,(b) False,,,A ,8.54,,
 80. STATEMENT II of Accounts wings shows the name of Divisions from which certain schedules have not been received and the months for which they are not received. Pick the incorrect schedule regrading: ,(a) Schedule of public Works Deposits ,(b) Schedule of Purchases ,(c) Schedule of sales ,(d) Schedule of Misc. Public Works Advances.,C ,8.54,,
 80A. STATEMENT II of Accounts wings shows the name of Divisions from which certain schedules have not been received and the months for which they are not received. Pick the incorrect schedule regrading: ,(a) Schedule of Misc. Public Works Advances ,(b) Schedule of Cash Settlement Suspense Accounts ,(c) Schedule of Reconciliation with Treasury ,(d) Schedule of work where expenditure exceeded allotment.,D ,8.54,,
 81. Numbers of statement pertaining to Account Wing in annual review on the working of all Public Works Divisions are ,(a) Three ,(b) Four ,(c) Five ,(d) Six,D ,8.54,,
