13. Pick the incorrect one,The Demand for Grants shall be presented to Parliament at two levels.,"The main Demand for Grants shall be presented to Parliament by the Ministry of Finance, Budget Division along with the Annual Financial Statement","The Detailed Demands for Grants, for consideration by the 'Public Account Committee (PAC) of the Parliament, are laid on the Table of the Lok Sabha by the concerned Ministries/ Departments, as per dates approved from time to time.",None the above,C,[Rule: 51 (3)]
14. The heads under which provision for expenditure shall be made in the Demands for Grants or Appropriation shall be prescribed by the Finance Ministry in consultation with the,CGA,CAG,Public Account Committee,Administrative Ministry or Department.,D,[Rule: 52 (2)]
15. DRSC stands for,Disaster Relief Standing Committee,Departmentally Related Standing Committee,Demand Reviewing Standing Committee,Demand Review & Structure Committee,B,[Rule: 51 (3)]
16. Outcome Budget Statement is prepared by Department of Expenditure in consultation with the concerned Ministries and,Union Cabinet,Finance Commission,NITI Aayog,Public Account Committee,C,[Rule: 54]
17. The budget statement linking outlays against each scheme/project with the outputs/deliverables and medium term outcomes is known as,Performance Budget,Output Budget,Deliverable Budget,Outcome Budget,D,[Rule: 54]
MTEF Statement stand for,Medium Term Expenditure Framework ,Most Tolerable Efficiency Factor,,,A,[Rule: 54]
"19. If the Appropriation Bill seeking authorization of the Parliament to make expenditure in consonance with the Budget proposal is likely to be passed after the start of the financial year to which it corresponds then pending the completion of the procedure prescribed in Article 113 of the Constitution for the passing of the Budget, to cover expenditure for a brief period the Finance Ministry may need to obtain a",Vote on Credit,Vote on Demand,Vote on Account,Credit on Demand,C,[Rule: 55]
20.Vote on Account' has been referred to in ,Article 113 of the Constitution.,Article 114 of the Constitution.,Article 115 of the Constitution.,Article 116 of the Constitution.,D,[Rule: 55]
21. State whether true or false: Funds made available under Vote on Account may be utilized for expenditure on a 'New Service'.,TRUE,FALSE,,,B,[Rule: 55]
"22. A copy of the entries made in GFR 5 during the preceding month shall be sent by the officer maintaining it, to the Head of the Department or other designated Controlling Officer on",1st  day of next month,3rd day of next month,7th  day of next month,15th day of next month,B,[Rule: 57 (4) (iii)]
"23. State whether true or false: This statement shall also include adjustment of an inward claim, etc., communicated by Pay and Accounts Officer directly to the DDO (and not to his Grant Controlling Officer). If there are no entries in the register in any month, a statement need not be sent.",TRUE,FALSE,,,B,[Rule: 57 (4) (iii)]
"24. To monitor the receipt of the returns from DDOs, the Controlling Officer will maintain a broadsheet in Form", GFR 3, GFR 4, GFR 5, GFR 6,D,[Rule: 57 (4) (iv)]
"25. Pick the correct one regrading examining the point by the Controlling Officer on receipt of the returns from DDOs \\n(i) that the accounts classification has been properly given \\n(ii) that progressive expenditure has been properly noted and the available balances worked out correctly \\n(iii) that expenditure up-to-date is within the grant or appropriation \\n(iv) that the returns have been signed by Disbursing Officers. Where he finds defects in any of these respects, he shall take steps to rectify the defect.","i, ii and iii","i, ii and iv","ii, iii and iv",All of the,D,[Rule: 57 (4) (v)]
"26. When all the returns from the Disbursing Officers for a particular month have been received and found to be in order, the Controlling Officer shall compile a statement in Form",GFR 5,GFR 6,GFR 7,GFR 9,C,[Rule: 57 (4) (vi)]
"27. On receipt of all the necessary returns, the Head of the Department shall prepare a consolidated account showing the complete expenditure from the grant or appropriation at his disposal upto the end of the preceding month in Form",GFR 7,GFR 8,GFR 9,GFR 10,B,[Rule: 57 (4) (vii)]
28. Who shall be responsible for the monthly reconciliation of the figures given in the accounts maintained by the Head of the Department with those appearing in the Accounts Officer's books?,DDO & Accounts Officer jointly,DDO & Head of Department jointly,Head of Department & Accounts Officer jointly,All of the above jointly.,C,[Rule: 57 (5)]
29. Pick the incorrect one,"DDOs shall maintain a Bill Register in Form TR 28-A, and note all bills presented for payment to the PAO in the register. Payment details shall be noted in the appropriate column of the Bill Register.","The PAOs shall furnish to each of the DDOs including Cheque 'drawing DDOs, an extract from the expenditure control register or from the Compilation Sheet every month. statements for May to March shall also contain Progressive Figures.",The DDO shall furnish to the PAO a certificate of agreement of the figures as per his books with those indicated by the PAOs by the 15th day of the month following the month of accounts.,"The Principal Accounts Officer (or PAO wherever payments, relating to a grant are handled wholly by a PAO) of each Ministry, shall send a monthly statement showing the expenditure vis-'-vis the Budget provision under the various heads of accounts to the Heads of Departments responsible for overall control of expenditure against grant of the Ministry as a whole.",C,[Rule: 57 (5)]
30. The Head of the Department shall furnish a quarterly certificate to the Principal Accounts Officer certifying the correctness of the figures relating to Grant for the quarter by,the 15th of the following month after the end of quarters, the 15th of the second following month after the end of quarters,the last day of following month after the end of quarters,the last day of second following month after the end of quarters,B,[Rule: 57 (5) (iv)]
31. The Departments of the Central Government shall obtain from their Heads of Departments and other offices under them the departmental figures of expenditure in Form GFR 8 by,the 7th of the following the month,the 10th of the following the month,the 15th of the following the month,the last day of the following the month,C,[Rule: 57 (6)]
"32. A Broadsheet shall be maintained by the Departments of Central Government or each Head of Department and other authorities directly under them, to watch the prompt receipt of the various returns from month to month in Form",GFR 9,GFR 10,GFR 11,GFR 12,A,[Rule: 57 (8)]
"33. In order to maintain proper control over expenditure, a Controlling Officer shall obtain from the spending authorities liability statements in Form GFR 3-A every month, starting from the month of",April,June,September,October,D,[Rule: 58]
34. The Controlling Officer maintains a Liability Register in Form,GFR 2,GFR 3,GFR 3A,GFR 6,B,[Rule: 58]
35. Ultimately responsible for the control of expenditure against the grant/appropriation is,Head of Department,Accounts Officer,Authority administering the grant/appropriation,Head of Department & Accounts Officer jointly.,C,[Rule: 60]
36. The Accounts Officer shall not allow any payment against sanctions in excess of the Budget provisions unless there is specific approval of the,Head of Department,Chief Controller of Account,Controller General of Accounts,Chief Accounting Authority.,D,[Rule: 61 (1)]
37. State whether true or false: The savings as well as provisions even though that cannot be profitably utilised shall not be surrendered to Government before the end of the year. No savings shall be held in reserve for possible future excesses.,TRUE,FALSE,,,B,[Rule: 62 (2)]
38. Re-appropriation of Funds has been referred to in,Rule 10 of the Delegation of Financial Powers Rules,Rule 10 of GFR 2017,Rule 10 of R&P 1983,Rule 10 of GAR 1990,A,[Rule: 65 (1)]
39. Re-appropriation of fund involves transfer of fund from,One department to another,One major head to another,Capital to Revenue or vice versa,One primary unit to another,D,[Rule: 65 (1)]
An application for re-appropriation of funds shall ordinarily be supported by a statement in Form,GFR 1,GFR 2,GFR 3,GFR 4,A,[Rule: 65 (4)]
"In all orders sanctioning re-appropriation, the reasons saving and excess and affected primary units (secondary units, wherever necessary shall be invariably Stated for amount of", Rupees 50 thousand or over,Rupees 1 lakh or over,Rupees 2 lakh or over,Rupees 5 lakh or over,B,[Rule: 65 (4)]
42.Supplementary Grant has been mentioned in Article,113 of the Constitution,114 of the Constitution,115 of the Constitution,116 of the Constitution,C,[Rule: 66]
43. Expenditure in excess of the provisions for the service included in an Appropriation (Vote on Account) Act shall be met,By Supplementary Grant,By Excess Grant,By an advance from Consolidated Fund,By an advance from Contingency Fund,D,[Rule: 67 (2)]
44. Contingency Fund of India has been set up under Article,266 (1),267 (1),266 (2),267 (2),B,[Rule: 67 (1)]
45. The procedure for obtaining an advance from the Contingency Fund and recoupment of the Fund shall be as laid down in the,Contingency Fund of India Rules 1952,Contingency Fund of India Rules 1955,Treasury Rule,GAR 1990,A,[Rule: 67 (4)]
46. Who appears before the Committee on Public Accounts and any other Parliamentary Committee for examination of accounts?,Head of Department,CCA,CAA,Financial Advisor,C,[Rule: 70 (iv)]
