"18. Match the following Standard-->  Brief Description: A: Basic Postulates; B: General Standards; C: Field Standards; D: Reporting Standards;  I: establish a foundation for credibility of work of the auditor and the audit institution.;  II: provide an overall framework for the auditor and the audit institution for reporting the results of audit;  III: help in developing auditing standards and guide the auditors in forming their opinions and reports, particularly in cases where no specific standards apply;  IV: provide an overall   framework   for   conducting   and managing an audit.; ","(a) A-I, B-II, C-III and D-IV ","(b) A-II, B-I, C-IV and D-III ","(c) A-III, B-I, C-IV and D-II ","(d) A-IV, B-III, C-II and D-I",C,
"19. Basic postulates includes i. The auditing standards shall be complied with by the auditors in all matters that are deemed material. ii. The auditors shall apply their own judgement to the diverse situations that arise in the course of audit. iii. The CAG or his officers shall ensure the promulgation of acceptable accounting standards for financial reporting and disclosure that are relevant to the needs of the Government and that result in true and fair presentation of financial position and results of operations. iv. The Government shall ensure cooperation of auditable entities in providing access to all relevant data, information and documents necessary for audit ","(a) i, ii and iv ","(b) ii, iii and iv ","(c) i, ii and iii ",(d) All of the above.,A,
20. Audit shall avoid conflict of interest between the auditor and the auditable entity is a located in ,(a) Reporting Standard ,(b) Field Standard ,(c) General Standard ,(d) Basic Postulate,D,
"21. Who shall be responsible for establishment, development and enforcement of adequate information, control, evaluation and reporting systems within the Government to facilitate the accountability process? ",(a) the CAG ,(b) the Government ,(c) Auditee unit ,(d) All of the above,B,
"22. Which describes the qualifications of the auditor and the audit institution, the compliance of which enables them to carry out the tasks related to conduct of audit and reporting of audit findings in a competent and effective manner? ",(a) Basic Postulates ,(b) General Standards ,(c) Field Standards ,(d) Reporting Standards,B,
23. The general standards include i. Independence ii. Professional Competence iii. Due care iv. Professional Judgement v. Quality Control ,"(a) i, ii, iii and iv ","(b) i, iii, iv and v ","(c) ii, iii, iv and v ",(d) All of the above,D,
24. Due care element of general standards means ,"(a) The auditors should exercise due care and caution in complying with auditing standards particularly in planning audits, specifying, gathering and evaluating evidence and in reporting findings, conclusions and recommendations ","(b) The auditee institutions should exercise due care in providing all records, documents and information requisitioned by the auditors during the course of audit. ",(c) Both a & b ,(d) None of the given,A,
25. Professional Competence is applicable to ,(a) the auditors ,(b) the audit institutions ,(c) the auditors and the auditee institutions ,"(d) the auditors, the auditee institutions and auditee units",C,
26. Pick the correct one ,"(a) Professional judgement represents the application of the individual knowledge, skills and experience of an auditor involved with an assignment and not the collective the professional judgement of the all the personnel involved with an assignment.","(b) Professional judgement represents collaboration with other stakeholders, outside experts and the management in the audit institution. ",(c) Both a & b ,(d) All of the above,B,
"27. State whether true or false: Separate field standards may be formulated for financial audit, compliance audit and performance audit. ",(a) True ,(b) False,,,A,
28. Field audit standards are related to ,(a) General Standards ,(b) Reporting Standards ,(c) Both a & b ,(d) None of the given,C,
"29. The elements of the field audit standards are i. Planning ii. Supervision and review iii. Examination and evaluation of internal control iv. Compliance with applicable laws, rules and regulations v. Audit evidence ","(a) ii, iii, iv and v ","(b) i, iii, iv and v ","(c) i, ii, iii and iv ",(d) All of the above,D,
30. Audit evidence should be ,"(a) Complete, Relevant and Reliable ","(b) Competent, Relevant and Reasonable ","(c) Compact, Reliable and Reasonable ","(d) Concise, Relevant and Reliable",B,
"31. Reporting standards include element i. Reporting standards shall be meant to assist, and not to supersede, prudent judgement of the auditor in framing and reporting audit findings, conclusions and recommendations. ii. The reports should be complete, accurate, objective, convincing, clear, concise, constructive and timely. iii. In formulating the audit opinion or report, the auditor should inter alia give due regard to the materiality of the matter keeping in view the amount, nature and context iv. Performance audits, besides reporting on individual cases of non-compliance and abuse, also require reporting on weaknesses that exist in systems of financial management and internal control ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) All of the above,A,
32. The form and content of all audit opinions and reports need to be consistent with the principles of i. objectives and scope ii. Completeness iii. addressee iv. timeliness. ,"(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) All of the above,D,
33. State whether true or false: The CAG examines and certifies the Finance Accounts and the Appropriation Accounts of the Union and the Accountant General (Audit) of the State and the Union Territory having a legislative assembly certifies the Finance Accounts and the Appropriation Accounts of the State and UT concerned ,(a) True ,(b) False,,,B,
"34. Reports pertaining to which types of audit should not concentrate solely on adverse assessment of the past but should be constructive. Recommendations should, as far as feasible, suggest what improvements are needed and how to achieve them? ",(a) Compliance Audit ,(b) Financial Audit ,(c) Performance Audit ,(d) Supplementary Audit,C,
35. The primary purpose of financial audit is to verify except ,(a) whether the accounts of Government are properly prepared ,(b) whether the accounts of Government ,(c) whether the accounts of Government are complete in all respects and are presented with adequate disclosures. ,(d) None of the given,D,
36. Pick the incorrect one ,(a) Government departments shall send copies of all orders of re-appropriation and surrender of funds to the audit office and the accounts office as soon as these are issued ,(b) A consolidated statement of all such orders issued during a financial year shall also be sent to the audit office and the accounts office so as to reach within 15 days after the close of the financial year. ,(c) A nil statement shall be sent if no such order was issued ,(d) None of the given,B,
"37. Government departments and the agency responsible for the compilation of accounts and financial statements shall supply to the audit officer i. the reasons for any significant variations between the amounts of expenditure and the amounts of receipts of the year of accounts and the corresponding amounts for the preceding year ii. the statement of periodic book adjustments together with the copies of the general or special orders authorising such adjustments iii. the explanation for differences, if any, in the cash balance as per the books of accounts and the balance as per the books of the Reserve Bank of India iv. the explanation for any items that are prima facie unusual including adverse and insufficient balances ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,D,
"38. Government departments and the agency responsible for the compilation of accounts and financial statements shall supply to the audit officer i. details of the outstanding amounts of loan and interest on loans. ii. details of guarantee given, guarantee invoked and guarantee fee received during the year iii. the details of complete works costing more than the limit prescribed by the audit office from time to time iv. the reasons for variations, if any, between the closing balances of the preceding year and the opening balances of the year of accounts in respect of heads of accounts that do not close to Government account; ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,B,
39. An annual action plan for the timely completion of certification of financial statements shall be prepared by ,(a) Audit Office ,(b) agencies responsible for preparation and compilation of accounts ,(c) Audit Office and agencies responsible for preparation and compilation of accounts ,"(d) Audit Office, agencies responsible for preparation and compilation of accounts and the Government concerned",C,
40. Compliance audit examines the transactions relating to ,(a) expenditure and receipts ,(b) assets and liabilities ,"(c) expenditure, receipts and assets and liabilities ","(d) expenditure, receipts, assets and liabilities and performance of the entity",C,
"41. Compliance audit examines the transactions relating to expenditure, receipts, assets and liabilities of Government for compliance with ",(a) the provisions of the Constitution of India and the applicable laws ,"(b) the rules, regulations, orders and instructions issued by the competent authority either in pursuance of the provisions of the Constitution of India and the laws or by virtue of the powers formally delegated to it by a superior authority. ",(c) Neither a nor b ,(d) Both a and b,D,
42. Pick the correct one ,"(a) Government departments shall invariably endorse or otherwise send to the audit office(s) and the accounts office(s) copies of all rules, regulations and general orders regulating the raising of revenues, incurring of expenditure and liabilities and management of assets and liabilities, as soon as these are issued. ","(b) Wherever possible, any revision of rules or substantive codes undertaken by the Government departments and having financial, accounting or auditing implications may be referred to the concerned Accountant General (Accounts and Entitlement) or Accountant General (Audit), as the case may be, for scrutiny after issue. ",(c) Both a & b ,(d) None of the given,A,
43. The CAG has been authorised to audit all expenditure from the Consolidated Fund of India and of each State and of each Union Territory having a legislative assembly under the provision of ,(a) Section 12 of the DPC Act ,(b) Section 13 of the DPC Act ,(c) Section 15 of the DPC Act ,(d) Section 16 of the DPC Act,B,
"44. Audit checks the expenditure for i. Appropriation and re-appropriation and confirmation that the expenditure is within the scope and intent of the grant and does not attract the limitation of new service or new instrument of service ii. Authorisation by the authority that is competent to do so iii. Compliance with the requirement of the applicable laws, rules, regulations, orders and instructions in actual disbursement iv. Evidence by way of vouchers, payees’ acknowledgements etc.  ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D,
"45. Audit checks the expenditure for i. Record in the books of the spending officer, including cross-verification with the records of the treasury, pay and accounts office, bank, etc.  ii. Identification of potential tax assessees, ensuring compliance with laws as well as detection and prevention of tax evasion; iii. Accounting in the books of the Government iv. Monitoring, control and reporting as prescribed in the Government rules. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,C,
"46. Pick the correct one regarding Endorsement of copies of sanction orders and contract agreements to Audit i. Copies of all orders sanctioning expenditure issued by Government departments shall be endorsed or otherwise sent to the audit office as soon as these are issued. ii. Heads of departments shall also send to the audit office quarterly statements on the 15th day of following month of the quarter concerned of all sanctions issued in respect of their department during the preceding quarter. iii. Copies of contract agreements need to be sent to the audit office along with quarterly statements iv. The CAG, by a general or special order, may exempt any department or a particular class or classes of orders from the requirement of sending copies to audit office. ","(a) i, ii and iv ","(b) i, ii and iii ","(c) ii, iii and iv ",(d) All of the above,A,
"47. Who shall endorse or otherwise send to the audit office and the accounts office, copies of all sanctions of advance from the Contingency Fund as well as resumption of the advance to the Contingency Fund as soon as these are issued? ",(a) Finance Ministry/Department ,(b) President/Governor ,(c) Parliament/Legislature ,(d) Reserve Bank of India,A,
48. The CAG has been authorised to audit all receipts of the Government of India and of Governments of each State and of each Union Territory having a legislative assembly under the provision of ,(a) Section 12 of the DPC Act ,(b) Section 13 of the DPC Act ,(c) Section 15 of the DPC Act ,(d) Section 16 of the DPC Act,D,
"49. With regard to audit of receipts, the CAG has to satisfy himself that the rules and procedures are designed to secure an effective check on the ",(a) Assessment of revenue ,(b) Collection of revenue ,(c) Assessment and collection of revenue ,"(d) Assessment, collection and proper allocation of revenue",D,
"50. Audit of receipts includes an examination of the systems and procedures and their efficacy in respect of i. pursuit of claims with due diligence and that these are not abandoned or reduced except with adequate justification and proper authority ii. prompt investigation of losses of revenue through fraud, default or mistake including, if required, through the review of other similar cases iii. exercise of discretionary powers in an appropriate manner including levy of penalties and initiation of prosecution iv. achievement of targets, accounting and reporting of receipts and their cross-verification and reconciliation with the accounts records ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D,
"51. Audit of receipts includes an examination of the systems and procedures and their efficacy in respect of i. appropriate action to safeguard the interests of the Government on the orders passed by departmental appellate authorities ii. amounts that may have fallen into arrears, maintenance of records of arrears and action taken for the recovery of the amounts in arrears iii. other ancillary and non-assessment functions including expenditure incurred by the departments iv. amounts of refunds, rebates, drawbacks, remissions and abatements to see that these are correctly assessed and accounted for v. any other matter, as may be determined by the Government ","(a) ii, iii, iv and v ","(b) i, ii, iii and iv ","(c) i, ii, iv and v ",(d) All of the above,B,
"52. An annual statement to the Accountant General (Audit) containing the details of follow up action taken on audit observations, including recoveries, in respect of accepted paragraphs included in the audit reports laid before Parliament or legislature till the end of that financial year shall be furnished by the department within ",(a) one month of the close of financial year ,(b) six months of the close of financial year ,(c) three months of the close of financial year ,(d) two months of the close of financial year,B,
53. The CAG to audit and report on the accounts of the stores and the stock kept in any office or department of the Union or of a State or of a Union Territory having a legislative assembly under the provision of ,(a) Section 17 of the DPC Act ,(b) Section 18 of the DPC Act ,(c) Section 19 of the DPC Act ,(d) Section 20 of the DPC Act,A,
54. The accounts of stores and stock shall be kept in the manner prescribed by ,(a) Head of the auditee unit ,(b) Parliament ,(c) the CAG in consultation with the Union Government ,(d) the Union Government in consultation with the CAG,D,
"55. State whether true or false: Audit shall not normally assume responsibility for physical verification of stores which rests with the Government. It, however, reserves the right to investigate store balances and highlight discrepancies. ",(a) True ,(b) False,,,A,
56. Pick the incorrect one ,(a) Audit of Store and Stock -Extension of audit of expenditure ,(b) Audit of Grant-in-aid- Extension of audit of receipt ,(c) Audit of Loans-Extension of audit of expenditure ,(d) All of the above,B,
"57. Audit of Government assistance in form of grants-in-aid or loans shall be conducted to verify whether systems and procedures are in place and are being complied with for i. proper and transparent identification and selection of persons, bodies and authorities for Government assistance with reference to their antecedents, absorptive capacity, financial position, systems and management practices ii. clear enunciation of purpose for the sanction of the Government assistance and determination of amount of assistance and its timely release iii. proper accounting of assistance by the grantee or the loanee including maintenance of accounts in such form as may be prescribed iv. monitoring and ensuring the economical, efficient and effective end use of assistance including achievement of the objectives of assistance ","(a) ii, iii and iv ","(b) i, ii and iii ","(c) i, iii and iv ",(d) All of the above,D,
58. Pick the correct one ,(a) Economy issues focus on the cost of the inputs and processes. Economy occurs where equal-quality resources are acquired at least cost. ,"(b) Efficiency is the relationship between the output, in terms of goods, services or other results and the resources used to produce them. ",(c) Effectiveness is the extent to which objectives are achieved and the relationship between the intended impact and the actual impact of an activity. ,(d) All of the above,D,
"59. Where the use of financial, human, physical and information resources is such that output is maximised for any given set of resource inputs, or input is minimised for any given quantity and quality of output, it leads to existence of ",(a) economy ,(b) effectiveness ,(c) efficiency ,(d) All of the above.,C,
"60. Which parameter addresses the issue of whether the scheme, programme or organisation has achieved its objectives? ",(a) economy ,(b) effectiveness ,(c) efficiency ,(d) All of the above.,B,
61. An Entry Conference shall be held before commencing detailed work of performance audit ,(a) by the AG with the Secretary to the Government of concerned department ,(b) by the Secretary to the Government of concerned department with the AG ,(c) by the AG with the Secretary to the Government of Finance department ,(d) by the Secretary to the Government of Finance department with the AG,A,
62. Sec 14(1) of the DPC Act authorises the CAG to audit the receipts & expenditure of a body or authority if ,(a) the amount of Government grant or loan paid to it in a financial year is not less than rupees twenty-five lakh ,(b) the amount of such grant or loan is not less than seventy-five per cent of its total expenditure during the year. Audit under this Section is subject to the provisions of any law applicable to the body or authority. ,(c) either a or b ,(d) both a & b,D,
"63. The audit of bodies and authorities, other than Government establishments and companies, by the Comptroller and Auditor General is governed by the provisions contained in Sections ",(a) 14 and 15 ,"(b) 19(2), 19(3), 19A and 20 of the Act ","(c) 14, 15, 19(2), 19(3), 19A and 20 of the Act ","(d) 14, 15, 18, 19(2), 19(3), 19A and 20 of the Act",C,
64. The CAG may audit all receipts and expenditure of a body or authority where the amount of Government grants or loans to the body or authority in a financial year is not less than rupees one crore ,(a) Suo moto ,(b) with previous sanction of the President/Governor/Administrator ,(c) both a & b ,(d) on calling upon to do so by the President/Governor/Administrator with previous sanction of the CAG,B,
65. The CAG may audit all receipts and expenditure of a body or authority where the amount of Government grants or loans to the body or authority in a financial year is not less than rupees one crore under the provision of ,(a) Section 14 (1) of DPC Act ,(b) Section 14 (2) of DPC Act ,(c) Section 15 (1) of DPC Act ,(d) Section 15 (2) of DPC Act,B,
"66. Where the receipts and expenditure of a body or authority are audited by the CAG under sub-section (1) or (2) of Section 14 for a particular year, the CAG is authorised under Section 14(3) of the Act to continue to audit its receipts and expenditure for ",(a) a further period of two years even if the conditions stated in sub-section (1) or (2) are not satisfied during any of the two subsequent years. ,(b) a further period of two years if the conditions stated in sub-section (1) or (2) are satisfied during any of the two subsequent years. ,(c) a further period of three years even if the conditions stated in sub-section (1) or (2) are not satisfied during any of the two subsequent years. ,(d) a further period of three years if the conditions stated in sub-section (1) or (2) are satisfied during any of the two subsequent years.,A,
67. Government departments and other officers empowered to sanction grants and/or loans to anybody or authority shall ,(a) endorse a copy of each letter of sanction of grant or loan to the audit office; ,"(b) mention in the sanction, the amount of the budgeted expenditure of the body or authority ","(c) ensure that the assisted body or authority makes available all the relevant records to the audit officer for audit, wherever and whenever necessary, and that a requirement to this effect is incorporated in the letter of sanction to the grant and/or loan. ",(d) All of the above,D,
68. Governments and heads of departments shall furnish to the audit office an annual statement of such bodies and authorities to which grants and/or loans ,(a) aggregating rupees ten lakh or more were paid during the preceding year indicating ,(b) amounting rupees ten lakh on a single occasion or aggregating rupees fifty lakh or more were paid during the preceding year ,(c) aggregating rupees twenty five lakh or more were paid during the preceding year indicating ,(b) amounting rupees twenty five lakh on a single occasion or aggregating rupees one crore or more were paid during the preceding year,A,
69. The annual statement showing the details of grant and/or loan made shall be furnished to the audit office by the end of ,(a) April ,(b) July ,(c) June ,(d) December,B,
"70. Pick the correct one regarding computation of quantum of Government assistance u/s 14 of DPS Act i. the aggregate of the amounts of grant(s) and loan(s) paid to a body or authority shall be reckoned together ii. the amounts of grant(s) and loan(s) paid to a body or authority by the Union Government, the State Government(s) and the Union Territory Government(s) shall be aggregated iii. the amounts of grant(s) and loan(s) paid to a body or authority by the World Bank shall be aggregated iv. the amounts of grant(s) and loan(s) paid during a year shall include any amounts remaining unspent out of grant(s) and loan(s) paid to the body or authority during preceding year(s) but not refunded to the Government. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,C,
"71. Where any grant or loan is given for any specific purpose from the Consolidated Fund of India or of any State or of any Union Territory having a legislative assembly to any authority or body, not being a foreign state or international organisation, the CAG is authorised under Section 15 (1) of the DPC Acts to ",(a) scrutinise the procedures by which the sanctioning authority satisfies itself as to the fulfilment of the conditions subject to which such grants or loans were given ,(b) scrutinise the procedures by which the grantee/loanee accounts for the grants or loans and their utilisation for the purpose for which they were given ,(c) both a& b ,(d) None of the above,A,
72. Under Section 15 (2) of the DPC Acts ,"(a) The President/Governor/Administrator may, after the consultation with the CAG, authorise him to carry out the audit of a body or authority receiving Government grant for any specific purpose. ","(b) The President/Governor/Administrator may, after the consultation with the CAG, appoint him the sole auditor of a body or authority receiving Government grant for any specific purpose ","(c) The President/Governor/Administrator may, after the consultation with the CAG, relieve him from scrutinising the procedures by which the sanctioning authority satisfies itself as to the fulfilment of the conditions subject to which such grants or loans were given ","(d) The President/Governor/Administrator may, after the consultation with the CAG, relieve him from audit of a body or authority receiving Government grant for any specific purpose.",D,
"73. Pick the correct one i. As per Section 19(2) of the Act, the duties and powers of the Comptroller and Auditor General in relation to audit of accounts of corporations established by or under law made by Parliament are performed and exercised in accordance with the provisions of the respective legislations. ii. Every corporation that is subject to audit by the CAG shall send copies of the agenda notes and minutes of the meetings of its governing body, by whatever name called, and the audit committee, if formed, to the CAG. iii. Where the CAG is the sole auditor of a corporation, the financial audit is conducted in accordance with the auditing standards issued by the CAG iv. Accounts of the corporation comply with the accounting standards prescribed by the Institute of Chartered Accountants of India ","(a) i, ii and iii ","(b) i, ii and iv ","(c) i, iii and iv ",(d) All of the above,C,
"74. In addition to the financial audit of accounts of a corporation, the CAG may conduct any other type of audit, pick the incorrect one ","(a) test check of transactions entered into by the corporation with a view to examining their legality, competence and propriety and report on cases of infraction, waste, mismanagement, frauds and other irregularities ","(b) performance audit with a view to ascertaining the extent to which the corporation operates economically, efficiently and effectively for the achievement of the stated objectives. ","(c) The scope of above audits, however, may not extend to more than one financial year. ",(d) None of the given.,C,
"75. If the observations and qualifications are of such nature as may not warrant certification of accounts as presenting a true and fair view of the financial position of the corporation, certificate to be given will be ",(a) Disclaimer ,(b) Adverse ,(c) unqualified ,(d) qualified,B,
"76. On the completion of financial audit, the audit office shall send a draft audit report that will form part of the audit certificate on the accounts to ",(a) the chief executive officer ,(b) the Government ,(c) Audit Review Committee ,(d) All of the above,A,
77. Audit Report pertaining to financial audit is also called ,(a) Special Audit report ,(b) Supplementary Audit report ,(c) Staff Appraisal Report ,(d) Separate Audit report,D,
78. Reply to draft audit report on financial audit shall be furnished within ,(a) one week ,(b) two weeks ,(c) four weeks ,(d) six weeks,B,
"79. In case a reply is not received within the specified period or any extended period agreed to, the audit officer ",(a) may bring the matter into the notice of the CAG and proceed after his approval. ,(b) may proceed on the assumption that the corporation and the Government where a copy of the draft separate audit report is sent to it has accepted the audit observation. ,"(c) may proceed on the assumption that the corporation and the Government where a copy of the draft separate audit report is sent to it has no comments, observation and explanation in the matter. ",(d) All of the above.,C,
80. The Accountant General (Audit) shall send the audit certificate and the separate audit report which will form part of the audit certificate on the accounts of the corporation to ,(a) the chief executive officer of the corporation with a copy to the Secretary to Government of the concerned department ,(b) the Secretary to Government of the concerned department with a copy to the chief executive officer of the corporation ,(c) the chief executive officer of the corporation with a copy to the Secretary to Government of the concerned department and the CAG ,(d) the Secretary to Government of the concerned department with a copy to the chief executive officer of the corporation and the CAG,B,
81. Pick the incorrect one ,(a) The chief executive officer shall place the audit certificate and the separate audit report before the governing body and intimate to the Accountant General (Audit) the date on which these are presented to the governing body. ,(b) The Government shall cause every audit certificate and separate audit report to be laid before appropriate legislature(s) in accordance with Section 11 of the Act. ,(c) The Secretary shall intimate to the Accountant General (Audit) the date of presentation of the audit certificate and the separate audit report to the legislature. ,(d) None of the given,B,
"82. State whether true or false: The results of audit other than financial audits of accounts including compliance and performance audits of a Government corporation are reported through audit notes, inspection reports and audit reports. ",(a) True ,(b) False,,,A,
83. Who shall create an Audit Arrears Committee? ,(a) the CAG ,(b) the Government concerned ,(c) the AG concerned ,(d) the Corporation concerned,D,
84. Audit Arrears Committee is created for ,(a) furnishing replies to draft report in time to the AG (Audit) concerned ,(b) a large number of audit observations included in the inspection reports remain outstanding for more than two years ,(c) Both a & b ,(d) None of the given.,B,
85. Audit Arrears Committee consists of ,(a) senior officer of the corporation concerned ,(b) senior officer of the corporation concerned and officers from audit office. ,(c) senior officer of the corporation and officers from department concerned ,"(d) senior officer of the corporation concerned, officers from audit office and officers from department concerned",A,
86. Who should take steps to ensure constitution of Audit Arrears Committees and their effective functioning? ,(a) the Chief Executive Officer ,(b) the AG (Audit) ,(c) the CAG ,(d) the Government,D,
87. Audit of State Corporations may be entrusted to the CAG after having consulted him under the provision of ,(a) Section 19 (1) ,(b) Section 19 (2) ,(c) Section 19 (3) ,(d) Section 19A,B,
88. State whether true or false: No request to CAG regarding audit of State Corporation shall be made except after consultation with the Comptroller and Auditor General and after giving reasonable opportunity to the corporation to make representation with regard to the proposal for such audit. ,(a) True ,(b) False,,,A,
"89. Pick the correct one i. Section 20 (1) deals with audit the accounts of such authority or body if the CAG is requested in this behalf, after prior consultation, by the President or the Governor of State/Administrator of a Union Territory having a Legislative Assembly, on such terms and conditions as may be agreed upon between the CAG and the Government concerned ii. Section 20 (2) empowers the President or the Governor of a State or the Administrator of a Union Territory having a Legislative Assembly to entrust the CAG to undertake the audit of the accounts of anybody or authority, not entrusted to the CAG for audit, with the prior approval of the CAG, if the President or the Governor of a State or the Administrator of a Union Territory is of the opinion that such audit is necessary iii. Audit under Sub-sections (1) and (2) of Section 20 of the Act can be entrusted to the CAG only in public interest and only after giving a reasonable opportunity to the concerned authority or body to represent in respect of the proposal for such audit iv. Audit of Government Companies is conducted in accordance with the provisions of the Companies Act, 1956 contained in Sections 617 and 619 and of Corporations set up by or under law made by the Parliament, in accordance with provisions of the respective Legislations ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above,D,
"90. The conditions for undertaking audit of a body or authority at the request of the President or the Governor of a State or the Administrator of a Union Territory having a legislative assembly under Section 20(1) are the i. Audit shall be entrusted to the Comptroller and Auditor General preferably for a period of five accounts years. The arrangement will be reviewed after the expiry of this period ii. The Comptroller and Auditor General may appoint a primary auditor to conduct audit on his behalf and in accordance with the directions or guidelines issued by him. iii. The CAG or an officer so authorised in this regard, will communicate the results of audit to the governing body of the body or the authority with a copy to the concerned government. The governing body shall submit a copy of the report to the concerned Government along with its observations. iv. Any expenditure incurred by the CAG in connection with the audit of the body or authority, including the expenditure incurred for the services of the primary auditor, if any, shall be paid by the Government concerned to the CAG ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, ii and iii ",(d) All of the above,C,
