1. IT Rules 2011 has been made in terms with ,(a) Section 87 and Section 43 of IT Act 2000 ,(b) Section 88 and Section 43 of IT Act 2000 ,(c) Section 87 and Section 88 of IT Act 2000 ,(d) Section 43 and Section 44 of IT Act 2000,A
"12. Personal information"" means any information which, either directly or indirectly, in combination with other information available or likely to be available with a body corporate, is capable of identifying such person and that relates to ",(a) a natural person ,(b) an artificial person ,(c) a juridical person ,(d) All of the above,A
13. Body corporate or any person on its behalf shall obtain consent from the provider of the sensitive personal data or information regarding purpose of usage before collection of such information ,(a) orally ,(b) in writing through letter ,(c) in writing through letter or Fax or email ,(d) any of the above,C
14. Body corporate or any person on its behalf shall not collect sensitive personal data or information unless EXCEPT ,(a) the information is collected for a lawful purpose connected with a function or activity of the body corporate or any person on its behalf ,(b) the collection of the sensitive personal data or information is considered necessary for that purpose ,(c) the reasonable consideration has been paid for collection the sensitive personal data or information ,(d) None of the given,C
"15. While collecting information directly from the person concerned, the body corporate or any person on its behalf snail take such steps as are, in the circumstances, reasonable to ensure that the person concerned is having the knowledge of i. the fact that the information is being collected ii. the purpose for which the information is being collected iii. the intended recipients of the information iv. the name and address of the agency that is collecting the information v. the agency that will retain the information. ","(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii and iii ",(d) All of the above,D
16. Pick the correct one ,(a) Body corporate or any person on its behalf holding sensitive personal data or information shall not retain that information for longer than is required for the purposes for which the information may lawfully be used or is otherwise required under any other law for the time being in force. ,(b) Body corporate or any person on its behalf shall not permit the providers of information to review the information they had provided and ensure that any personal information or sensitive personal data or information found to be inaccurate or deficient shall be corrected or amended as feasible ,(c) a body corporate shall be responsible for the authenticity of the personal information or sensitive personal data or information supplied by the provider of information to such boy corporate or any other person acting on behalf of such body corporate ,(d) All of the above,A
17. Pick the incorrect one ,"(a) Body corporate or any person on its behalf shall, prior to the collection of information including sensitive personal data or information, provide an option to the provider of the information to not to provide the data or information sought to be collected. ","(b) The provider of information shall, at any time while availing the services or otherwise, also have an option to withdraw its consent given earlier to the body corporate. Such withdrawal of the consent shall be sent in writing to the body corporate. ","(c) In the case of provider of information not providing or later on withdrawing his consent, the body corporate shall have the option not to provide goods or services for which the said information was sought. ",(d) None of the given,D
18. State whether true or false Body corporate shall address any discrepancies and grievances of their provider of the information with respect to processing of information in a time bound manner ,(a) True ,(b) False,,,A
19. The body corporate shall designate a Grievance officer to redress the grievances of provider of information and publish on its website ,(a) name of the Grievance officer ,(b) contact details of Grievance officer ,(c) name and contact details of Grievance officer ,"(d) name, post and contact details of Grievance officer",C
20. The Grievance Officer shall redress the grievances or provider of information expeditiously but within ,(a) 24 hours from the date of receipt of grievance. ,(b) one week from the date of receipt of grievance. ,(c) one fortnight from the date of receipt of grievance. ,(d) one month from the date of receipt of grievance.,D
"21. Disclosure of sensitive personal data or information by body corporate to any third party shall require prior permission from the provider of such information, who has provided such information under lawful contract or otherwise, unless ","(a) such disclosure has been agreed to in the contract between the body corporate and provider of information, ",(b) where the disclosure is necessary for compliance of a legal obligation ,(c) either A or B ,(d) Both A&B,C
"22. The information shall be shared, without obtaining prior consent from provider of information, with ",(a) all the Government agencies. ,"(b) Government agencies mandated under the law to obtain information including sensitive personal data or information for the purpose of verification of identity, or for prevention, detection, investigation including cyber incidents, prosecution, and punishment of offences. ",(c) All the Government agencies and Non-Government Organisations ,"(d) Government agencies and Non-Government Organisations mandated under the law to obtain information including sensitive personal data or information for the purpose of verification of identity, or for prevention, detection, investigation including cyber incidents, prosecution, and punishment of offences.",B
23. Pick the incorrect one ,(a) The Government agency shall send a request in writing to the body corporate possessing the sensitive personal data or information without stating the purpose of seeking such information. ,(b) The Government agency shall also state that the information so obtained shall not be published or shared with any other person. ,(c) Neither A nor B ,(d) Both A&B,A
24. Pick the correct one ,(a) any sensitive personal data on Information shall be disclosed to any third party by an order under the law for the time being in force. ,(b) The body corporate or any person on its behalf shall not publish the sensitive personal data or information. ,(c) The third party receiving the sensitive personal data or information from body corporate or any person on its behalf shall not disclose it further. ,(d) All of the above,D
25. A body corporate or any person on its behalf ,"(a) may not transfer sensitive personal data or information including any information, to any other body corporate or a person in India, or located in any other country, even though that ensures the same level of data protection that is adhered to by the body corporate as provided for under these Rules. ","(b) may transfer sensitive personal data or information including any information, to any other body corporate or a person in India, or located in any other country, that ensures the same level of data protection that is adhered to by the body corporate as provided for under these Rules. ","(c) may not transfer sensitive personal data or information including any information, to any other body corporate or a person in India, or located in any other country under any circumstances ","(d) may transfer sensitive personal data or information including any information, to any other body corporate or a person in India, or located in any other country even though that does not ensure the same level of data protection that is adhered to by the body corporate",B
26. The transfer of sensitive personal data or information may be allowed ,(a) only if it is necessary for the performance of the lawful contract between the body corporate or any person on its behalf and provider of information ,(b) only where such person has consented to data transfer. ,(c) Neither A nor B ,(d) Either A or B,D
"27. The international Standard on ""Information Technology-Security Techniques- Information Security Management System- Requirements"" is shall be adopted by the body corporate or any person on its behalf for Reasonable Security Practices and Procedures that is ",(a) IS/ISO/IEC 27001 ,(b) IS/ISO/IEC 27010 ,(c) IS/ISO/IEC 17001 ,(d) IS/ISO/IEC 17010,A
28. If the body corporate or any person on its behalf have implemented such security practices and standards and have a comprehensive documented information security programme and information security policies that contain ,(a) managerial control measures that are commensurate with the information assets being protected with the nature of business ,(b) managerial and control measures that are commensurate with the information assets being protected with the nature of business ,"(c) managerial, technical and operational control measures that are commensurate with the information assets being protected with the nature of business ","(d) managerial, technical, operational and physical security control measures that are commensurate with the information assets being protected with the nature of business.",D
"29. The body corporate or a person on its behalf shall be required to demonstrate, as and when called upon to do so by the agency mandated under the law, that they have implemented security control measures as per their documented information security programme and information security policies ",(a) In the event of an information security breach ,(b) In the event of an information security compliance ,(c) Both A&B ,(d) In any event.,A
"30. Any industry association or an entity formed by such an association, whose members are self-regulating by following other than IS/ISO/IEC codes of best practices for data protection shall get its codes of best practices ",(a) duly approved by the Central Government for effective implementation. ,(b) duly notified by the Central Government for effective implementation. ,(c) duly approved and notified by the Central Government for effective implementation. ,"(d) duly approved, notified and implemented by the Central Government for effective implementation.",C
31. Standard or the codes of best practices that provide reasonable security practices and procedures ,(a) shall be certified or audited on a regular basis by entities through independent auditor duly approved by the Central Government. ,(b) shall be certified or audited on a regular basis by entities through independent auditor duly approved by the Central or State Government. ,(c) shall be certified or audited on a regular basis by entities through independent auditor duly approved by the Central or State or Union Territory Government. ,(d) shall be certified or audited on a regular basis by entities through independent auditor duly approved by the Central Government State or Union Territory Government or a Foreign Government.,A
32. The audit of reasonable security practices and procedures shall be carried cut by an auditor at least once ,(a) a five year or as and when the body corporate or a person on its behalf undertake significant upgradation of its process and computer resource. ,(b) a three year or as and when the body corporate or a person on its behalf undertake significant upgradation of its process and computer resource. ,(c) a two year or as and when the body corporate or a person on its behalf undertake significant upgradation of its process and computer resource. ,(d) a year or as and when the body corporate or a person on its behalf undertake significant upgradation of its process and computer resource.,D
"33. Pick the incorrectly matched rule of IT Rules, 2011 ",(a) Rule 4- Body corporate to provide policy for privacy and disclosure of information ,(b) Rule 5- Collection of information ,(c) Rule 6- Disclosure of information ,(d) Rule 7-Reasonable Security Practices and Procedures,D
34. Transfer of information is dealt in Rule ,(a) Rule 8 of IT Rule 2011 ,(b) Rule 7 of IT Rule 2011 ,(c) Rule 6 of IT Rule 2011 ,(d) Rule 5 of IT Rule 2011,B
