28. The audit of the accounts of authorities and bodies receiving financial assistance in the form of Grant- in-aid/loans from Government is carried out in accordance with the provision of ,(a) Section 13 and 16 of DPC Act ,(b) Section 14 and 15 of DPC Act ,(c) Section 17 and 18 of DPC Act,(d) Section 19 and 20 of DPC Act,B,,,
29. Which section of the DPC Act deals with the audit of receipt of the Government? ,(a) Section 13 ,(b) Section 15 ,(c) Section 16,(d) Section 19,C,,,
30. The audit of the accounts of authorities and bodies receiving financial assistance in the form of grants and /or loans from the Government of India or a State or Union Territory has been provisioned in ,(a) Section 17 & 18 of the DPC Act ,(b) Section 14 & 15 of the DPC Act ,(c) Section 13 & 16 of the DPC Act,(d) Section 19 & 20 of the DPC Act,B,,,
"31. Section 16 of the DPC Act, 971 requires the CAG to be satisfied that the rules and procedures in that behalf are designed to secure an effective check on the ",(a) Assessment of revenue ,(b) Assessment & collection of revenue ,(c) Collection and proper allocation of revenue,"(d) Assessment, Collection and proper allocation of revenue",D,,,
"32. Match the following A: Section of DPC Act Number-17; B: Section of DPC Act Number-18; C: Section of DPC Act Number-19; D: Section of DPC Act Number-20; I: To inspect any office of accounts under the control of the Union or of a State, including treasuries and such offices responsible for the keeping of initial and subsidiary accounts, as submit accounts to the CAG; II: Audit of the accounts of certain bodies or authorities, not covered by Section 19 or whose audit has not been entrusted by or under any law made by Parliament to the CAG can be entrusted to the CAG; III: Audit and report on the accounts of the stores and stock kept in any office or department of the Union or a State or a Union Territory.; IV: Duties and powers of the CAG in relation to the audit of the accounts of Government Companies and Corporations; ","(a) A-III, B-II, C-IV and D-I ","(b) A-I, B-III, C-IV and D-II ","(c) A-III, B-I, C-IV and D-II","(d) A-I, B-II, C-III and D-IV",C,,,
"33. Pick the correct one i. Section 20 (1) deals with audit the accounts of such authority or body if the CAG is requested in this behalf, after prior consultation, by the President or the Governor of State/Administrator of a Union Territory having a Legislative Assembly, on such terms and conditions as may be agreed upon between the CAG and the Government concerned ii. Section 20 (2) empowers the President or the Governor of a State or the Administrator of a Union Territory having a Legislative Assembly to entrust the CAG to undertake the audit of the accounts of anybody or authority, not entrusted to the CAG for audit, with the prior approval of the CAG, if the President or the Governor of a State or the Administrator of a Union Territory is of the opinion that such audit is necessary iii. Audit under Sub-sections (1) and (2) of Section 20 of the Act can be entrusted to the CAG only in public interest and only after giving a reasonable opportunity to the concerned authority or body to represent in respect of the proposal for such audit iv. Audit of Government Companies is conducted in accordance with the provisions of the Companies Act, 1956 contained in Sections 617 and 619 and of Corporations set up by or under law made by the Parliament, in accordance with provisions of the respective Legislations ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv",(d) All of the above,B,,,
"34. Pick the correct one i. Section 19 (1)- Audit of Government Companies is conducted in accordance with the provisions of the Companies Act, 1956 contained in Sections 617 and 619 ii. Section 19(2)- Audit of Corporations set up by or under law made by the Parliament, in accordance with provisions of the respective Legislations iii. Section 19 (3)- Audit of a Corporation established by law by the Legislature of a State or Union Territory can be entrusted to the CAG in the public interest by the Governor of the State or the Administrator of the Union Territory concerned after consultation with the CAG iv. Section 19A- The reports of the CAG in relation to the accounts of a Government Company or a Corporation audited under Section 19 are to be submitted to the Government or Governments concerned for being laid before the Parliament/legislature ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above,D,,,
35. Pick the correct one ,"(a) Section 18 (1) of the DPC Act requires the person in charge of the office or department, the accounts of which are to be inspected and audited by the CAG, to afford all facilities for such inspection and to comply with requests for information in as complete a form as possible and with all reasonable expedition ","(b) Section 18 (2) of the DPC Act empowers the CAG to Inspect any office of accounts under the control of the Union or of a State, to require that any accounts, books, paper and other documents which deal with or form the basis of or are otherwise relevant to the transactions to which his duties in respect of audit extend and to pose such questions or make such observations as the CAG may consider necessary to the person in charge of the office and to call for such information as the CAG may require for the preparation of any account or report which it is his duty to prepare. ",(c) None of the above,(d) Both of the above,C,,,
36. Pick the incorrect one ,"(a) Section 22- The Indian Audit and Accounts Department, functioning under the CAG, derives its authority and the powers for performance of its duties on his behalf ",(b) Section 23- The CAG is authorised to make regulations for carrying into effect the provisions of the DPC Act. ,"(c) Section 24- The CAG is authorised to dispense with, when circumstances so warrant, any part of detailed audit of any account or class of transactions and to apply such limited checks in relation to such accounts or transactions as the CAG may determine under Section",(d) None of the above.,A,,,
"37. The Section of the DPC Act, 1971 that authorises the CAG to delegate any power exercisable by the CAG under the provisions of the Act, or any other law, to any officer of his department, by general or special order is ",(a) Section 22 ,(b) Section 24 ,(c) Section 21,(d) Section 23,C,,,
38. Section 22 enables the ,(a) Central Government to make rules after consultation with the CAG for carrying out the provisions of the DPC Act in so far as they relate to maintenance of Government accounts. ,(b) Central Government to make rules after consultation with the CAG for carrying out the provisions of the DPC Act in so far as they relate to audit of accounts of Government. ,(c) CAG to make rules after consultation with the Central Government for carrying out the provisions of the DPC Act in so far as they relate to maintenance of Government accounts. ,(d) CAG to make rules after consultation with the Central Government for carrying out the provisions of the DPC Act in so far as they relate to audit of accounts of Government,A,,,
39. Article of the Constitution that requires the CAG to submit reports relating to the accounts of the Union and of a State to the President or the Governor of the State as the case may be for being placed before Parliament/Legislature of a State. ,(a) 148 ,(b) 149 ,(c) 150,(d) 151,D,,,
40. Provision for submission of the reports of the CAG in relation to the accounts of a UT having a Legislative Assembly to the Administrator of the UT for being laid before Legislature exists in ,(a) Article 150 of the Constitution ,(b) Article 151 of the Constitution ,(c) Section 49 of the UT Act 1963,(d) Section 48 of the UT Act 1963,C,,,
"41. Under Section 21, delegation of power by the CAG in respect of submission of any report which the CAG is required by the Constitution or the UT Act, 1963 can ",(a) be made only during the absence of the CAG on leave or otherwise ,(b) be made only when disciplinary proceedings against CAG is underway ,(c) be made in all the cases when the CAG so desires,(d) not be made under any circumstances.,B,,,
42. Section 26 of DPC Act deals with ,(a) Removal of doubts by the Central Government in consultation with the CAG in respect of difficulty arising due to implementation of any or all the provisions of the Act ,(b) Removal of doubts by the CAG in consultation with the Central Government in respect of difficulty arising due to implementation of any or all the provisions of the Act. ,"(c) Declaration regarding cessation of the Government of India (Audit & Accounts) Order, 1936 as adopted by the India (Provisional Constitution) Order, 1947 On the commencement of the Act.",(d) All of the above.,C,,,
43. Section 25 of DPC Act deals with repealing of ,"(a) CAG (Conditions of Service) Act, 1936 ","(b) CAG (Conditions of Service) Act, 1947 ","(c) CAG (Conditions of Service) Act, 1950","(d) CAG (Conditions of Service) Act, 1953",D,,,
"44. The Public Works departments has constructed a bridge amounting ? 5 crore, the CAG will conduct the audit under Section ","(a) 13 of the DPC Act, 1971 ","(b) 14 of the DPC Act, 1971 ","(c) 16 of the DPC Act, 1971","(d) 13 to 21 of the DPC Act, 1971",A,,,
45. Independence of the CAG is ensured by ,(a) Section 1 to 26 of the DPC Act ,(b) Section 1 to 9 of the DPC Act ,(c) Section 1 to 12 of the DPC Act,(d) Section 13 to 21 of the DPC Act,B,,,
46. Any rule made by the Central Government under Section 22 shall be laid before both the houses of the Parliament for a total period of ,(a) 60 days ,(b) 15 days ,(c) 45 days,(d) 30 days,D,,,
"47. Under which Section of the DPC Act, 1971 the CAG may be relieved from his duty to compile the accounts of the Union and the State? ",(a) Section 10 ,(b) Section 11 ,(c) Section 12,(d) Section 23,A,,,
"48. CAG may be relieved from his duty to prepare and submit the accounts to the President, the Governor and the Administrator of a UT under ",(a) Section 10 ,(b) Section 24 ,(c) Section 23,(d) Section 11,D,,,
49. Sec 14(1) of the DPC Act authorises the CAG to audit the receipts & expenditure of a body or authority if ,(a) the amount of Government grant or loan paid to it in a financial year is not less than rupees twenty- five lakh ,(b) the amount of such grant or loan is not less than seventy-five per cent of its total expenditure during the year. Audit under this Section is subject to the provisions of any law applicable to the body or authority. ,(c) either a or b,(d) both a & b.,D,,,
"50. The audit of bodies and authorities, other than Government establishments and companies, by the Comptroller and Auditor General is governed by the provisions contained in Sections ",(a) 14 and 15 ,"(b) 19(2), 19(3), 19A and 20 of the Act ","(c) 14, 15, 19(2), 19(3), 19A and 20 of the Act","(d) 14, 15, 18, 19(2), 19(3), 19A and 20 of the Act",C,,,
51. The CAG may audit all receipts and expenditure of a body or authority where the amount of Government grants or loans to the body or authority in a financial year is not less than rupees one crore ,(a) Suo moto ,(b) with previous sanction of the President/Governor/Administrator ,(c) both a & b,(d) on calling upon to do so by the President/Governor/Administrator with previous sanction of the CAG,B,,,
52. The CAG may audit all receipts and expenditure of a body or authority where the amount of Government grants or loans to the body or authority in a financial year is not less than rupees one crore under the provision of ,(a) Section 14 (1) of DPC Act ,(b) Section 14 (2) of DPC Act ,(c) Section 15 (1) of DPC Act,(d) Section 15 (2) of DPC Act,B,,,
"53. In Part I of Indian Constitution, there are ",(a) 30 States and 7 Union Territories ,(b) 28 States and 9 Union Territories ,(c) 29 States and 8 Union Territories ,(d) 30 States and 8 Union Territories,B,,,
54. Part V of Indian Constitution has been further divided into ,(a) 3 Chapters ,(b) 6 Chapters ,(c) 5 Chapters,(d) 4 Chapters,C,,,
55. Which of the following are covered under Part V of Indian Constitution i. The Union Executive ii. Parliament iii. Supreme Court and High Courts of India iv. CAG ,(a) I and II ,"(b) i, ii and iii ","(c) i, ii and iv",(d) All of the above,C,,,
56. There shall be President a President of India in terms of ,(a) Article 52 ,(b) Article 51 ,(c) Article 53,(d) Article 54,A,,,
"57. In terms of Article 53, the executive of India vests in ",(a) President ,(b) Prime Minister ,(c) Council of Minister,(d) Cabinet,A,,,
58. Oath or affirmation to the President of India is administered by ,(a) Prime Minister ,(b) Vice President ,(c) Chief Justice of India,(d) Speaker of the Lok Sabha,C,,,
"59 When a President is to be impeached for violation of the Constitution, the charge shall be preferred by ",(a) Lok Shaba ,(b) Rajya Sabha ,(c) Joint session of Lok Sabha and Rajya Sabha ,(d) either House of Parliament.,D,,,
60. Pick the correct one with regard to impeachment of the President, (a). the proposal to prefer impeachment charge is contained in a resolution which has been moved after at least fourteen days' notice in writing signed by not less than one-third of the total number of members of the House has been given of their intention to move the resolution ,(b) such resolution has been passed by a majority of not less than two-thirds of the total membership of the House. ,(c) Both A & B,(d) None of the given,B,,,
61. An election to fill a vacancy in the office of President shall be held as soon as possible and in no case later than ,(a) three months ,(b) six months ,(c) eight months ,(d) one year,B,,,
62. Who is the ex-officio chairman of Rajya Sabha? ,(a) President of India ,(b) Vice-President of India ,(c) Senior most member of the Rajya Sabha,(d) Member of the Rajya Sabha so appointed by the President of India,B,,,
63. The President shall hold office for a term of ,(a) five years from the date on which he enters upon his office ,(b) five years from the date on which election to the post of President is conducted ,(c) six years from the date on which he enters upon his office ,(d) six years from the date on which election to the post of President is conducted,A,,,
64. A non-member of Parliament has the right to address it is ,(a) Comptroller & Auditor General of India ,(b) Chief Election Commissioner ,(c) Solicitor General of India,(d) Attorney General of India,D,,,
65. The first law officer of India is ,(a) Chief Justice of India ,(b) President of India ,(c) Attorney General of India,(d) Advocate General,C,,,
66. Pick the correct one ,(a) The President shall appoint a person who is qualified to be appointed a Judge of the High Court to be Attorney-General for India. ,(b) The Attorney-General shall hold office for a term of 5 years or till the age of 65 years whichever is earlier ,(c) Both a & b,(d) None of the given,D,,,
67. Parliament consists of ,(a) Lokha Sahbha and Rajya Sabha ,"(b) President, Lok Sabha and Rajya Sabha ","(c) Lokha Sahbha, Rajya Sabha and all State Assemblies","(d) President, Lok Sabha, Rajya Sabha and all State Assemblies",B,,,
68. Pick the incorrect regarding composition of the Rajya Sabha ,"(a) 12 members having special knowledge or practical experience in Literature, science, art and social service, to be nominated by the President ",(b) not more than 238 representatives of the States ,(c) not more than 250 representatives of the States,(d) None,C,,,
"69. If a President is of the opinion that the Anglo-Indian Community needs representation in the Parliament, he has ",(a) the power to nominate two member from the Anglo-Indian Community in Lok Sabha ,(b) the power to nominate two members from the Anglo-Indian Community in either of the House ,(c) the power to nominate two member from the Anglo-Indian Community in Rajya Sabha,(d) the power to nominate two member from the Anglo-Indian Community in one each in Lok Sabha and Rajya Sabha,A,,,
70. The Article in which Money Bill has been defined is ,(a) Article 108 ,(b) Article 110 ,(c) Article 109,(d) Article 112,B,,,
"71. The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law. ",(a) True ,(b) False,,,A,,,
72. Power of President to promulgate Ordinances during recess of Parliament has been mentioned in ,(a) Article 120 ,(b) Article 123 ,(c) Article 124,(d) Article 126,B,,,
73. Every ordinance promulgated by the President shall be laid before both Houses of Parliament and shall cease to operate at the expiration of ,"(a) six weeks from the reassembly of Parliament, or, if before the expiration of that period resolutions disapproving it are passed by both Houses, upon the passing of the second of those resolutions ","(b) six month from the reassembly of Parliament, or, if before the expiration of that period resolutions disapproving it are passed by both Houses, upon the passing of the second of those resolutions ","(c) four weeks from the reassembly of Parliament, or, if before the expiration of that period resolutions disapproving it are passed by both Houses, upon the passing of the second of those resolutions","(d) four months from the reassembly of Parliament, or, if before the expiration of that period resolutions disapproving it are passed by both Houses, upon the passing of the second of those resolutions",A,,,
"74. Form of accounts of the Union and of the States shall be kept in such form as the President may on the advice of] the Comptroller and Auditor-General of India, prescribe is given in ",(a) Article 149 ,(b) Article 151 ,(c) Article 150,(d) Article 148,C,,,
75. Part VI deals with the States which contains article ,(a) Article 152 to Article 240 ,(b) Article 153 to Article 237 ,(c) Article 153 to Article 237,(d) Article 152 to Article 237,D,,,
76. The Governor of a State shall be appointed by the ,(a) Chief Minister ,(b) Prime Minister ,(c) President,(d) Supreme Court,C,,,
77. The Governor shall hold office for a term of ,(a) 5 years ,(b) 6 years ,(c) 4 years,(d) during the pleasure of the President,D,,,
78. Pick the correct one ,(a) No person shall be eligible for appointment as Governor unless he is a citizen of India and has completed the age of thirty years. ,(b) Governor may resign from his office by submitting the resignation to President. ,(c) Both a & b,(d) None of the given,B,,,
79. A Minister shall cease to be a Minister at the expiry of that period who is not a member of the Legislature of the State for any period of ,(a) six consecutive months ,(b) four consecutive months ,(c) twelve consecutive months,(d) three consecutive months,A,,,
80. The first law officer of a State Government is ,(a) Attorney General ,(b) Advocate General ,(c) Solicitor General,(d) Chief Justice of the High Court concerned.,B,,,
81. Which of the following states have bicameral legislature i. Bihar ii. Maharashtra iii. Karnataka iv. Rajasthan v. Uttar Pradesh ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii, iii and v",(d) All of the above,C,,,
82. The Legislative Assembly of each State shall consist of ,(a) not more than five hundred and not less than sixty ,(b) not more than five hundred and fifty and not less than sixty ,(c) not more than five hundred and not less than seventy,(d) not more than five hundred and fifty and not less than seventy,A,,,
83. The total number of members in the Legislative Council of a State having such a Council shall not exceed ,(a) 1/3rd of the total number of members in the Legislative Assembly of that State subject to minimum 60 ,(b) 1/4th of the total number of members in the Legislative Assembly of that State subject to minimum 40 ,(c) 1/4th of the total number of members in the Legislative Assembly of that State subject to minimum 60,(d) 1/3rd of the total number of members in the Legislative Assembly of that State subject to minimum 40,D,,,
"84. Manner of membership to Legislative Council i. 1/3rd members- electorates consisting of members of municipalities, district boards and such other local authorities ii. 1/12th members-electorates consisting of persons residing in the State who have been for at least three years graduates iii. 1/12th members - persons who have been for at least three years engaged in teaching in such educational institutions within the State iv. 1/3rd-the members of the Legislative Assembly v. 1/12th members- nominated by the Governor ","(a) i, ii, iii and iv ","(b) i, ii, iii and v ","(c) ii, iii, iv and v",(d) All of the above,D,,,
85. The Chief Minister of National Capital Territory (NCT) of Delhi shall be appointed by ,(a) the President ,(b) the Lieutenant Governor of Delhi ,(c) the Union Council of Minister,(d) Chief Election Commissioner,A,,,
86. Administration of Scheduled Areas and Tribal Areas is governed under the provision of ,(a) Article 243Z ,(b) Article 244 ,(c) Article 241,(d) Article 246,B,,,
87. Constitutional status to Panchayati Raj has been accorded by ,(a) 76th Amendment ,(b) 74th Amendment ,(c) 73rd Amendment,(d) 75th Amendment,C,,,
"88. Panchayati Raj is a three tier institutions, pick the incorrect one ",(a) Zila Panchayat ,(b) Panchayat Samiti ,(c) Gram Panchayat,(d) Gram Sabha,D,,,
"89. Pick the correctly matched i. Audit of accounts of Panchayat- Article 243J ii. Power to impose taxes by and Funds of, the Panchayat-243H iii. Power to impose taxes by and Funds of, the Municipalities-243X iv. Audit of accounts of Municipalities- Article 243Z ",(a) i and iv ,(b) ii and iii ,(c) None of the given,(d) All of the above,D,,,
90. List of items that may be entrusted to the Panchayat is given ,(a) 9th Schedule ,(b) 10th Schedule ,(c) 11th Schedule,(d) 12th Schedule,C,,,
91. List of items that may be entrusted to the Municipalities is given ,(a) 9th Schedule ,(b) 10th Schedule ,(c) 11th Schedule,(d) 12th Schedule,D,,,
92. To review the financial position of the Panchayats and Municipalities to make recommendations a Finance Commission shall be set up under Article 243-I and 243Y respectively ,(a) the Governor concerned ,(b) the President ,(c) Central Finance Commission,(d) Niti Aayog,A,,,
93. Receipts and expenditure pertaining to Scheduled Areas in a State are mentioned in ,(a) Article 245 ,(b) Article 246 ,(c) Article 247,(d) Article 244,D,,,
"94. State whether true or false Receipts and expenditure pertaining to Scheduled Areas in a State shall be accounted for under separate major and minor heads under which corresponding receipts and expenditure pertaining to other areas of the State are accounted for, as the receipts and expenditure of the former kind have to be shown in the accounts separately from the later. ",(a) True ,(b) False,,,B,,,
95. The exclusive power to make any law with respect to any matter not enumerated in the Concurrent List or State List rests with ,(a) Parliament ,(b) State Legislature ,(c) Inter-State council,(d) All of the above,A,,,
"96. Parliament has power to legislate with respect to a matter in the State List in the national interest under the provision of Article 249, if ",(a) the State Assembly has declared by resolution supported by not less than two thirds of the members present and voting ,(b) the Lok Sabha has declared by resolution supported by not less than two thirds of the members present and voting ,(c) the Rajya Sabha has declared by resolution supported by not less than two thirds of the members present and voting,(d) All of the above,C,,,
97. Power of Parliament to legislate with respect to any matter in the State List if a Proclamation of Emergency is in operation is given in ,(a) Article 250 ,(b) Article 251 ,(c) Article 252,(d) Article 254,A,,,
98. Power of Parliament to legislate for two or more States by consent and adoption of such legislation by any other State has been provisioned in ,(a) Article 250 ,(b) Article 251 ,(c) Article 252,(d) Article 254,C,,,
"99. In terms of Article 258 the President may, with the consent of the Government of a State, entrust either conditionally or unconditionally to that Government or to its officers functions in relation to any matter to which the executive power of the Union extends. ",(a) True ,(b) False,,,A,,,
100. Provisions with respect to an inter-State Council is given ,(a) Article 260 ,(b) Article 261 ,(c) Article 262,(d) Article 263,D,,,
101. Duties of Inter-State Council are except ,(a) inquiring into and advising upon disputes which may have arisen between States ,"(b) investigating and discussing subjects in which some or all of the States, or the Union and one or more of the States, have a common interest ","(c) making recommendations upon any such subject and, in particular, recommendations for the better co-ordination of policy and action with respect to that subject ",(d) None of the above,D,,,
102. Consolidated Fund” means the Consolidated Fund of India and States referred to in Article ,(a) 266 (1) of the Constitution ,(b) 266 (2) of the Constitution ,(c) 267 (1) of the Constitution,(d) 267 (2) of the Constitution,A,,,
103. Contingency Fund has been mentioned in ,(a) Article 267 (1) and Article 267 (2) for India and States respectively ,(b) Article 267 and Article 268 for India and States respectively ,(c) Article 266 (2) and Article 266 (3) for India and States respectively,(d) Article 267 (1) and Article 269 (1) for India and States respectively,A,,,
104. Article 266 (2) deals with ,(a) Public Accounts of India ,(b) Public Accounts of States ,(c) Public Accounts of India and States,"(d) Public Accounts of India, States and UTs",C,,,
105. Which of the following is/are in nature of an imprest ,(a) Consolidated Fund ,(b) Contingency Fund ,(c) Public Accounts,(d) All of the above,B,,,
106. Pick the incorrectly matched one ,(a) Article 268- Duties levied by the Union but collected and appropriated by the States. ,(b) Article 268A- Taxes levied and collected by the Union but assigned to the States. ,(c) Article 270- Taxes levied and distributed between the Union and the States.,(d) Article 275- Grants from the Union to certain States.,B,,,
107. Calculation of “net proceeds” of taxes in terms of Article 279 shall be ascertained and certified by ,(a) the CGA ,(b) Public Account Committee ,(c) Finance Commission,(d) the CAG,D,,,
108. Pick the correct ones regarding the Finance Commission ,"(a) In terms of Article 280, the President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the President considers necessary, by order constitute a Finance Commission ",(b) Finance Commission shall consist of a Chairman and four other members to be appointed by the President. ,(c) Both a & b,(d) None of the given,C,,,
109. Duties of the Finance Commission include recommending the following i. the distribution between the Union and the States of the net proceeds of taxes ii. the principles which should govern the grants-in-aid of the revenues of the States out of the Consolidated Fund of India iii. the measures needed to augment the Consolidated Fund of a State to supplement the resources of the Municipalities in the State on the basis of the recommendations made by the Finance Commission of the State iv. any other matter referred to the Commission by the President in the interests of sound finance. ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above,D,,,
110. Pick the correct one ,(a) Article 283 (1)-Custody of Consolidated Fund and Contingency Fund of India ,(b) Article 283 (2)-Custody of Consolidated Fund and Contingency Fund of States ,(c) Article 284-Custody of Public Accounts of India and States,(d) All of the above,D,,,
111. State whether true or false Borrowing by the Government of India and borrowing by the States are enshrined in Article 292 and 293 respectively ,(a) True ,(b) False,,,A,,,
112. Which Part of Indian Constitution deals with Services under the Union and the States? ,(a) Part XII ,(b) Part XIV ,(c) Part XIII,(d) Part XVII,B,,,
113. No person who is a member of a civil service of the Union or an all-India service or a civil service of a State or holds a civil post under the Union or a State shall be dismissed or removed by an authority subordinate to that by which he was appointed. ,(a) True ,(b) False,,,A,,,
114. The Chairman of the UPSC is appointed by ,(a) Prime Minister ,(b) President ,(c) Chief Election Commission,(d) Cabinet,B,,,
115. The Chairman and members of a State Public Service Commission are appointed by ,(a) Governor ,(b) Chairman of UPSC ,(c) President,(d) Chief Justice of concerned High Court,A,,,
116. A member of the Union Public Service Commission shall hold office for a term of ,(a) till the age of 65 years ,(b) till the age of 67 years ,(c) 6 years or the age of 65 years whichever is earlier ,(d) 5 years or the age of 65 years whichever is earlier,B,,,
117. A member of a Joint Public Service Commission or State Public Service Commission shall hold office for a term of ,(a) 6 years or the age of 65 years whichever is earlier ,(b) 5 years or the age of 65 years whichever is earlier ,(c) 5 years or the age of 62 years whichever is earlier,(d) 6 years or the age of 62 years whichever is earlier,D,,,
118. The member of Union Public Service Commission can be removed from his/her office before expiry of his/her term of office by ,(a) Chairman of the UPSC ,(b) Chief Justice of India on the advice of the President ,(c) President on the recommendation of the Supreme Court,(d) President after an impeachment motion passed by the Parliament.,C,,,
