20. State whether true or false        Refunds of revenue can be drawn only on the demands and on the receipt of the person entitled to receive such refunds after production of proper authority. ,(a) True ,(b) False  ,,,A,[Rule: 139 (1)]
21. Departmental officers may draw amounts in lump sum on their receipt and to make payment by obtaining separate cheques in favour of the refundees or by cash where the refunds in each case are up-to ,(a)        Rs. 10 ,(b)         Rs. 100 ,(c)        Rs. 200 ,(d)         Rs. 500  ,B,[Rule: 139 (2)]
"22. Ministry, Department and or Union territory may permit departmental officers functioning Under it to draw refund of revenue to certain cases in consultation with ",(a) CGA ,(b) CAG ,(c) Principal Accounts Officer concerned ,(d) Ministry of Finance  ,C,[Rule: 139 (2)]
23. Claim of refund of revenue may be paid out of permanent Imprest Advance provided the amount of such claim does not exceed ,(a) Rs. 100 ,(b) Rs. 50 ,(c) Rs. 200 ,(d) Rs. 500  ,A,[Rule: 140]
"24. Refunds of Union Excise Duties and Customs receipts are made through cheques however, refunds may be made in cash of claim up-to ",(a) Rs. 10 ,(b) Rs. 100 ,(c) Rs. 200 ,(d) Rs. 500  ,B,[Rule: Note below 141]
25. Bills for drawing money on account of refunds of revenue shall be prepared in Form ,(a) GAR 33 ,(b) GAR 32 ,(c) GAR 46 ,(d) GAR 35  ,A,[Rule: 142 (1)]
"26. In cases of refund of revenue, who verifies the original credit against which a refund is claimed?",(a) Claimant,(b) drawing officer,(c) Accounts Officer,(d) Bank,C,[Rule: 142 (1)]
27. Bill for refund of passport fees in GAR 33 should be prepared in Form GAR 33 by the,(a) Regional Passport Officer,(b) Central Passport Officer,(c) PAO Ministry of External Affairs,(d) PAO of Regional Passport Office,A,[Rule: Note 1 below 142 (2)]
28. An order for refund of revenue shall remain in force for a period of ,(a) three months only from the date of its issue ,(b) six months only from the date of its issue ,(c) one year only from the date of its issue ,(d) remaining period of the Financial Year in which it is issued.  ,A,[Rule: 145]
"29. Types of expenditure as grants to local bodies, religious, charitable or educational institutions and compensation to Government servants for accidental losses and contributions to public exhibitions and fairs are included in ",(a) Public Loan and Advances ,(b) Grant-in-aid/Contribution ,(c)        Appropriation ,(d) Re-appropriation  ,B,[Rule: 146]
30. bills for grants-in-aid or contributions shall be presented by the department in Form ,(a) GAR 33 ,(b) GAR 35 ,(c) GAR 37 ,(d) GAR 34  ,D,[Rule: 147]
"31. The sanction Order for compensation to Government servants for accidental losses due to effect of floods, cyclones, earthquakes or otherwise should be submitted to the PAO with the bill for ",(a) pre-check payment ,(b) post-check payment ,(c) verification only ,(d) sanction order shall not be submitted to PAO  ,A,[Rule: 148]
"32. Bills for educational scholarships or stipend, shall be presented in Form G.A.R. 35 or in such other form as may be prescribed by authority competent to sanction such payments in consultation with ",(a) Administrative Ministry/Department ,(b) PAO concerned ,(c) CGA ,(d) Principal Accounts Officer  ,D,[Rule: 149]
"33. In the case of payments of stipends and scholarship to institutions under private management, such bills shall be prepared and signed by the ",(a) authorities of the institutions concerned  ,(b) sanctioning authorities concerned ,(c) Administrative Ministry/Department concerned ,(d) Accounts Officer concerned  ,A,[Rule: 149]
34. The amounts of scholarship in respect of students awarded scholarship schemes are drawn by presentation of bills by the Ministries or Departments ,(a) authorities of the institutions/students concerned ,(b) sanctioning authorities concerned ,(c) Administrative Ministry/Department concerned ,(d) Accounts Officer concerned  ,C,[Rule: Note below 149]
35. The procedure with regard to payment of interest -on different forms of Government securities shall be regulated by the rules and orders contained ,(a) Government Accounting Rules ,(b) Treasury Rules ,(c) Government securities Manual ,(d) Negotiable Instruments Act  ,C,[Rule: 151]
"36. Bills for sums payable to the Reserve Bank, such as bills in connection with the floatation of new loans or management of Public Debt, shall be countersigned before they are paid by ",(a) an officer of Ministry of Finance ,(b) Finance Minister ,(c) President ,(d) Governor RBI  ,A,[Rule: 152]
"37. State whether true or false        The RBI is authorised to debit the Government Account in advance of the submission of consolidated bills for expenses incurred in connection with the floatation of Government loans, brokerage charges etc. the responsibility lies with the Government in the event of any excess payment being made. ",(a) True ,(b) False  ,,,B,[Rule: Note below 152. Responsibility lies with RBI and adjusted against its final bill]
38. All amounts under discretionary grants sanctioned must be supported by an order of the authority concerned stating following except ,"(a) the particular object of the expenditure, which must always be within the general purpose of the grant ",(b) the amount sanctioned for it (the grant is to be non-recurring i.e. not involving any future commitments) ,(c) the person in whose charge expenditure is to be. ,(d) the details of recipient  ,D,[Rule: 153 (1) (i) to (iii)]
39. Pick the incorrect regarding discretionary grants ,(a) An account of the expenditure on account of discretionary grant must be rendered to the Accounts Officer concerned ,"(b) A copy of this account, without vouchers, shall also be sent to the administrative department concerned at the end of every month ","(c) Monthly submission of account is relaxed when it is estimated that the sanctioned expenditure will be completed and the account closed within six months from the date of the orders sanctioning it. In such a case, the account may be withheld till the end of the said period of six months and then sent covering the entire period. ","(d) An account must in any case be made up and rendered up to the 31st March, of each year.  ",C,"[Rule: 153 (3), It is three months instead of six months]"
"40. State whether true or false        When discount upon stamps is allowed by deduction from the purchase money, a detailed bill in Form G.A.R. 31 headed ""Not for payment"" shall be prepared by the concerned Officer annually for the amount of discount allowed, arid submitted to the controlling authority concerned for counter- signature and transmission to the Pay and Accounts Office. ",(a) True ,(b) False  ,,,B,[Rule: 156. Detailed bill every month and not annually.]
"41. Takavi works advances in the form of expenditure on Takavi works in the Public Works Department are regulated by departmental rules. Save where the estimated cost of such works are recovered in the Public Works Department, recoveries of such advances will be made by ",(a) Divisional Officer concerned ,(b) PAO of the concerned division ,(c)        Collector ,(d) State Treasury  ,C,[Rule: Note below 161]
42. Pick the incorrect one ,(a) No officer disbursing should be allowed to draw a second abstract bill without producing a detailed bill of last advance taken. ,"(b) When refund of advance drawn of an abstract bill, the submission' of the detailed bill should not be delayed beyond the end of the month in which the advance was drawn. ","(c) Disbursing officers should take the receipts of the payees on the spot as soon as the advances have been made, and certify at the foot of the detailed bill that the advances were duly sanctioned by them and paid in their presence. ",(d) Payees' receipts need not be sent with the detailed bill and their names need not be shown in it. The detailed bill should be forwarded to the Accounts Officer in adjustment of the advance drawn. ,B,[Rule: 162 (1) (b) (i). End of the following month]
43. Money limit for ' the amount which can be drawn on abstract bills by each officer with due regard to the circumstances of each case is prescribed by ,(a) Head of the Office ,(b) Head of the Department ,(c) Administrative Ministry/Department ,(d) Accounts Officer  ,B,[Rule: 162 (1) (b) (iv)]
44. Pick the incorrect one ,(a) The Accounts Officer shall maintain a plus and minus memorandum with which the departmental Officer should reconcile the balances as per accounts records. ,"(b) Special care shall be taken while paying recoveries into Government Account that the amount of interest and principal recovered are separately and distinctly credited, as the former must, and the latter must not, be credited in the plus and minus memorandum. ",(c) Both are incorrect ,(d) Neither incorrect.  ,B,[Rule: 162 (2). The former (principal) must not and later (interest) must be credited in +(-) memorandum]
45. Pick the correctly matched ,(a) Short-term advances to Govt. Servant: Form GAR 36 ,(b) Long-term Advances to Govt. Servant: Form GAR 37 ,(c) Schedules of recoveries of advances: Form GAR 38 ,(d) Monthly abstract of recoveries of Advances: Form GAR 38A ,C,[Rule: 165 (1) & (2)]
