1. The distinguishing factor between fraud and error is- ,(A) Misinterpretation ,(B) Intention ,(C) Involvement of various parties ,(D) Degree of benefit,B ,
"17. True/False The auditors should clearly understand that the audit evidence can be only persuasive and not conclusive. Yet the evidence in case of suspected fraud & corruption ought to be closer to conclusive. While reporting all cases of suspected fraud or corruption, they should refrain from making any judgment regarding existence of fraud or corruption, but should suggest suspected fraud/corruption or presumptive fraud",(A) True,(B) False,,,A ,
18. Which are the two fraud specific internal controls- ,(A) Active internal controls ,(B) Passive internal controls ,(C) Both of above ,(D) None of above,C ,
19. Choose the incorrect regarding reporting of cases of fraud- ,(A) Reports be addressed confidentially to controlling authority with approval of Group Officers. ,(B) Events may be highlighted in IRs with a recommendation to executive for details investigation and response. ,"(C) In addition to management, reported through separate confidential letters to specific investigating agencies viz. CBI, CVC etc. ",(D) Prior approval of CAG Headquarters is necessary before intimating investigating agencies.,D ,
20. Choose the incorrect one- ,"(A) In financial audit, instances of possible fraud require making qualification in audit opinion. ","(B) In regularity/performance audit, they may be reported to entity management in special letter or IR. ","(C) If auditor has adequate evidence to support his conclusion of fraud, he should qualify the audit certificate/opinion and/or ensure that his findings are included in audit report. ",(D) The term fraud or corruption may be used in a conclusive sense even if such action is not established in a court of law.,D ,
"21. When the fraud is disclosed in the financial statements, the auditor may give which opinion on the financial statements- ",(A) Qualified opinion ,(B) Adverse opinion ,(C) Disclaimer ,(D) Unqualified opinion,A ,
22. Choose the incorrect regarding reporting of cases of fraud- ,"(A) Cases of suspected fraud should be highlighted in IRs, Audit Notes and in Audit reports. Such cases should be printed in italics. ","(B) While forwarding Bond Copy of Audit reports to HQrs, AG should highlight in forwarding letter the number of cases of suspected fraud and corruption together with money value. ","(C) While forwarding to vigilance authorities, AG sends a brief write-up of such cases with details of names of individuals, firms etc. ",(D) The matter may be followed up with investigating or vigilance agencies through discussions in formal meetings.,A ,
"23. While reporting to investigating or vigilance agencies for Audit Reports relating to State/UT Govt. concerned AG is the nodal officer, for Union Govt. reports may be sent by respective report controlling wings under the orders of- ",(A) CAG ,(B) ADAI/DAI ,(C) DG (Audit) ,(D) Any of B or C,B ,
24. The draft of post-Audit Report letter to Chief Ministers containing brief mention of issues of fraud and corruption be sent – ,(A) Annually ,(B) Half-yearly ,(C) Quarterly ,(D) Whenever an audit revealing a fraud is completed,A ,
"25. Each field office should establish a database of fraud or corruption, which is reviewed by AG- ",(A) Annually ,(B) Half-yearly ,(C) Quarterly ,(D) Whenever an audit revealing a fraud is completed,C,
26. The field offices should send reports on cases of suspected material fraud and corruption noticed by them to HQrs Office- ,(A) Annually ,(B) Half-yearly ,(C) Quarterly ,(D) Whenever an audit revealing a fraud is completed,B ,
